nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN  CITAMBA,20229308,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,14,1,292,12,12,0,1,12,07 Apr 2026 23:21:07,6E0039B5E98F257741F2
SDN 1 BUGEL,20229266,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,105,6,6,0,1,24,10 Apr 2026 06:07:49,369703E47AF1D58AB103
SDN 1 GOMBONG,20229319,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,145,6,6,0,1,25,21 Apr 2026 05:46:38,9E2CADCE4CDC45D05D85
SDN 1 PAKEMITAN,20229384,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,12,1,313,12,9,0,0,31,30 Apr 2026 08:21:45,1CC9F4D4609329EC1941
SDN 1 PASIRHUNI,20229396,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,11,1,254,11,9,0,1,18,23 Apr 2026 13:46:16,DEC9CEB576328BC5C96B
SDN 2 BUGEL,20229267,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,2,202,6,6,0,1,20,30 Apr 2026 10:49:20,585A5017EFBB13E8B605
SDN 2 GOMBONG,20229320,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,8,1,128,6,6,0,1,38,16 Apr 2026 10:10:51,B0D4B3654243D7C1DD5B
SDN 2 PAKEMITAN,20229385,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,149,6,6,0,0,18,02 May 2026 05:35:07,C964A32BB58982B178E1
SDN 2 PASIRHUNI,20229397,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,147,6,6,0,0,19,10 Apr 2026 21:16:11,6A2DDA9B3F89D5C53C2C
SDN 3 BUGEL,20229268,SD,Negeri,Kec. Ciawi,021226,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,0,147,6,5,1,1,14,25 Apr 2026 14:07:50,2FD71DAD30E7EB667A76
