nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN  CIPAKAT,20210681,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,13,2,330,12,13,0,1,15,29 Apr 2026 13:27:48,F9704AC0AB3043B454E8
SDN 1 CIKUNIR,20210408,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,9,2,218,7,7,0,1,16,21 Apr 2026 11:45:27,472DE08D66C282FCEEFC
SDN 1 CINTARAJA,20210687,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,12,2,360,12,10,0,1,35,30 Apr 2026 12:42:55,57D8E1F3872DBED40533
SDN 1 SINGAPARNA,20210915,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,141,6,6,0,1,16,15 Apr 2026 11:11:32,2EA1330AE7FC11C1E7E1
SDN 2 CIKUNIR,20210407,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,8,2,107,6,6,0,0,9,02 Apr 2026 20:39:39,AF41DBF006F8AFDC5EAA
SDN 2 CINTARAJA,20210686,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,9,1,180,8,7,0,0,20,30 Apr 2026 08:48:34,174DAF6B867DD791E5DE
SDN 2 SINGAPARNA,20210914,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,155,6,6,0,0,25,30 Apr 2026 09:42:42,4D80049E2F119FCF839F
SDN 3 CIKUNIR,20210406,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,6,1,78,6,6,0,1,16,29 Apr 2026 19:12:25,3DB3817917C08A1B4AEA
SDN 3 CINTARAJA,20262603,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,4,1,129,6,9,0,0,26,06 Apr 2026 21:59:33,15AB19025840C47ECFA5
SDN 4 CIKUNIR,20210405,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,143,6,7,0,0,8,13 Apr 2026 20:37:14,EF5568E157CB656DE3AE
SDN 4 SINGAPARNA,20210913,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,6,2,66,6,6,0,0,44,24 Apr 2026 09:20:52,C1F168BCA507549D98E1
SDN 5 SINGAPARNA,20210912,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,6,2,74,6,6,0,1,16,16 Apr 2026 22:11:13,9C1B40A7CE23A6B610C6
SDN 6 SINGAPARNA,20210911,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,15,1,344,12,6,0,0,22,15 Apr 2026 10:50:54,A8D05FE442C0FC1035A4
SDN 7 SINGAPARNA,20210910,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,5,1,116,6,6,0,1,13,07 Apr 2026 21:17:44,32A04CD72C27EADFF21E
SDN 8 SINGAPARNA,20210909,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,16,1,273,12,8,0,0,25,22 Apr 2026 01:36:51,EA3D1A369193C594551F
SDN ANGGARAJA,20210468,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,9,2,215,7,8,0,0,14,28 Apr 2026 20:58:34,6E653A2484D590BF2EFE
SDN CIKADONGDONG,20210417,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,8,1,111,6,6,0,1,9,29 Apr 2026 19:30:31,27EE52767B2854742E81
SDN CIKUNTEN,20210404,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,9,2,210,8,11,0,0,19,09 Apr 2026 21:14:57,620579130FC05FA81565
SDN CINTAWANA,20210683,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,130,6,6,0,1,9,20 Apr 2026 08:11:06,30F655647256EC51EBC7
SDN CITATAH,20210529,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,8,1,203,6,6,0,1,31,09 Apr 2026 16:58:45,1C7FB2A6F50C7CD88A34
SDN DEWI SARTIKA,20210598,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,3,69,6,6,0,0,12,01 Apr 2026 23:23:06,F5DFD8B572BE8428DC04
SDN MARGALUYU,20210050,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,8,3,108,6,6,0,0,15,01 May 2026 18:17:01,3FC360B4F69D6D7EB8E0
SDN MARGAMULYA,20210049,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,15,1,332,12,7,0,1,20,16 Apr 2026 09:49:58,98F218E7721016F510BB
SDN MEKAR RAHAYU,20210032,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,6,1,161,6,6,0,1,36,30 Apr 2026 12:39:55,908DB2D62E219354D85B
SDN MOHAMAD TOHA,20210042,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,12,2,251,12,9,0,1,10,10 Apr 2026 18:13:51,A79695EA344997CE7AF8
SDN SUKASENANG,20271024,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,24,4,761,24,26,2,1,27,28 Apr 2026 22:02:53,2C33ED55490E737D4537
SDN SUKASIRNA,20211024,SD,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,15,3,252,12,9,0,1,30,20 Apr 2026 21:20:52,4580C5ED3BCCFA0BA549
SD ISLAM MUTIARA SAHARA,20269369,SD,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,23,3,327,14,14,0,0,18,13 Apr 2026 17:26:13,0FE27168C8F94C3CB024
SD S MUHAMMADIYAH,20210041,SD,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,7,1,136,6,12,0,0,18,10 Mar 2026 19:58:16,9C8259DBE65825DFB5BD
SMPN 1 SINGAPARNA,20210822,SMP,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,48,8,1078,33,34,8,1,25,24 Apr 2026 16:45:31,14046615B7BBE48FEC29
SMPN 2 SINGAPARNA,20253259,SMP,Negeri,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,30,5,555,17,17,2,1,36,01 May 2026 19:52:01,9C202B7885D86DDB71A5
SMP ABSCHOOL,69788585,SMP,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,6,1,42,3,3,0,1,20,28 Apr 2026 19:09:17,C1AECE555464ABB26467
SMP AL ISHLAH,20279876,SMP,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,10,2,234,8,8,0,1,10,06 Mar 2026 16:25:20,3DF9B8061D34AA749C86
SMP ISLAM CIPASUNG,20210738,SMP,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,35,10,505,17,24,2,1,36,28 Apr 2026 22:06:24,E9D94B5E4C3ECDC1436B
SMP ISLAM IBNU HANBAL,70008030,SMP,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,11,3,174,6,6,0,0,21,20 Apr 2026 21:16:43,DC0D01D287B72E9439A1
SMP ISLAM TERPADU MANARUL HIKAM,69838661,SMP,Swasta,Kec. Singaparna,021219,Kab. Tasikmalaya,021200,Prov. Jawa Barat,020000,8,3,71,3,3,1,1,27,07 Apr 2026 11:28:40,26AB660C0427C3F8CD59
