nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 BOGOREJO,20315095,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,6,1,20,6,6,0,1,14,03 Mar 2026 13:24:20,B731BC0A19215A49E3F3
SDN 1 GANDU,20315093,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,6,1,58,6,6,0,1,11,07 Apr 2026 10:31:49,532B7B07593652535A1C
SDN 1 JURANGJERO,20315152,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,6,1,51,6,6,0,1,23,02 May 2026 11:09:06,9F26B803BC39B9C876C4
SDN 1 NGLENGKIR,20315424,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,7,2,72,6,6,0,1,11,11 Apr 2026 10:45:37,DFD8FDBAE1E1A1F5668C
SDN 1 SENDANGREJO,20315416,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,7,2,42,6,6,0,1,17,27 Apr 2026 19:10:57,30B22AE80096D768CB48
SDN 2 BOGOREJO,20315392,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,6,2,101,6,6,0,1,12,11 Mar 2026 10:29:54,D13BF0C4555E55345074
SDN 2 GANDU,20315323,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,5,2,41,6,6,0,0,10,02 Apr 2026 17:18:21,5850A7CF5A5D97A8A02B
SDN 2 JURANGJERO,20315289,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,7,2,109,6,6,0,1,25,02 May 2026 09:24:53,C30D2BB9DC564BB214E5
SDN 2 NGLENGKIR,20315348,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,6,1,62,6,6,0,1,19,02 Mar 2026 07:59:06,3D4EA83111308F4F7C40
SDN 2 SENDANGREJO,20314798,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,5,2,66,6,6,0,1,11,29 Apr 2026 07:57:20,DB991D8D6443FE9C5565
SDN 3 BOGOREJO,20314830,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,7,2,83,6,6,0,0,12,02 Apr 2026 18:35:08,DEAE4D72338CAFC59C61
SDN 3 NGLENGKIR,20314820,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,6,3,22,6,6,0,0,6,02 Mar 2026 20:20:03,9A2FA012FA4090DB964C
SDN 3 SENDANGREJO,20314669,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,7,0,36,6,6,0,0,11,07 Apr 2026 12:22:17,F27C318BF739A4AB0F45
SDN GAYAM,20314992,SD,Negeri,Kec. Bogorejo,031608,Kab. Blora,031600,Prov. Jawa Tengah,030000,7,2,71,6,6,0,1,15,02 May 2026 10:19:01,6937B3215E061D21A003
