nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BANGUNREJA 01 KEDUNGREJA,20300912,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,7,3,103,6,6,0,1,57,23 Apr 2026 07:52:54,4B37472DAC93769B6F0C
SD NEGERI BANGUNREJA 02 KEDUNGREJA,20341261,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,8,0,99,6,6,0,0,9,03 Apr 2026 13:59:33,D0DA23BAEA0FE1A9699D
SD NEGERI BANGUNREJA 03 KEDUNGREJA,20300911,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,8,2,79,6,6,0,0,14,17 Mar 2026 11:53:49,489EFC1E4F26FB6D4D62
SD NEGERI BANGUNREJA 04 KEDUNGREJA,20341262,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,7,2,103,6,6,0,0,13,02 Apr 2026 14:40:38,0262EAB4562FF152A981
SD NEGERI BOJONGSARI 01 KEDUNGREJA,20300862,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,6,1,103,6,6,0,1,14,16 Apr 2026 09:08:57,379DB9E7FA242A3EA9BB
SD NEGERI BOJONGSARI 02 KEDUNGREJA,20300861,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,7,2,59,6,6,0,1,16,28 Apr 2026 11:03:08,0E0E4547EF1CDE1FD2AB
SD NEGERI BOJONGSARI 03 KEDUNGREJA,20300860,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,8,2,72,6,6,0,0,15,17 Apr 2026 10:29:13,4DD0EC46041EEDACEDE8
SD NEGERI BUMIREJA 01 KEDUNGREJA,20301397,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,6,2,183,6,6,0,1,15,16 Apr 2026 10:54:13,A80315F42FC532D47A5C
SD NEGERI BUMIREJA 02 KEDUNGREJA,20301396,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,7,3,87,6,6,1,1,31,11 Feb 2026 10:26:27,6AEFF2DA93740075706F
SD NEGERI BUMIREJA 03 KEDUNGREJA,20301395,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,7,2,78,6,5,1,1,18,02 Apr 2026 22:06:37,4AE3715739DAB21837C6
SD NEGERI BUMIREJA 04 KEDUNGREJA,20301394,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,7,1,77,6,5,0,1,12,25 Feb 2026 08:27:15,EF76E6A237A60E076074
SD NEGERI CIKLAPA 01 KEDUNGREJA,20301370,SD,Negeri,Kec. Kedungreja,030108,Kab. Cilacap,030100,Prov. Jawa Tengah,030000,8,3,217,6,8,0,1,13,24 Apr 2026 20:22:15,0EFCDE3F14902CABD0DD
