nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BATU 1,20319864,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,6,2,179,6,6,0,1,7,01 May 2026 08:28:35,718698DC915535A5420C
SD NEGERI BATU 2,20319863,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,6,2,137,6,6,0,1,14,10 Apr 2026 19:32:04,C54D61F44671F781A94B
SD NEGERI DONOREJO 1,20319780,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,15,0,359,12,12,0,1,16,27 Apr 2026 11:10:42,C2EC7A6C352B1DF7DF61
SD NEGERI DONOREJO 2,20319779,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,9,1,228,9,8,0,1,18,02 May 2026 12:13:24,15B721B7DE3F25778141
SD NEGERI DUKUN 1,20319758,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,15,2,445,15,15,3,2,7,12 Mar 2026 11:04:18,A3E4E4AE08D686DB81C0
SD NEGERI GROGOL 1,20319749,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,8,0,165,6,7,1,1,22,06 Apr 2026 14:28:51,4DD164476DAB79BFE8F6
SD NEGERI GROGOL 2,20319748,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,8,2,117,6,6,0,1,7,11 Apr 2026 07:22:27,63A082537FB9C38F764E
SD NEGERI KARANGSARI 1,20319206,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,9,2,259,9,11,0,1,16,02 May 2026 10:53:10,36099AE2CFF1CBD64EF0
SD NEGERI KARANGSARI 2,20319207,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,7,2,81,6,6,1,1,7,03 Apr 2026 16:49:26,B7C78596B2201B2253DA
SD NEGERI KARANGSARI 3,20319218,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,7,2,116,6,6,1,0,8,04 Apr 2026 13:58:53,79E0353FD1F27656C362
SD NEGERI KARANGSARI 4,20319217,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,10,2,266,11,7,1,1,19,17 Apr 2026 22:08:02,9D2074070AF777241515
SD NEGERI KARANGTOWO,20319213,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,14,2,376,12,13,0,1,16,08 Apr 2026 12:00:05,B0319EC277D797096CDD
SD NEGERI KEDUNGUTER,20319190,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,13,2,380,12,12,1,1,10,05 Mar 2026 09:49:24,C3676058E87DB8D0F4BA
SD NEGERI KLITIH 1,20319255,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,9,0,198,7,9,0,1,10,07 Feb 2026 10:06:11,A54FB2978F4936128713
SD NEGERI PIDODO 1,20319065,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,11,2,273,10,10,1,1,37,28 Apr 2026 12:32:56,86673C53B236AD46F731
SD NEGERI PLOSO 1,20319072,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,8,1,217,7,8,0,1,18,11 Apr 2026 09:11:24,5BCDD91FBC3CE18485C0
SD NEGERI PULOSARI 1,20319107,SD,Negeri,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,13,2,303,12,13,0,1,25,25 Apr 2026 11:29:34,158958FDD3D3C3A771A8
