nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 ASEMRUDUNG,20314102,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,0,81,6,6,0,0,36,16 Apr 2026 05:58:35,5806AE4D5B2FC0063B1C
SD NEGERI 1 BANGSRI,20314080,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,6,0,81,6,6,0,0,20,07 Apr 2026 05:18:11,A61C82BDFA4DDAD24A98
SD NEGERI 1 GUNDIH,20314186,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,3,151,6,7,0,1,10,05 Mar 2026 10:32:36,B884BC03DA1180FB7B20
SD NEGERI 1 JAMBANGAN,20314184,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,1,122,6,6,0,0,11,06 Mar 2026 07:45:02,D4DC15B13C3F1A206914
SD NEGERI 1 JUWORO,20314174,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,1,79,6,6,0,0,19,11 Apr 2026 09:42:29,255D9E2B8AB47238E481
SD NEGERI 1 KALANGBANCAR,20314173,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,2,126,6,5,0,0,67,21 Apr 2026 12:24:33,76315C68021155CA5B52
SD NEGERI 1 KARANGANYAR,20314191,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,6,2,135,6,6,0,1,14,10 Apr 2026 09:03:09,06ECCC59DE5625BA24F5
SD NEGERI 1 LEDOKDAWAN,20314160,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,6,2,101,6,6,0,1,11,04 Apr 2026 10:42:00,B71F9EB3F5BBAEF0749B
SD NEGERI 1 MONGGOT,20314538,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,3,178,6,6,0,1,16,24 Apr 2026 11:05:03,391F8ADCD1ED2305B490
SD NEGERI 1 NGRANDU,20314559,SD,Negeri,Kec. Geyer,031505,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,5,1,90,6,6,0,0,22,03 Mar 2026 07:34:45,434F80D1CC4D112F9347
