nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BOLOGARANG,20314074,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,1,162,6,6,1,1,13,13 Apr 2026 19:23:49,DECD74DD8928D0D8B20C
SD NEGERI 1 JIPANG,20314177,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,9,3,287,9,9,0,1,28,14 Apr 2026 07:53:13,063123649490B2E2920D
SD NEGERI 1 KARANGWADER,20337987,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,2,102,6,6,0,0,14,04 Apr 2026 09:24:40,5E216361BD46F8CB03A0
SD NEGERI 1 KLUWAN,20314139,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,1,121,6,6,0,1,26,10 Apr 2026 08:42:34,D345D589A6859B51841A
SD NEGERI 1 KRAMAT,20314154,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,3,106,6,6,0,1,7,03 Mar 2026 11:24:09,F205852DABAD09028D05
SD NEGERI 1 LAJER,20314164,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,1,174,6,7,0,1,62,29 Apr 2026 11:30:52,4A8FFFAAEE93F7E162F8
SD NEGERI 1 LEYANGAN,20314158,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,1,107,6,6,0,0,4,11 Feb 2026 07:37:17,7C5F1A796AA8E6D982D3
SD NEGERI 1 NGELUK,20314531,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,2,93,6,6,0,1,24,02 May 2026 08:46:24,10474714F8EA265748FB
SD NEGERI 1 PENAWANGAN,20314547,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,2,168,6,7,0,0,15,04 Apr 2026 08:24:43,400BAF98D19A9ADB11D0
SD NEGERI 1 PENGKOL,20314527,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,6,0,158,6,6,0,1,15,17 Mar 2026 07:21:19,AAC7D74B2E6B06F7DFA3
SD NEGERI 1 PULUTAN,20314499,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,2,162,6,6,0,1,13,09 Apr 2026 20:08:31,D251D4DC1A9182F52778
SD NEGERI 1 SEDADI,20314517,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,1,95,6,6,0,1,7,03 Mar 2026 09:11:29,0929118AC6A3FCBCBB4B
SD NEGERI 1 TOKO,20314627,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,0,139,6,6,0,1,16,02 Apr 2026 11:15:12,EDACBD4DC131DCBDEE01
SD NEGERI 1 WOLO,20314585,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,2,161,6,6,0,1,30,20 Apr 2026 11:22:25,3C8FD78B3A1D2F0B0803
SD NEGERI 2 BOLOGARANG,20314599,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,8,1,132,6,6,0,0,1,23 Apr 2026 08:44:18,056831E2E75DAD63F2BB
SD NEGERI 2 KARANGWADER,20314348,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,1,151,6,7,0,1,22,08 Apr 2026 03:26:44,A3FE3EFA3E08768C0383
SD NEGERI 2 KLUWAN,20314370,SD,Negeri,Kec. Penawangan,031503,Kab. Grobogan,031500,Prov. Jawa Tengah,030000,7,3,113,6,6,0,1,18,23 Apr 2026 10:11:23,6FA24373BE9132238FBE
