nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 JAMBU,20319046,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,8,1,151,6,6,1,0,7,11 Mar 2026 11:04:01,2BAC1CFE31F7E55DCB29
SD NEGERI 1 KARANGGONDANG,20318998,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,7,2,90,6,6,0,1,15,29 Apr 2026 02:43:53,4FEFDBBD5C8E4F18EF9C
SD NEGERI 1 SEKURO,20318796,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,8,2,126,6,6,0,0,14,16 Apr 2026 05:29:32,4CEFFD0B9A7D7FEC16C0
SD NEGERI 1 SROBYONG,20318816,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,21,3,354,16,19,1,2,8,07 Apr 2026 08:08:45,DC6C8750954BF74E5A94
SD NEGERI 10 KARANGGONDANG,20318930,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,8,1,93,6,6,0,0,11,01 May 2026 12:14:35,3AF06F41D52455710085
SD NEGERI 11 JAMBU,20318929,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,9,2,180,6,8,1,1,16,23 Apr 2026 11:40:08,9337B287E0606A7F79C4
SD NEGERI 11 KARANGGONDANG,20318928,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,8,2,104,6,6,0,1,44,30 Apr 2026 07:51:56,B23D54FA2109C78C739F
SD NEGERI 12 JAMBU,20318927,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,8,2,111,6,6,1,1,14,02 May 2026 10:14:48,A5A5AC87A35857E8AC0C
SD NEGERI 12 KARANGGONDANG,20318926,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,9,1,76,6,6,0,1,1,22 Apr 2026 09:21:09,50F93D9E55CF5BF41AE9
SD NEGERI 2 JAMBU,20318240,SD,Negeri,Kec. Mlonggo,032009,Kab. Jepara,032000,Prov. Jawa Tengah,030000,8,1,136,6,6,0,1,10,08 Apr 2026 07:33:02,D16ADF85AF14E258F277
