nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N 01 BANGSRI,20312252,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,131,6,6,0,1,13,14 Apr 2026 19:19:00,7CBD0FC0E7AD6D963FFC
SD N 01 DAYU,20312211,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,130,6,6,0,1,14,06 Apr 2026 09:07:25,38968E4D9D7F51A19041
SD N 01 DOPLANG,20312230,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,2,111,6,6,1,1,17,30 Apr 2026 13:19:04,BC07A9DF372D72B8FBCD
SD N 01 GERDU,20312289,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,6,2,90,6,6,0,1,26,06 Apr 2026 08:16:34,E314A4FEBA4C60B36E38
SD N 01 GONDANGMANIS,20312286,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,3,75,6,6,0,1,17,06 Apr 2026 11:37:42,FFA73461C12C36D2B0F2
SD N 01 HARJOSARI,20312292,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,73,6,6,0,0,42,10 Apr 2026 23:06:02,4D8C46F13777E353F2B5
SD N 01 KARANG,20312276,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,3,132,6,6,0,1,63,16 Apr 2026 04:02:16,2E0619770859BADBB79C
SD N 01 KARANGPANDAN,20312262,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,12,3,222,11,10,1,1,21,06 Mar 2026 19:35:03,E826934D1DCD406861E3
SD N 01 NGEMPLAK,20312574,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,66,6,6,0,1,23,13 Apr 2026 15:06:43,75FE4BC99A719B0B09F2
SD N 01 SALAM,20312643,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,2,48,6,6,0,1,13,11 Apr 2026 22:38:28,443A8A507705D4798362
SD N 01 TOHKUNING,20312615,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,6,1,142,6,6,0,1,27,30 Mar 2026 12:27:45,C96DA9EB6412D4B86283
SD N 02 BANGSRI,20312514,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,3,94,6,6,0,1,11,13 Apr 2026 19:58:20,95AC98DA36D3340C20D5
SD N 02 DOPLANG,20312507,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,3,72,6,6,0,1,5,03 Mar 2026 13:03:16,4C06455E9B9AA9AEC3D9
SD N 02 GERDU,20312504,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,2,63,6,6,0,0,7,14 Apr 2026 09:54:46,CABF92E524AA4A59AE82
SD N 02 GONDANGMANIS,20312501,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,3,86,6,6,0,0,12,06 Apr 2026 14:38:11,0DF70E1C5C5EB9839FBE
SD N 02 HARJOSARI,20337714,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,6,2,88,6,6,1,1,17,31 Mar 2026 19:31:42,F2F2C791398246503BB5
SD N 02 KARANG,20312534,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,2,60,6,6,0,0,15,23 Apr 2026 09:11:47,820792F3CA1985105F57
SD N 02 KARANGPANDAN,20312530,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,21,4,451,18,18,0,1,54,17 Apr 2026 10:14:09,A99AAB326423675C41B7
SD N 02 NGEMPLAK,20311991,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,3,94,6,6,1,1,14,04 Mar 2026 09:35:47,3651C2DA0F243BA80EC1
SD N 02 SALAM,20311970,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,2,88,6,6,0,1,47,07 Apr 2026 13:07:01,8FF972E7E42F3BAB5B6B
SD N 02 TOHKUNING,20337717,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,3,104,6,6,1,2,24,16 Mar 2026 10:20:04,5EFCE4864E6406D4B756
SD N 03 BANGSRI,20337722,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,151,6,6,0,0,19,17 Apr 2026 21:08:58,CA6877EA8425709F3A3F
SD N 03 DAYU,20311998,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,51,6,6,1,1,59,14 Apr 2026 07:58:05,9B61915FE164AB6B4311
SD N 03 KARANG,20311878,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,0,42,6,6,0,1,23,17 Apr 2026 21:30:02,2F8F147D66BCBCB5BEE5
SD N 03 NGEMPLAK,20311938,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,7,2,94,6,6,1,1,10,03 Apr 2026 21:55:26,5D2421CAEFC0AF0439A3
SD N 03 TOHKUNING,20311930,SD,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,8,2,64,6,6,2,2,13,16 Apr 2026 18:48:08,6FE3346980C3AA903925
SD IT BINAUL UMMAH,20362661,SD,Swasta,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,26,5,372,16,17,1,0,21,01 May 2026 09:25:33,3A91AEC96ECA47715FEA
SMP N 1 KARANGPANDAN,20312114,SMP,Negeri,Kec. Karangpandan,031308,Kab. Karanganyar,031300,Prov. Jawa Tengah,030000,25,6,598,18,16,4,1,16,20 Apr 2026 11:34:53,5DD8480865AD0AA4B9D9
