nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BOCOR,20305274,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,15,3,276,12,14,0,2,13,10 Apr 2026 09:30:47,5FB4D073AD49E2E7E425
SD NEGERI 1 BRECONG,20305268,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,7,1,177,6,6,0,1,14,30 Apr 2026 08:15:57,60CFF9884D51281BD495
SD NEGERI 1 JOGOPATEN,20305334,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,2,105,6,6,0,1,10,20 Apr 2026 08:50:49,19B047B5BAC0B5B421E8
SD NEGERI 1 KLAPASAWIT,20305742,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,2,126,6,6,0,1,10,16 Apr 2026 08:20:56,181BE6F0A599D8979FD1
SD NEGERI 1 SANGUBANYU,20305822,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,3,98,6,6,0,1,8,06 Apr 2026 10:26:59,4C0EE573112CAE88840E
SD NEGERI 1 SETROJENAR,20305842,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,6,3,84,6,6,0,0,23,15 Apr 2026 09:45:43,E985D57EF8F89D71E36B
SD NEGERI 1 SIDOMORO,20330242,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,7,2,90,6,6,0,1,19,07 Apr 2026 09:33:36,7CC76FAF82E0C64BD27F
SD NEGERI 2 BANJURPASAR,20305619,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,16,2,275,12,12,0,1,9,04 Apr 2026 07:28:55,9098DA376EF0D26DDA22
SD NEGERI 2 BRECONG,20305608,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,10,2,212,9,8,0,1,9,02 Apr 2026 11:39:45,2D5F78AAF14D43A77543
SD NEGERI 2 JOGOPATEN,20305573,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,3,90,6,6,0,1,10,13 Apr 2026 11:57:13,20878387207064528029
SD NEGERI 2 KLAPASAWIT,20305655,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,2,104,6,6,0,1,17,02 May 2026 09:49:10,F6BAB4234A1D10DC64E1
SD NEGERI 2 SANGUBANYU,20304878,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,2,86,6,6,0,1,6,10 Apr 2026 08:05:18,76AFC2B4235CC21570C8
SD NEGERI 2 SETROJENAR,20304847,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,7,1,101,6,6,0,1,24,10 Apr 2026 09:54:56,39FA1DD2171F186A6FB6
SD NEGERI 2 SIDOMORO,20304820,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,2,102,6,6,0,1,22,10 Apr 2026 00:46:53,F37D4ED53B533103B18E
SD NEGERI 2 WALUYO,20304928,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,15,5,337,13,13,1,1,12,05 Mar 2026 07:36:32,BA5FF5F7F41F1B87AF37
SD NEGERI 3 KLAPASAWIT,20304905,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,3,85,6,6,0,1,4,06 Mar 2026 08:49:30,CBFE05C2F76439E47F87
SD NEGERI AMBALKUMOLO,20304793,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,8,3,176,6,6,0,1,25,02 May 2026 11:44:14,B8DA073D79898F25811F
SD NEGERI AMPIH,20304806,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,6,2,71,6,7,0,1,15,15 Apr 2026 11:21:35,88C65455A0CC012C633A
SD NEGERI ARJOWINANGUN,20304801,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,7,3,77,6,6,0,1,11,06 Apr 2026 09:43:24,E8EDB91AE2527A74896F
SD NEGERI AYAMPUTIH,20304799,SD,Negeri,Kec. Buluspesantren,030506,Kab. Kebumen,030500,Prov. Jawa Tengah,030000,16,4,301,12,12,0,1,17,06 Apr 2026 08:46:45,802F5EC7328C86AC8C0D
