nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BENDO,20340692,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,5,3,65,6,6,0,1,15,01 May 2026 19:18:19,194B36A5E6CCD96A1AE6
SD NEGERI 1 JETISWETAN,20309851,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,6,2,73,6,6,0,0,7,07 Apr 2026 01:57:11,C5696425B22DC3108230
SD NEGERI 1 KEDEN,20309825,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,7,2,136,6,6,0,1,8,02 May 2026 10:29:58,34A5FFE59A26A696B601
SD NEGERI 1 KEDUNGAN,20309827,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,6,2,52,6,6,1,1,6,09 Mar 2026 08:24:21,1E2C0B069FCD09A21A13
SD NEGERI 1 NGAREN,20310192,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,7,3,57,6,6,0,1,21,09 Apr 2026 08:49:42,64B24EE82634FEF6C82E
SD NEGERI 1 SOBAYAN,20310317,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,11,2,215,8,10,1,1,13,02 Apr 2026 09:41:15,88DDA3F66D87DFBADD14
SD NEGERI 1 TAMBAKBOYO,20310259,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,6,5,106,6,6,0,1,16,02 May 2026 10:46:07,4D2DE7C44FF4F6B1B10C
SD NEGERI 1 TEMUWANGI,20310278,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,5,1,82,6,6,0,1,20,01 Apr 2026 21:58:47,1249E710F4B662BB69A2
SD NEGERI 1 TROKETON,20310101,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,7,2,59,6,7,0,1,18,02 Apr 2026 15:40:33,17726FC983A5A95C89CA
SD NEGERI 2 BEJI,20310092,SD,Negeri,Kec. Pedan,031014,Kab. Klaten,031000,Prov. Jawa Tengah,030000,6,3,97,6,6,0,1,15,08 Apr 2026 09:23:45,83A96BA96B908807B3BE
