nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD 1 ADIWARNO,20318005,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,0,0,0,1,6,0,0,10,26 Jan 2026 12:50:45,C93E1151C620C4ACF5B7
SD 1 GOLANTEPUS,20318070,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,5,109,6,6,0,1,71,09 Apr 2026 08:02:11,F5F6D6F86A216714670F
SD 1 GULANG,20318076,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,1,215,7,7,0,1,11,06 Mar 2026 08:34:40,025B3355CBD89E538A35
SD 1 JEPANG,20318057,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,3,142,6,6,1,1,12,04 Mar 2026 09:21:33,94D785D5B9FCCDCD9CEC
SD 1 JOJO,20318042,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,2,75,6,6,1,1,17,07 Apr 2026 09:33:31,075F804205F071D67587
SD 1 KESAMBI,20318051,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,3,98,6,6,1,1,13,05 Apr 2026 22:48:33,2366280C930EA60975A2
SD 1 KIRIG,20318050,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,3,73,6,6,1,1,31,29 Apr 2026 08:22:23,7F7424220AF7799A49EB
SD 1 MEJOBO,20317914,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,9,1,114,6,6,0,1,35,21 Apr 2026 13:50:18,FF1E1BC94E44C72D1B2D
SD 1 PAYAMAN,20317925,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,9,2,123,6,6,2,1,26,03 Apr 2026 10:55:41,C773C3DF076EEBA3042F
SD 1 TEMULUS,20317901,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,1,76,6,6,0,1,25,30 Apr 2026 12:30:04,8F706F14C7C90B17CD37
SD 2 ADIWARNO,20317971,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,1,79,6,6,0,1,35,12 Mar 2026 08:06:29,8A5ECD44499EEDE2D8F3
SD 2 GOLANTEPUS,20317939,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,2,58,6,6,0,1,24,30 Apr 2026 12:21:16,ED7FF67B8F830BEEA921
SD 2 GULANG,20317948,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,3,60,6,6,0,1,10,11 Apr 2026 09:18:07,A1E55FC341022E5359AD
SD 2 JEPANG,20317951,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,2,127,6,6,1,0,19,04 Mar 2026 10:28:32,AFFA2D632B5283550DE4
SD 2 JOJO,20317936,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,3,89,6,6,1,1,31,25 Mar 2026 09:02:17,CDC68BD6487BB5C8F288
SD 2 KESAMBI,20317430,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,3,150,6,6,0,1,40,17 Apr 2026 10:06:15,93F4FC00953873991E13
SD 2 KIRIG,20317429,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,1,62,6,6,0,1,12,04 Mar 2026 09:35:50,124482572869191DD31E
SD 2 MEJOBO,20317394,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,3,77,6,15,0,1,15,07 Apr 2026 11:15:20,C398831BFD0B3FCB5988
SD 2 PAYAMAN,20317403,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,2,72,6,6,0,1,25,04 Apr 2026 07:20:24,44FD61C33B6182DD877D
SD 2 TEMULUS,20317478,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,3,61,6,6,0,1,28,20 Apr 2026 10:20:34,BEE1F4625E694051EC81
SD 2 TENGGELES,20317477,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,4,99,6,6,0,1,10,06 Apr 2026 13:36:44,C68D81FE2F716FE84A1E
SD 3 ADIWARNO,20317440,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,4,105,6,6,0,1,21,06 Apr 2026 07:16:55,2384D9B30CC13BBE4793
SD 3 GOLANTEPUS,20317447,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,3,106,6,6,0,1,36,29 Apr 2026 08:35:12,6C5DBC6F4A5852AC9949
SD 3 GULANG,20317320,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,5,2,103,6,6,0,1,20,30 Mar 2026 07:32:08,099771A594CAB31F99D8
SD 3 JEPANG,20317314,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,3,128,7,8,1,1,43,27 Apr 2026 11:08:11,87245FEF749977CD0352
SD 3 JOJO,20317322,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,4,60,6,6,0,0,29,24 Apr 2026 09:38:26,715B6C80452B9F717B58
SD 3 KESAMBI,20317311,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,2,76,6,6,0,0,32,09 Apr 2026 08:13:07,4178CD42A53EFE1DBE91
SD 3 KIRIG,20317297,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,4,55,6,6,0,1,28,29 Apr 2026 10:24:47,D970911CBE4C32F3ECB3
SD 3 MEJOBO,20317298,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,3,112,6,6,0,1,24,10 Apr 2026 10:46:05,229EF2646A0AB059D956
SD 3 PAYAMAN,20317336,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,2,58,6,6,0,1,25,06 Apr 2026 22:13:55,95B4D75ABE51ECA1A94C
SD 3 TEMULUS,20317379,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,6,1,78,6,6,1,0,21,02 May 2026 09:20:57,1D3500E0FB1FE97ECE6D
SD 3 TENGGELES,20317378,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,3,115,6,6,0,1,82,23 Apr 2026 09:16:00,1104B569A6883561B616
SD 4 ADIWARNO,20317344,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,4,62,6,6,0,1,40,04 Apr 2026 08:36:38,EB1ED7F45815BC958587
SD 4 GOLANTEPUS,20317350,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,7,2,46,6,6,0,1,29,29 Apr 2026 11:36:50,0982F44C17157BD84A61
SD 4 GULANG,20317355,SD,Negeri,Kec. Mejobo,031905,Kab. Kudus,031900,Prov. Jawa Tengah,030000,8,2,107,6,6,0,1,14,12 Apr 2026 22:50:55,D853D5C14E44B837F975
