nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI ADIKARTO 1,20307860,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,3,81,6,6,0,1,17,21 Apr 2026 13:58:33,EEE380D391492C1DC5D6
SD NEGERI ADIKARTO 2,20307859,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,3,99,6,6,0,1,5,25 Apr 2026 09:26:50,E8813549A7B1A3BF073D
SD NEGERI CONGKRANG 1,20307736,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,2,134,6,6,0,0,9,23 Apr 2026 20:15:00,2A656D19FF5B8094681F
SD NEGERI CONGKRANG 2,20307735,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,3,80,6,6,0,1,29,09 Apr 2026 09:04:16,7130DE199F94FF43F459
SD NEGERI GONDOSULI 1,20307796,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,1,62,6,6,0,0,11,07 Apr 2026 20:18:27,73AF0C62DD0DC9FFECB3
SD NEGERI GONDOSULI 2,20307795,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,1,137,7,6,0,1,17,09 Apr 2026 12:14:53,DD047B43D7DD91EC2160
SD NEGERI GUNUNGPRING 1,20307806,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,130,6,10,0,1,12,14 Apr 2026 12:18:46,A0330FB12EFCFDD18389
SD NEGERI GUNUNGPRING 2,20307805,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,14,2,298,12,10,1,1,35,25 Apr 2026 08:42:18,9C4415C1D891FC0BD4E8
SD NEGERI GUNUNGPRING 3,20307804,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,110,6,6,0,1,12,24 Apr 2026 08:30:39,67651DAD88C42211DB2E
SD NEGERI GUNUNGPRING 4,20307803,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,11,3,204,8,9,0,1,42,06 Apr 2026 08:20:07,BA0F40418FAC8DB341AF
SD NEGERI KEJI 1,20308146,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,2,109,6,6,0,1,25,14 Apr 2026 13:37:12,5090161AEED91F4B17FC
SD NEGERI KEJI 2,20308145,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,13,2,188,10,10,0,1,19,24 Apr 2026 09:02:01,D34F7DD1797E4225FC5F
SD NEGERI MENAYU 1,20307953,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,111,6,6,0,0,8,16 Apr 2026 13:03:11,FB4F8EE1962FED60087F
SD NEGERI MENAYU 2,20307952,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,1,115,6,6,0,1,15,09 Apr 2026 08:58:35,E054EECD79F83F36FC06
SD NEGERI MUNTILAN,20307964,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,14,5,324,12,12,1,1,19,23 Apr 2026 09:41:46,4A8044AE89CAA1FA782C
SD NEGERI MUNTILAN 3,20307963,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,1,63,6,6,0,1,7,11 Apr 2026 11:24:17,38AB90337CE4D8B0325D
SD NEGERI NGAWEN 1,20308046,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,1,75,6,8,0,0,19,09 Apr 2026 21:42:38,2378C460B9408959FF46
SD NEGERI PUCUNGREJO 1,20307426,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,129,6,6,0,1,15,23 Apr 2026 07:46:39,AABA28EB75FA2398B77E
SD NEGERI PUCUNGREJO 2,20307436,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,1,139,7,8,1,1,16,20 Apr 2026 08:41:18,1A4B0DEAF6959B915A51
SD NEGERI SEDAYU 1,20307501,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,11,2,225,9,9,1,1,12,23 Apr 2026 08:21:53,58B0E5AB202373EA23CB
SD NEGERI SEDAYU 2,20307500,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,92,6,9,0,1,7,10 Apr 2026 19:58:23,D36132DD0E0DD8D32383
SD NEGERI SEDAYU 4,20307487,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,1,74,6,6,0,1,25,08 Apr 2026 06:00:52,ADC44A42B310D9511AC5
SD NEGERI SOKORINI 1,20307353,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,2,165,8,8,0,1,19,10 Apr 2026 01:22:51,3210934F0F13A80465E5
SD NEGERI SOKORINI 2,20307352,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,3,50,6,6,0,1,14,08 Apr 2026 20:19:58,95654710F5B073459775
SD NEGERI SRIWEDARI 1,20307367,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,1,165,7,9,1,1,17,09 Apr 2026 04:52:35,F88A346AE12123FA0059
SD NEGERI TAMANAGUNG 1,20307410,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,3,98,6,6,0,1,16,23 Apr 2026 05:03:23,10B9AC8A01C52B8E96D2
SD NEGERI TAMANAGUNG 2,20307409,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,1,131,6,7,0,1,34,24 Apr 2026 07:39:47,54BFF103F38E8CE74E99
SD NEGERI TAMANAGUNG 4,20307407,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,3,110,6,9,0,1,13,08 Apr 2026 09:56:53,3D974E17D63481BEFEDF
SD NEGERI TANJUNG,20307423,SD,Negeri,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,1,103,6,6,0,1,15,13 Apr 2026 14:30:43,074D9F76D1AFEA55687A
SD BENTARA WACANA MUNTILAN,20307874,SD,Swasta,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,13,3,195,10,10,2,1,21,30 Apr 2026 07:21:23,7DDE4087350E555ADACE
SD BINA ANAK SHOLEH MUNTILAN,70029209,SD,Swasta,Kec. Muntilan,030807,Kab. Magelang,030800,Prov. Jawa Tengah,030000,5,1,70,6,6,0,1,33,02 May 2026 10:21:27,72CC176AEAE812F45232
