nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BANDUNGREJO,20307933,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,6,1,100,6,8,0,1,12,02 Apr 2026 15:46:50,3DC17D9C4CA4876C6965
SD NEGERI GENIKAN,20307818,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,5,2,96,6,7,0,1,13,06 Apr 2026 08:16:51,D0EF927D60163DF3C286
SD NEGERI GIRIREJO 2,20307833,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,2,98,6,6,0,1,10,04 Mar 2026 08:41:12,46EE365C725C5300C7A7
SD NEGERI GIRIREJO 3,20307831,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,0,203,7,9,0,0,6,27 Apr 2026 21:02:29,D86270700A9FA0C0F0DA
SD NEGERI JOGONAYAN,20308097,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,5,1,71,6,6,0,0,19,24 Apr 2026 10:36:48,361A46FDB6CFC7969229
SD NEGERI JOGOYASAN,20308095,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,3,146,6,9,0,1,11,27 Apr 2026 11:37:28,8C6B79C8FCBD8153376D
SD NEGERI KANIGORO 1,20308064,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,6,2,51,6,5,0,0,23,09 Apr 2026 05:19:52,E6EB2BAF06853A185221
SD NEGERI KANIGORO 2,20338310,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,3,0,38,6,6,0,0,32,08 Apr 2026 08:22:44,BC85F832E530A54CE635
SD NEGERI KEDITAN,20308148,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,6,2,74,6,6,0,0,8,09 Apr 2026 13:16:38,0FCB7F6449C0E3443A43
SD NEGERI MADYOGONDO 2,20307992,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,2,62,6,6,0,1,24,27 Apr 2026 08:57:39,DE21979D7F383E45E21F
SD NEGERI MADYOGONDO 3,20307991,SD,Negeri,Kec. Ngablak,030821,Kab. Magelang,030800,Prov. Jawa Tengah,030000,6,1,130,6,11,0,1,16,08 Apr 2026 08:32:34,06D25D7D280BE39BEA81
