nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BLIGO 1,20307917,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,70,6,6,0,1,11,16 Apr 2026 14:46:52,3456B7D7EF2F0A4FA2C4
SD NEGERI BLIGO 2,20307916,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,2,99,6,6,1,1,7,07 Apr 2026 21:50:07,9DC5E09DD893155AA07D
SD NEGERI BLONGKENG 1,20307787,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,0,76,6,6,1,0,32,10 Apr 2026 05:12:31,D29ADC24B52B94242093
SD NEGERI BLONGKENG 3,20307764,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,4,0,14,4,6,0,1,12,06 Apr 2026 10:42:11,BFBC2F58D1C3B936E10D
SD NEGERI DRUJU 2,20307745,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,3,87,6,6,1,1,12,06 Apr 2026 13:47:43,0080427D434A03AE73FA
SD NEGERI JAMUS 1,20308083,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,91,6,6,0,1,17,14 Apr 2026 21:13:20,9F7A71B7EF4D4E6A10ED
SD NEGERI JAMUS 2,20308082,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,7,2,71,6,6,1,1,16,06 Apr 2026 13:48:15,B3088F45CD2B417B5C6B
SD NEGERI KARANGTALUN 1,20308134,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,9,1,81,6,6,0,0,13,06 Apr 2026 13:05:24,311A4C5DE1C048B3A65E
SD NEGERI KARANGTALUN 2,20308133,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,108,6,6,1,0,31,10 Apr 2026 14:06:58,E0BD02AE6FD27D8B1125
SD NEGERI NGLUWAR 1,20308027,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,13,1,230,11,11,1,1,22,27 Apr 2026 22:06:36,2BA4932EB4216C8A35D3
SD NEGERI NGLUWAR 2,20308026,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,1,116,6,6,0,1,14,20 Apr 2026 13:58:57,3B3A814590FFFCAFA51E
SD NEGERI NGLUWAR 3,20308025,SD,Negeri,Kec. Ngluwar,030803,Kab. Magelang,030800,Prov. Jawa Tengah,030000,8,2,75,6,6,1,1,16,22 Apr 2026 11:13:47,B02ED50F68903DE2C901
