nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N 01 GEMBYANG,20324500,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,3,123,6,6,0,0,24,29 Apr 2026 07:58:03,1354AE98725DCAD02189
SD N 01 KALIMAS,20324439,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,4,170,6,6,0,1,14,02 May 2026 11:46:47,BBC298ADF6A99059A425
SD N 01 KALITORONG,20324436,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,2,103,6,6,0,1,7,08 Apr 2026 07:57:23,63BDF61D630C3A15CCFB
SD N 01 KARANGMONCOL,20324461,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,12,3,302,11,12,0,1,29,24 Apr 2026 04:45:26,481C3BDC7B32CC583034
SD N 01 KEJENE,20324465,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,1,89,6,6,0,1,11,13 Apr 2026 11:14:03,3DD31C78191278372B0D
SD N 01 KREYO,20324549,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,2,196,6,6,0,1,20,28 Apr 2026 08:19:54,22A2DB4A944BF5916A6E
SD N 01 LODAYA,20324544,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,2,117,6,7,0,0,13,06 Apr 2026 09:42:42,BF71C24E70E50FF6CD5D
SD N 01 PENUSUPAN,20324536,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,2,131,6,6,0,1,5,06 Apr 2026 11:04:55,DC1C52B6E5DE5B148ADC
SD N 01 RANDUDONGKAL,20324527,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,10,1,231,7,6,0,1,15,29 Apr 2026 05:26:48,791E94238B83F45D6CBE
SD N 01 REMBUL,20324526,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,6,2,185,6,6,0,1,8,22 Apr 2026 13:15:05,03377B8B3C182D8C8452
SD N 01 SEMAYA,20324884,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,6,1,199,6,6,0,0,9,11 Apr 2026 05:38:01,8E573F916A6DB62BA0DA
SD N 01 TANAHBAYA,20324893,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,9,3,112,6,6,0,1,16,30 Apr 2026 13:49:46,0464D8A49151681DFA54
SD N 01SEMINGKIR,20324883,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,2,135,6,6,0,1,10,28 Apr 2026 16:15:44,01539C7318762EAB219E
SD N 02 BANJARANYAR,20324939,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,3,131,6,6,0,1,9,29 Apr 2026 07:36:46,BA0131EEF85DA115C4DB
SD N 02 GEMBYANG,20324908,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,2,118,6,6,0,1,18,24 Apr 2026 20:03:36,F085D6F4D3B87BAEA37F
SD N 02 KALIMAS,20324923,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,9,0,141,6,6,0,2,20,01 Apr 2026 05:44:42,F468E3928E2D71411F35
SD N 02 KEJENE,20324757,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,2,130,6,6,0,1,13,14 Apr 2026 11:04:57,9D6AF40568A418199002
SD N 02 KREYO,20324766,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,5,2,135,6,6,0,0,8,02 Apr 2026 10:57:25,84A18AFA48B2637D2C01
SD N 02 LODAYA,20324761,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,3,205,7,6,0,1,11,23 Apr 2026 17:11:40,812724CF9CD09AE0997F
SD N 02 MANGLI,20324722,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,2,133,6,6,0,0,11,14 Apr 2026 19:25:20,47680B318C3B38567279
SD N 02 REMBUL,20324822,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,2,96,6,7,0,1,17,28 Apr 2026 11:03:47,658CA0EEF760438251CB
SD N 02 SEMAYA,20324836,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,3,160,6,6,0,1,27,25 Apr 2026 10:38:33,7975B556E4C7A8B7B731
SD N 03 KALITORONG,20324051,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,6,0,95,6,6,0,1,9,07 Feb 2026 11:55:40,9D37913FB9D3AF70904B
SD N 03 KEJENE,20324072,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,3,114,6,6,0,1,10,25 Apr 2026 09:58:08,F2F58A812C19FF311D4E
SD N 03 KREYO,20324065,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,2,130,6,6,0,1,15,09 Apr 2026 09:11:48,A02AE44D4FB2D8C0793F
SD N 03 SEMINGKIR,20324116,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,9,2,204,7,7,0,1,26,27 Apr 2026 14:36:59,02725EEDFE63FF803DE9
SD N 04 KARANGMONCOL,20323921,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,1,154,6,6,0,0,11,24 Apr 2026 19:46:50,AC3495DFAB95E7882FBC
SD N 04 KREYO,20323946,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,7,5,183,6,6,0,1,19,07 Apr 2026 15:09:55,2FEF2B03F3AE8FDFBBB2
SD N 04 RANDUDONGKAL,20324030,SD,Negeri,Kec. Randudongkal,032707,Kab. Pemalang,032700,Prov. Jawa Tengah,030000,8,2,160,6,6,0,1,50,14 Apr 2026 10:53:45,3A4558C59978EFB3AD50
