nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BENDUNGAN,20320842,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,9,3,102,6,6,0,1,8,16 Apr 2026 14:55:29,1346D103D641A353B72B
SD NEGERI GILING,20320667,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,6,3,72,6,7,1,1,20,20 Apr 2026 08:02:10,8F6498F16FBC4E3AC4B3
SD NEGERI GLAWAN,20320652,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,9,1,93,6,6,0,1,7,03 Mar 2026 07:58:25,6CD143EDEE25DBC8A50C
SD NEGERI JEMBRAK,20320656,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,8,2,101,6,7,0,1,12,02 Apr 2026 11:41:25,BE3CDAFE4A1AC2339C86
SD NEGERI KADIREJO 02,20320725,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,7,3,99,6,6,1,1,9,16 Mar 2026 12:06:27,D2DDE7626E61621955C6
SD NEGERI KADIREJO 03,20320736,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,8,2,60,6,6,1,1,9,02 May 2026 11:16:24,B8C87E5812D204F571FB
SD NEGERI KARANGGONDANG,20320700,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,9,3,107,6,8,0,1,19,13 Apr 2026 08:06:25,38EA073B917787DE9D49
SD NEGERI KAUMAN LOR 01,20320715,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,8,2,132,6,6,1,1,19,02 Apr 2026 14:17:21,CEEF75068AAE752C3A1D
SD NEGERI KAUMAN LOR 03,20320714,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,7,3,60,6,6,0,1,18,11 Apr 2026 10:03:36,D20ECD11D1E32C0B32EF
SD NEGERI PABELAN,20320014,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,7,3,80,6,6,0,1,15,04 Apr 2026 07:21:12,5B86BE37680D849D04B9
SD NEGERI PADAAN 02,20320011,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,8,3,66,6,6,0,1,24,24 Apr 2026 10:52:35,1DF896DFC483304E2B33
SD NEGERI SEGIRI 01,20320073,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,9,2,89,6,6,0,1,25,24 Feb 2026 04:25:01,38DDD02F347C5DA4BCF5
SD NEGERI SEGIRI 02,20320059,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,6,3,59,6,6,0,1,17,11 Apr 2026 20:24:11,35BC4CB1FEA8595B228F
SD NEGERI SEMOWO,20320058,SD,Negeri,Kec. Pabelan,032205,Kab. Semarang,032200,Prov. Jawa Tengah,030000,7,3,134,6,10,0,1,13,01 May 2026 08:25:36,A976CD297527B6F65886
