nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BANDASARI,20325626,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,2,142,6,8,0,1,14,07 Apr 2026 10:44:50,9F91A7BD02C4F50DF500
SD NEGERI DEBONGWETAN 01,20326082,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,14,3,341,12,12,0,1,41,02 May 2026 07:27:59,5B6E0C92DD2EF6175BFB
SD NEGERI DUKUHTURI 01,20326023,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,11,1,247,9,8,1,1,14,02 May 2026 09:19:38,D6B047ABD0998F338B9E
SD NEGERI DUKUHTURI 02,20326040,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,1,141,6,6,0,1,27,02 Apr 2026 10:58:02,4EDBDD21E2689CD31CA7
SD NEGERI GROGOL,20325848,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,10,1,205,8,8,0,0,32,01 May 2026 22:17:00,68CE1A62A71F29930BCE
SD NEGERI KADEMANGARAN 01,20325923,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,2,149,6,6,0,0,20,02 May 2026 09:38:23,8EB25C80ABBA3D608640
SD NEGERI KADEMANGARAN 02,20325922,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,9,2,194,7,7,0,1,10,31 Mar 2026 06:02:03,71999E6AA4AA8DE75030
SD NEGERI KARANGANYAR 01,20325910,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,13,1,232,11,11,0,1,15,02 May 2026 08:36:27,56558DF5D1A1D0432D04
SD NEGERI KEPANDEAN 01,20325122,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,14,2,313,12,12,0,1,6,06 Apr 2026 09:56:11,26BEB1A142431C0A0B8E
SD NEGERI KEPANDEAN 03,20325125,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,16,3,420,12,11,0,0,33,02 May 2026 10:03:14,18DCAF1FAE0C0D325D46
SD NEGERI KETANGGUNGAN 01,20325218,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,11,2,196,9,12,0,1,31,02 May 2026 09:29:43,A3E7545DEEF16B431221
SD NEGERI KUPU 01,20325240,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,9,2,199,7,7,0,1,26,06 Apr 2026 07:18:26,AE346145A4298EE22F0D
SD NEGERI KUPU 02,20325234,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,2,77,6,6,0,1,19,06 Apr 2026 22:24:14,1339CD26A38E899F2731
SD NEGERI LAWATAN 01,20325237,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,9,3,213,8,8,0,1,30,30 Apr 2026 21:39:10,91D1857802EDEFD1EE80
SD NEGERI LAWATAN 02,20325236,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,4,152,6,6,0,1,15,09 Apr 2026 00:29:51,42093D149AA518AA3679
SD NEGERI PAGONGAN 01,20324979,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,14,1,298,12,11,0,1,28,18 Apr 2026 09:56:50,22D534B38023CE4767FB
SD NEGERI PAGONGAN 02,20324978,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,3,148,6,6,1,1,20,03 Apr 2026 05:44:47,16E8D2D0C0AF6E9D9A1D
SD NEGERI PEKAUMAN KULON 01,20325084,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,9,1,229,7,8,0,0,23,01 May 2026 10:48:13,AFD992450C935826FE3A
SD NEGERI PEKAUMAN KULON 02,20325083,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,1,130,6,6,1,1,22,16 Apr 2026 09:55:31,21CBE8A6767BF1C8C9B4
SD NEGERI PENGABEAN,20325088,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,9,2,156,7,7,0,0,24,02 May 2026 16:59:04,C2390FDB064B5BF82645
SD NEGERI PENGARASAN 01,20325089,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,7,3,157,6,6,0,0,45,02 May 2026 10:37:03,E4A4F83F291CA8C734D0
SD NEGERI PENGARASAN 02,20325103,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,2,133,6,6,0,1,19,29 Apr 2026 09:34:16,384B44AE12B376B7080C
SD NEGERI PEPEDAN 01,20325095,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,8,2,89,6,6,0,0,9,05 Apr 2026 20:49:20,4818FE4627200DD3E3F5
SD NEGERI PEPEDAN 02,20325094,SD,Negeri,Kec. Dukuhturi,032813,Kab. Tegal,032800,Prov. Jawa Tengah,030000,7,2,135,6,6,0,1,33,07 Apr 2026 09:04:56,7B629FE42D388005B527
