nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI CEBONGAN 01,20328479,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,9,2,99,6,6,0,1,12,18 Apr 2026 07:10:23,3A69DD193EE1A0CB94F8
SD NEGERI CEBONGAN 02,20328480,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,11,2,159,6,8,1,2,18,09 Apr 2026 12:16:57,FCA33AE570E729858C1E
SD NEGERI CEBONGAN 03,20328481,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,8,2,126,6,6,1,1,15,02 Apr 2026 08:57:39,9E90B0521420D8D6F88E
SD NEGERI KUMPULREJO 01,20328543,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,10,2,99,6,6,1,1,23,02 Apr 2026 11:02:20,363546C2869AF682276D
SD NEGERI KUMPULREJO 02,20328542,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,8,3,113,6,6,0,1,24,21 Apr 2026 08:14:56,0DD3D90A9889F6082E06
SD NEGERI KUMPULREJO 03,20330949,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,8,3,47,6,6,0,1,15,07 Mar 2026 11:57:08,59D2C4AF8F232A8424CE
SD NEGERI LEDOK 01,20328507,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,9,2,118,6,6,1,1,18,06 Apr 2026 10:21:07,5532196B302299F43A17
SD NEGERI LEDOK 02,20328508,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,17,4,235,12,12,2,1,16,22 Apr 2026 12:40:03,047D70A0C4243F3B36D5
SD NEGERI LEDOK 05,20328510,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,10,3,126,6,6,1,1,5,06 Mar 2026 22:42:05,710D63A62D9EBF7C8999
SD NEGERI LEDOK 06,20328511,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,8,3,69,6,12,1,2,11,09 Apr 2026 14:33:49,3B0FB9F0E9AEF0659695
SD NEGERI NOBOREJO 01,20328520,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,8,3,166,6,8,1,1,32,09 Apr 2026 07:44:12,14F023E1F813FC2F0E41
SD NEGERI NOBOREJO 02,20328521,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,9,2,146,6,6,0,1,15,29 Apr 2026 10:51:37,9869B949AA43A80E83E5
SD NEGERI RANDUACIR 01,20328465,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,8,3,94,6,6,0,1,12,25 Feb 2026 15:16:06,49B90D6F83C51F3204EC
SD NEGERI RANDUACIR 02,20328423,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,10,3,123,6,8,0,1,9,23 Apr 2026 10:13:42,A76BAC861C0742813738
SD NEGERI RANDUACIR 03,20328406,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,10,3,53,6,6,1,1,27,14 Apr 2026 15:19:56,7B7065EAC147BA4EF647
SD NEGERI TEGALREJO 01,20328403,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,17,3,287,12,12,1,2,24,20 Apr 2026 18:21:17,A540FAD5DA654E90D58C
SD NEGERI TEGALREJO 03,20328391,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,10,3,83,6,6,1,1,18,01 Mar 2026 15:19:46,7043BD9458978739A793
SD NEGERI TEGALREJO 04,20328390,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,10,2,119,6,6,0,1,9,17 Mar 2026 10:29:12,22F936D84C679CCAED53
SD NEGERI TEGALREJO 05,20328389,SD,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,9,2,57,6,6,0,1,12,04 Mar 2026 12:01:24,C7F5D8B748958DE98C47
SD ISLAMIC GREEN SCHOOL SALATIGA,70028753,SD,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,5,1,94,5,6,1,1,17,29 Apr 2026 15:30:13,3B443AA53592C165300A
SD Plus Tahfizhul Quran (PTQ) ANNIDA,69913116,SD,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,30,2,449,19,19,1,1,22,26 Apr 2026 07:48:06,8354C8BDA09B36982D66
SMP NEGERI 10 SALATIGA,20328434,SMP,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,51,8,778,27,28,4,1,48,17 Apr 2026 11:16:25,7AE1A00DAF0361A946B7
SMP NEGERI 6 SALATIGA,20328439,SMP,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,49,10,736,24,24,5,1,18,18 Apr 2026 08:03:33,A62C9D3B4658A56DFCA9
SMP ISLAM SUNAN GIRI,69946657,SMP,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,11,3,245,8,10,3,1,38,16 Apr 2026 11:03:10,0996D024733B71C7F2C1
SMP ISLAMIC GREEN SCHOOL SALATIGA,70028754,SMP,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,6,1,62,4,4,2,1,18,09 Mar 2026 14:45:58,01912596E1309E812E40
SMP Tahfizhul Quran Annida,70032748,SMP,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,7,1,48,3,3,0,1,23,06 Mar 2026 14:10:13,1CF790B6B4AA174FB887
SMPIT NIDAUL HIKMAH,69883595,SMP,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,16,2,314,12,12,2,1,15,13 Apr 2026 12:29:59,0B7FE2B6BA6780B2D694
SMA NEGERI 2 SALATIGA,20328448,SMA,Negeri,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,65,18,1154,33,33,7,2,16,22 Apr 2026 08:37:53,4FC9887A459C7F7BA5AA
SMA ISLAM AL AZHAR 30 SALATIGA,70028272,SMA,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,13,1,56,3,3,4,1,15,28 Apr 2026 08:49:04,C7BEAFB964215F95F62C
SMK  PUTRA BANGSA SALATIGA,20360506,SMK,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,9,2,37,3,5,2,1,9,09 Apr 2026 14:48:00,762A22A6743FCF5992BB
SMK BHAKTI NUSANTARA SALATIGA,69930694,SMK,Swasta,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,28,7,446,18,17,2,1,36,30 Apr 2026 16:07:34,034C3B2C708B45188D66
