nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
Sekolah Rakyat Dasar Terintegrasi 51 Bangkalan,70058825,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,2,0,40,6,2,0,0,21,29 Apr 2026 07:41:05,93899CBA083697989BA6
UPTD SDN BANCARAN 1,20531455,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,8,1,181,7,6,0,1,10,02 Apr 2026 07:09:52,9A50792EFD3D513BAEA7
UPTD SDN BANCARAN 2,20531439,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,20,4,395,17,13,0,1,24,29 Apr 2026 15:41:46,C0982E7892FA78E6D8F6
UPTD SDN BANCARAN 3,20531438,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,14,3,232,12,8,0,1,28,17 Apr 2026 08:51:31,2955D1F218EC869E3CB5
UPTD SDN DEMANGAN 1,20531792,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,23,1,597,18,16,0,1,42,01 May 2026 06:14:47,555EF2F801F40518982B
UPTD SDN DEMANGAN 2,20531791,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,20,2,369,16,15,0,1,44,01 May 2026 19:42:49,1FDF13CECA9D362A172C
UPTD SDN DEMANGAN 3,20531774,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,9,0,70,6,6,0,1,14,01 May 2026 06:52:14,6A2F4F82A78EAA4FB0D5
UPTD SDN GEBANG,20531609,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,9,2,184,9,9,0,1,30,03 Apr 2026 22:03:44,542C1532B71351E02122
UPTD SDN KEMAYORAN 1,20531017,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,31,4,778,24,24,1,1,67,01 May 2026 06:40:16,97558A747891D0DB9167
UPTD SDN KEMAYORAN 2,20531018,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,14,5,276,12,12,0,1,32,18 Apr 2026 08:56:29,C10506C9E458A92BFE58
UPTD SDN KEMAYORAN 3,20531016,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,9,3,134,6,6,1,1,20,01 May 2026 15:14:32,046B94A7C851C6D2E5D6
UPTD SDN KRAMAT 1,20531099,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,9,3,106,6,6,0,1,17,04 Apr 2026 00:18:07,FFD4AD5AAE71A6CA14EB
UPTD SDN KRAMAT 2,20531098,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,10,1,88,6,6,0,1,16,01 May 2026 09:37:14,BF22BD8AC9CD0634BD56
UPTD SDN KRATON 1,20531092,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,14,0,182,10,11,0,2,20,01 May 2026 01:34:10,B073E8C4E34F79981738
UPTD SDN KRATON 2,20531104,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,18,3,408,17,12,0,2,21,01 May 2026 09:21:25,7B88DA9C7CF7FC4C6060
UPTD SDN KRATON 3,20531105,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,17,2,354,14,12,0,1,20,16 Apr 2026 22:14:16,BB7394E2CEFF4A408A66
UPTD SDN KRATON 5,20531126,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,10,2,201,9,6,0,1,23,01 May 2026 20:01:32,90EC26EF20942E429B1E
UPTD SDN MARTAJASAH,20530901,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,8,2,144,6,6,0,1,27,01 May 2026 06:31:13,C4C465F2D44A7BC68528
UPTD SDN MLAJAH 1,20530899,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,9,3,197,8,6,0,1,23,01 May 2026 08:08:03,AB3B7A4BAE12A01FE5EF
UPTD SDN MLAJAH 2,20530898,SD,Negeri,Kec. Bangkalan,052911,Kab. Bangkalan,052900,Prov. Jawa Timur,050000,22,1,523,20,13,0,1,53,02 May 2026 13:09:25,DA7172800E23FF3BE4B1
