nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BRENGGOLO KALITIDU,20540496,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,42,6,6,0,0,9,14 Apr 2026 11:49:25,25FA5450284BAA7769AC
SD NEGERI GREBEGAN KALITIDU,20540574,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,110,6,6,0,1,9,10 Apr 2026 04:38:33,24E1A2C264FE15BB442F
SD NEGERI KALITIDU I KALITIDU,20540632,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,14,2,315,12,12,0,1,11,27 Apr 2026 19:27:39,FC99684CEB9A4FE66533
SD NEGERI KALITIDU II KALITIDU,20540633,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,84,6,6,0,1,9,20 Apr 2026 19:57:34,D65E232D2275AFE257EC
SD NEGERI LERAN I KALITIDU,20540731,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,64,6,6,0,1,28,30 Apr 2026 04:52:22,07C6556DB10595AC67E2
SD NEGERI LERAN II KALITIDU,20540732,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,9,0,73,6,6,0,0,7,02 May 2026 11:19:52,5F911EFF8CA86E0DCF71
SD NEGERI LERAN IV KALITIDU,20540733,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,6,1,58,6,6,0,1,8,25 Apr 2026 13:03:50,519B71BA3EB8FD02DD98
SD NEGERI MAYANGREJO,20540754,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,97,6,6,2,1,17,02 May 2026 08:31:00,6D3215B01F5E9A1082C6
SD NEGERI MLATEN I KALITIDU,20540770,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,7,1,42,6,6,0,0,14,02 May 2026 09:23:23,D911A10C2916ED6C88FD
SD NEGERI MLATEN II KALITIDU,20540771,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,9,1,58,6,6,0,1,17,28 Apr 2026 12:04:01,DB6CD3464B57E168B28C
SD NEGERI MOJO KALITIDU,20540774,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,78,6,6,0,1,9,04 Apr 2026 09:06:00,796E9A8C9EFFF06EF36A
SD NEGERI MOJOSARI KALITIDU,20540786,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,0,86,6,6,0,1,12,04 Apr 2026 08:33:05,7D73E0B5B0A6A8AED9F3
SD NEGERI NGRINGINREJO II KALITIDU,20540858,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,67,6,6,0,1,28,10 Apr 2026 10:51:22,18439DC8E966FB32B028
SD NEGERI NGUJO I KALITIDU,20540859,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,93,6,7,0,1,11,09 Apr 2026 18:52:51,D5AC88A545AB38D5F8AC
SD NEGERI PANJUNAN II KALITIDU,20540901,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,12,1,241,10,10,0,1,7,04 Mar 2026 08:31:03,DE4F407E18F7DFF80AC6
SD NEGERI PILANGSARI I KALITIDU,20540929,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,72,6,6,0,1,5,07 Apr 2026 10:11:32,EF044A85E1CD1C792DAF
SD NEGERI PILANGSARI II KALITIDU,20540930,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,0,63,6,6,0,0,14,22 Apr 2026 10:35:48,177D463F4935FEC63DEF
SD NEGERI PUNGPUNGAN I KALITIDU,20540953,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,2,56,6,6,0,1,11,17 Apr 2026 07:45:41,9415BF547C71D9B60067
SD NEGERI PUNGPUNGAN II KALITIDU,20540954,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,5,2,90,6,6,0,1,4,15 Apr 2026 11:42:47,13563B3444ACC25FD419
SD NEGERI SUKOHARJO KALITIDU,20541058,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,2,57,6,6,0,1,9,02 Apr 2026 11:24:13,06E1E8EDC9F440208FE8
SD NEGERI SUMENGKO I KALITIDU,20541101,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,83,6,6,0,1,12,03 Apr 2026 20:04:10,2AA7143936DA0DA81106
SD NEGERI SUMENGKO II KALITIDU,20541102,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,2,103,6,6,0,1,17,14 Apr 2026 10:21:55,1D43232FAF3274D3986B
SD NEGERI TALOK KALITIDU,20541121,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,2,87,6,6,0,1,13,08 Apr 2026 21:15:25,B57209FC8C259C40FF02
SD NEGERI WOTANNGARE I KALITIDU,20541204,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,1,76,6,6,0,0,10,09 Apr 2026 09:04:21,961E73C687A2DA3D2B88
SD NEGERI WOTANNGARE II KALITIDU,20541205,SD,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,8,0,106,6,7,0,0,9,03 Apr 2026 21:40:37,A122D341B6C00D0557CC
SMP NEGERI 1 KALITIDU,20541356,SMP,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,45,5,859,27,25,8,2,26,13 Apr 2026 17:19:43,3DD1CB3FD8A7A3B70064
SMP NEGERI 2 KALITIDU,20504415,SMP,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,28,5,448,15,16,5,1,19,02 May 2026 11:51:16,7A6C8B19314AD3D28ACE
SMP ISLAM AL ALY MAYANGREJO KALITIDU,20541339,SMP,Swasta,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,3,1,163,6,5,2,1,17,01 May 2026 12:26:49,D2B9ABF52DA7CB5007BB
SMP ISLAM NURUL ULUM KALITIDU,20555374,SMP,Swasta,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,3,2,34,3,3,1,0,3,21 Jan 2026 22:36:44,97CE0E0B10BB844B75D2
SMA NEGERI 1 KALITIDU BOJONEGORO,20504488,SMA,Negeri,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,46,11,947,27,27,6,1,84,01 May 2026 20:52:09,F99A5D066D2E1A273F52
SMA ISLAM AL ALY,69753172,SMA,Swasta,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,13,2,54,3,5,2,2,27,28 Apr 2026 08:07:11,7EE2C769DA170343E8E5
SMAS ISLAM ALFATTAH KALITIDU,20541217,SMA,Swasta,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,6,4,23,3,4,2,1,18,28 Apr 2026 10:07:49,6713D963137E9C6AEBF6
SMKS AL FATTAH,20570835,SMK,Swasta,Kec. Kalitidu,050520,Kab. Bojonegoro,050500,Prov. Jawa Timur,050000,20,2,276,13,15,2,1,27,30 Apr 2026 13:11:06,EE38F720114F8E5F4E6F
