nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN ANTIROGO 01,20524964,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,6,5,146,6,6,1,1,14,07 Apr 2026 11:05:35,4ECE3D8A71EF73BB68FE
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN ANTIROGO 02,20524965,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,4,7,149,6,6,0,1,7,11 Apr 2026 12:50:21,1B0BA0D8D2CDCC7F19FA
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN ANTIROGO 03,20524980,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,6,4,166,6,6,0,1,12,02 Mar 2026 09:18:08,01DD22145244B49033EC
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN ANTIROGO 04,20525041,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,4,5,177,6,6,1,1,24,27 Apr 2026 13:05:19,F7C805A907BD13A7B04E
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KARANGREJO 01,20524852,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,6,2,215,8,8,1,1,36,11 Apr 2026 14:37:20,9EF429156076CC3A1DA2
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KARANGREJO 02,20524853,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,12,7,385,13,13,2,1,34,25 Apr 2026 09:17:57,23F42CF3C7730F2AAB7E
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KARANGREJO 03,20524855,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,20,3,476,18,21,1,1,33,16 Apr 2026 09:01:06,AFF07FE74A561A82C0B3
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KARANGREJO 04,20524856,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,6,4,170,6,7,0,1,54,29 Apr 2026 09:15:40,0A81601C33DB251416D9
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KARANGREJO 05,20524858,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,5,3,163,6,6,1,1,33,02 Apr 2026 10:24:57,F7B99027683AB26B67DF
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KARANGREJO 06,20524859,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,6,3,162,6,6,1,0,6,13 Feb 2026 09:11:43,CA0624715D4D57EC2AE8
UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN KEBONSARI 01,20523575,SD,Negeri,Kec. Sumbersari,052430,Kab. Jember,052400,Prov. Jawa Timur,050000,12,4,354,12,12,1,1,33,27 Apr 2026 13:14:03,A7736F8BA44CD5CC5687
