nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN Banyakan 1,20512783,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,14,2,238,12,12,0,1,12,28 Apr 2026 14:26:13,B27BDBFB265F33F860FC
SDN Banyakan 2,20512782,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,2,113,6,7,1,1,17,04 Apr 2026 04:47:14,2475042E38F7D2643F5A
SDN Jabon 1,20512643,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,16,2,295,12,13,0,1,22,09 Mar 2026 08:31:02,BACCD4B04D39DF1E90C4
SDN Jabon 2,20512642,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,6,1,98,6,6,0,1,11,28 Apr 2026 05:57:37,11EE4983A13697F4BB99
SDN Jatirejo,20512658,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,9,2,175,8,13,0,1,15,20 Mar 2026 05:22:07,E20AA53D289F740FCB2E
SDN Manyaran 1,20511835,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,7,3,117,6,7,0,1,11,07 Mar 2026 15:00:41,81723FD27EC91C77E70B
SDN Manyaran 2,20511834,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,0,67,6,6,1,1,10,08 Apr 2026 10:13:29,3BF1C4F1A76481256D8F
SDN Manyaran 3,20511833,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,1,75,6,6,0,1,1,15 Apr 2026 13:37:02,13D745668E0976906C5E
SDN Manyaran 4,20511832,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,6,2,60,6,6,0,0,39,15 Apr 2026 07:33:49,AC5F2C8A768253952357
SDN Maron,20511828,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,9,1,103,6,6,0,1,26,14 Apr 2026 20:55:03,B7D5898A3556FCAD50A2
SDN Ngablak 1,20511785,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,15,2,207,10,12,0,1,11,16 Apr 2026 12:02:00,CD3347CAD401442F1B0F
SDN Parang 1,20511608,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,2,108,6,6,0,1,30,08 Mar 2026 13:03:39,EA0509DC950844A281C7
SDN Parang 2,20511607,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,2,138,6,12,0,0,11,17 Apr 2026 10:30:54,F36C7CC5F8E27D126D21
SDN Parang 3,20511606,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,7,0,78,6,4,0,0,25,29 Apr 2026 07:33:04,E9FD40B0BA406FCA6E08
SDN Parang 4,20511605,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,7,1,80,6,5,0,0,40,27 Apr 2026 09:46:26,59391E23D0913598F0F3
SDN Parang 5,20554546,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,7,2,35,6,4,0,0,10,02 Apr 2026 10:34:51,D59DE06FA20B36015624
SDN Sendang,20511647,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,7,2,190,7,6,0,0,11,02 May 2026 19:53:40,A23FA6EFFB5A09262E02
SDN Tiron 1,20512108,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,16,2,281,12,13,1,1,13,28 Apr 2026 10:23:30,183A565689F012769058
SDN Tiron 2,20512107,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,2,112,6,6,0,0,20,07 Mar 2026 04:48:07,261D2629F8D0B84818EA
SDN Tiron 3,20512106,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,7,0,63,6,6,0,0,13,29 Apr 2026 08:07:10,F1CC06ED497D1B4078DE
SDN Tiron 4,20554545,SD,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,12,1,171,8,11,0,0,19,30 Apr 2026 08:07:13,6FACF33A2EA7D545384B
SD PLUS DARUL HIKMAH,69949266,SD,Swasta,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,6,2,94,6,7,0,0,18,03 Apr 2026 08:39:11,0A5F62336BEE9ACB8C91
SD SURYA INSPIRASI SCHOOLS,70057904,SD,Swasta,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,5,2,38,4,4,2,1,12,15 Apr 2026 08:03:34,E7DB3373A21C2D047B18
UPTD SMPN 1 Banyakan,20511866,SMP,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,36,9,678,21,21,2,2,45,02 May 2026 11:06:47,BA291E815638EE7D6D58
UPTD SMPN 2 Banyakan Satu Atap,69864655,SMP,Negeri,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,8,2,59,3,3,2,0,21,27 Apr 2026 08:41:23,CBC1642CBA8DCD5F7613
SMP ISLAM AS-SHIDIQ,70033762,SMP,Swasta,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,6,1,71,3,3,0,0,27,27 Apr 2026 10:23:28,F514ABD6C33D441FADD3
SMP MULTIMEDIA AS SATAR,70049147,SMP,Swasta,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,6,3,32,2,2,0,0,10,17 Apr 2026 09:05:47,095754A3CC3939C455E6
SMP Surya Inspirasi Schools,70057836,SMP,Swasta,Kec. Banyakan,051312,Kab. Kediri,051300,Prov. Jawa Timur,050000,4,3,9,2,3,0,1,20,07 Apr 2026 14:55:46,5D9D3D702A81EE8952C7
