nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BAKALANPULE,20507256,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,8,1,93,6,6,0,1,11,02 Mar 2026 16:39:08,72C8A4B7F07734F28FAF
SD NEGERI 1 BALONGWANGI,20507260,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,8,2,99,6,6,0,1,7,26 Feb 2026 16:17:08,200D2A46E03B0DBEB849
SD NEGERI 1 BOTOPUTIH,20506130,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,7,1,37,5,5,0,0,8,31 Jan 2026 13:17:56,59C74A78DFAA54F2E3BA
SD NEGERI 1 DUKUHAGUNG,20506077,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,7,1,67,6,6,0,0,12,07 Mar 2026 09:06:23,3680981E0B58E4D8C3D2
SD NEGERI 1 JOTOSANUR,20506223,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,8,2,86,6,6,0,0,7,04 Mar 2026 12:35:22,299D6F806BDD4AFB8F3C
SD NEGERI 1 KELORARUM,20505870,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,9,1,61,6,8,0,1,21,02 May 2026 09:15:13,DB7E0EAC0ED3569F85B6
SD NEGERI 1 PENGUMBULANADI,20505943,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,9,1,67,6,6,0,1,12,10 Apr 2026 18:26:22,95F1BD1D5CBADE6F6ADC
SD NEGERI 1 SOKO,20506469,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,7,2,55,6,6,1,1,21,02 Mar 2026 17:39:37,6F8297AF6FBDDE1E4EE1
SD NEGERI 1 TAKERANKLATING,20506619,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,9,1,43,6,6,0,1,19,07 Mar 2026 15:36:11,F8618E05C05419B9E2A0
SD NEGERI 1 TAMBAKRIGADUNG,20506655,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,8,1,69,6,6,0,1,14,10 Apr 2026 10:01:15,F51F42279B960F2A0720
SD NEGERI 1 WONOKROMO,20506587,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,7,1,90,6,6,1,1,19,10 Apr 2026 21:54:35,93F27770C8A3D8825F1C
SD NEGERI 2 BAKALANPULE,20507257,SD,Negeri,Kec. Tikung,050714,Kab. Lamongan,050700,Prov. Jawa Timur,050000,8,1,194,6,6,1,1,10,03 Mar 2026 11:55:06,38C8232D4A9BC7A16B1D
