nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BLUKON,20521379,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,8,2,126,6,6,0,1,11,27 Apr 2026 13:33:05,BF2A045A6E5B89F4BE46
SD NEGERI BORENG 02,20521399,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,7,3,147,6,6,0,1,9,09 Mar 2026 10:11:12,489B5747212F10B9C316
SD NEGERI CITRODIWANGSAN 01,20521361,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,19,3,427,16,16,0,1,26,27 Apr 2026 22:45:07,BCD27FE5B6A25CE022CE
SD NEGERI CITRODIWANGSAN 02,20521360,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,20,2,395,15,14,1,0,19,09 Apr 2026 16:01:21,0D3F2242CF6B72CF2D60
SD NEGERI CITRODIWANGSAN 03,20521376,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,6,1,124,6,6,1,1,16,10 Apr 2026 09:39:51,E880894ABAFC26CF7696
SD NEGERI CITRODIWANGSAN 04,20521362,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,8,3,121,6,6,0,1,38,29 Apr 2026 12:58:08,0EEB3558E74ACA1E4F40
SD NEGERI DENOK,20521366,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,8,3,121,6,6,0,1,22,08 Apr 2026 08:54:01,08C33C7D7C0994B096F8
SD NEGERI DITOTRUNAN 01,20521352,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,28,6,546,20,20,2,1,28,14 Apr 2026 20:33:36,E2EB663E922D16A3BDC6
SD NEGERI DITOTRUNAN 02,20521297,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,6,4,104,6,7,1,1,26,13 Apr 2026 10:13:58,B254EEEB0AB537639B56
SD NEGERI JOGOTRUNAN,20521198,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,23,2,480,18,18,1,1,62,02 May 2026 10:39:32,FA9CD502FCBA6A3D4E9B
SD NEGERI JOGOYUDAN 01,20521199,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,6,3,140,6,6,0,0,68,21 Apr 2026 15:05:12,98C9AF10B957DBA9137A
SD NEGERI JOGOYUDAN 02,20521197,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,4,2,84,6,6,0,0,17,28 Apr 2026 07:50:00,DDD4C0AE9E985A58F33B
SD NEGERI KEPUHARJO 01,20520658,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,7,3,158,6,6,0,1,12,27 Apr 2026 12:24:41,43A16BC29992039A8958
SD NEGERI KEPUHARJO 02,20520669,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,10,2,218,9,8,0,1,24,18 Apr 2026 09:23:38,EC2E4B52194AA4213765
SD NEGERI ROGOTRUNAN 01,20520611,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,11,3,178,9,9,1,0,26,18 Apr 2026 08:18:28,5C0A31BE9B4F324A4D9A
SD NEGERI ROGOTRUNAN 02,20520613,SD,Negeri,Kec. Lumajang,052110,Kab. Lumajang,052100,Prov. Jawa Timur,050000,8,2,96,6,6,0,0,42,15 Apr 2026 11:41:31,A7CE32765D231ECC739A
