nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 ARGOSARI,20518637,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,7,1,169,6,7,1,0,8,09 Apr 2026 08:09:07,123E089A51CCDF7E78E2
SD NEGERI 1 GADINGKEMBAR,20518772,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,5,2,100,6,6,0,0,5,04 Apr 2026 08:30:43,BF2CAFA9063064663D50
SD NEGERI 1 GUNUNGJATI,20518476,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,10,2,199,8,11,1,1,8,07 Apr 2026 05:19:31,EA9EF67D3886F9C4B3B1
SD NEGERI 1 JABUNG,20518469,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,6,1,224,6,9,2,1,15,01 May 2026 07:34:20,3538880D554C4BE5306E
SD NEGERI 1 KEMANTREN,20537326,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,14,1,346,14,18,2,1,18,09 Apr 2026 11:49:58,7DC3C185A01262AF9FA2
SD NEGERI 1 KEMIRI,20518608,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,8,2,177,7,6,0,0,8,03 Mar 2026 07:25:02,1BB80C9E5F0AA3EC3DAF
SD NEGERI 1 KENONGO,20518588,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,5,1,83,6,6,1,1,11,03 Apr 2026 08:55:39,40CE10CCF6DF1EEE0433
SD NEGERI 1 NGADIREJO,20537329,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,6,3,125,6,7,0,1,21,11 Apr 2026 13:07:15,C9A2A899B10D773AEDE9
SD NEGERI 1 PANDANSARI LOR,20517206,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,5,1,164,6,11,0,1,7,27 Apr 2026 12:09:08,32DF2FCF076A25C14368
SD NEGERI 1 SIDOMULYO,20516947,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,5,1,199,7,8,0,0,5,08 Apr 2026 00:34:31,35FDED6B0ED9148404F6
SD NEGERI 1 SIDOREJO,20516938,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,7,1,57,6,6,0,0,10,12 Apr 2026 08:44:03,50D34ACEF3F546D60D1A
SD NEGERI 1 SLAMPAREJO,20516850,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,7,1,155,6,6,0,1,11,08 Apr 2026 07:34:47,79E50C325176A49CA4AB
SD NEGERI 1 SUKOLILO,20516880,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,8,1,221,9,7,1,1,13,08 Apr 2026 08:09:02,B8C8E71A0C7D4072BB38
SD NEGERI 1 SUKOPURO,20516874,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,9,1,233,9,9,0,1,8,12 Apr 2026 09:28:41,82A86381B2C6C01114FD
SD NEGERI 1 TAJI,20516983,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,6,1,60,6,6,0,0,9,04 Apr 2026 08:54:45,4D1093AF4C92132B4B80
SD NEGERI 2 ARGOSARI,20518638,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,4,1,156,6,6,0,0,9,04 Apr 2026 18:53:10,4FE63ECC5F637D0C08D8
SD NEGERI 2 GADINGKEMBAR,20518773,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,7,2,131,6,6,0,0,21,15 Apr 2026 11:07:41,B603A2EC22B8AE0AB469
SD NEGERI 2 KEMIRI,20571407,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,4,1,72,6,7,0,1,8,20 Apr 2026 10:04:32,16F1D671F26C4279AE29
SD NEGERI 2 PANDANSARI LOR,20518722,SD,Negeri,Kec. Jabung,051826,Kab. Malang,051800,Prov. Jawa Timur,050000,5,2,45,6,6,0,0,1,12 Apr 2026 10:24:37,B68210F8B0CCDDD67A9B
