nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN BANJARSARI 1,20502826,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,8,1,103,6,6,0,0,11,01 May 2026 21:58:41,3B8F1E63ACDF99B6DC4E
SDN BANJARSARI 2,20502827,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,8,2,53,6,6,0,0,9,10 Apr 2026 09:55:34,32D467A459E41A8A8284
SDN BENDUNG 1,20502884,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,7,3,202,7,11,0,1,13,20 Apr 2026 20:57:23,202E4A8AC9689DEFF6CD
SDN BENDUNG 2,20502885,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,9,1,27,6,6,0,1,33,31 Mar 2026 07:04:46,150C29BEFB04AFB35489
SDN CANGGU,20502867,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,27,4,650,22,23,2,1,15,02 May 2026 08:40:38,C399E61F595F69924926
SDN JETIS 1,20502799,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,16,3,357,12,15,1,1,21,10 Apr 2026 08:31:31,23FD4475D5FB52CF1C6F
SDN JETIS 2,20502798,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,11,1,87,6,6,1,1,7,08 Apr 2026 04:11:46,932675BB24F5BB6008DE
SDN JOLOTUNDO 1,20502780,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,8,2,146,6,6,0,1,12,23 Apr 2026 08:02:54,7686B86DFC29CFB1EF0E
SDN JOLOTUNDO 2,20502781,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,10,2,80,6,6,0,1,9,10 Apr 2026 09:06:15,6EE7191E5119106F25BF
SDN KUPANG 1,20503039,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,8,1,82,6,6,0,1,25,05 Mar 2026 11:18:14,B88438C42786C7B69CC7
SDN KUPANG 2,20503022,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,7,2,135,6,6,0,1,16,02 May 2026 11:52:37,BFA83BA12015D6063246
SDN LAKARDOWO,20503030,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,10,2,162,6,6,1,1,20,09 Apr 2026 14:33:41,C56E97595FF77E57A743
SDN MLIRIP 1,20502927,SD,Negeri,Kec. Jetis,050316,Kab. Mojokerto,050300,Prov. Jawa Timur,050000,8,1,108,6,6,1,1,8,10 Apr 2026 16:52:22,80155F885CE041B84527
