nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BALONGGEBANG,20537705,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,3,85,6,6,0,1,5,07 Apr 2026 20:02:11,AD4D557BCEE34A317367
SD NEGERI 1 CAMPUR,20537755,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,123,6,6,0,1,9,02 Mar 2026 09:09:00,B09AF7D7B46801127139
SD NEGERI 1 GONDANGKULON,20537817,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,3,144,6,6,0,1,14,03 Feb 2026 09:22:51,9576B7CBA9779D935C7D
SD NEGERI 1 JAAN,20537886,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,4,123,6,6,0,1,10,09 Apr 2026 08:48:46,8DF499F011590A4AB529
SD NEGERI 1 KARANGSEMI,20537948,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,5,1,100,6,6,0,0,38,23 Apr 2026 10:16:32,EA8B4C8138883C8F409C
SD NEGERI 1 KETAWANG,20537998,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,123,6,6,0,2,7,04 Mar 2026 04:18:02,AA26A7AF9F41D081FB03
SD NEGERI 1 NGLINGGO,20538096,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,187,6,9,0,0,19,28 Apr 2026 08:39:51,D8BC69D0CAA08090DEB6
SD NEGERI 1 NGUJUNG,20538114,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,5,59,6,6,0,0,10,16 Apr 2026 10:02:51,F371D42F934E4234AC99
SD NEGERI 1 PANDEAN,20538125,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,3,141,6,6,0,1,21,02 May 2026 09:09:00,A3CD419FA9197393CC00
SD NEGERI 1 SANGGRAHAN,20538175,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,3,111,6,8,0,0,9,27 Mar 2026 11:06:29,394588E7E9E35F253270
SD NEGERI 1 SENGGOWAR,20538188,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,1,87,6,6,0,1,7,29 Apr 2026 11:04:11,ACB8EF33B4A21B5FB985
SD NEGERI 1 SUMBERAGUNG,20538232,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,3,106,6,6,0,1,15,04 Mar 2026 08:08:25,7996070E0F967C1E1A4D
SD NEGERI 1 SUMBERJO,20538235,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,117,6,6,0,1,25,30 Apr 2026 18:42:48,DB2AF003099C21BA2F53
SD NEGERI 2 BALONGGEBANG,20537706,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,8,1,166,6,6,0,1,12,04 Apr 2026 22:20:54,BA8DA309096D74DC998E
SD NEGERI 2 CAMPUR,20537756,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,88,6,6,0,1,12,02 May 2026 08:47:58,3DFDE69C0752806C08FD
SD NEGERI 2 GONDANGKULON,20537818,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,8,4,209,6,8,0,0,40,17 Apr 2026 14:50:04,68BB31FCAB022A5A64AA
SD NEGERI 2 JAAN,20537887,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,1,97,6,7,0,1,13,30 Apr 2026 09:14:50,92E1DD51E2419CE0FEAC
SD NEGERI 2 KETAWANG,20538001,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,5,1,41,6,6,0,1,4,02 Feb 2026 10:49:29,FBDEF3C5C2B7B67A6350
SD NEGERI 2 NGLINGGO,20538097,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,155,6,6,0,1,16,12 Mar 2026 09:25:10,447BB1C421F0FC418FAF
SD NEGERI 2 NGUJUNG,20538115,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,5,1,87,6,6,0,1,9,10 Apr 2026 19:15:49,235AAB08E76ACB6F5922
SD NEGERI 2 SUMBERJO,20538236,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,8,1,94,6,6,0,0,11,06 Apr 2026 08:46:47,3ECB8BB56316C26180A7
SD NEGERI 3 BALONGGEBANG,20537707,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,1,139,6,6,0,1,8,03 Mar 2026 16:30:14,4B59BD5D2C300D361DB7
SD NEGERI 3 CAMPUR,20537757,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,4,1,40,6,6,0,1,10,07 Mar 2026 10:28:47,FDD8634CA94CEA4FE7EB
SD NEGERI 3 JAAN,20537889,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,3,115,6,2,0,1,16,27 Apr 2026 08:34:49,69F8F18E053313A82DAC
SD NEGERI 3 KARANGSEMI,20537949,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,52,6,6,0,1,13,06 Apr 2026 11:11:53,82FCEC56C046208B85CB
SD NEGERI 3 NGUJUNG,20538116,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,5,2,73,6,6,0,0,9,09 Apr 2026 10:36:48,52AC48E5D899B0C1C6A6
SD NEGERI 3 SENGGOWAR,20538189,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,2,48,6,6,0,0,9,07 Apr 2026 16:48:26,E935F2314564988CF84C
SD NEGERI 4 BALONGGEBANG,20537708,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,8,2,111,6,6,0,1,62,30 Apr 2026 10:04:11,000F6D6A0EEEF2260FD2
SD NEGERI 4 CAMPUR,20537758,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,2,65,6,6,0,0,5,05 Mar 2026 12:21:33,F675761178B05CFA469F
SD NEGERI KEDUNGGLUGU,20537968,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,3,60,6,6,0,1,15,05 Apr 2026 20:36:29,A4356991A29EBE72B238
SD NEGERI MOJOSETO,20538060,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,8,2,74,6,9,0,1,17,02 May 2026 09:51:20,7BFC874D97B28AAD7F61
SD NEGERI SENJAYAN,20538191,SD,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,7,3,72,6,6,0,1,8,30 Apr 2026 11:27:34,CF9B0F85119A0C159F2C
SD PLUS AN NAHDLAH,69727419,SD,Swasta,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,19,3,330,15,16,0,2,36,27 Apr 2026 11:42:46,187D5B47C934F62783C4
SMP NEGERI 1 GONDANG,20538359,SMP,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,46,7,866,27,27,5,2,17,02 May 2026 08:48:53,7F3B65BB33FFA96F9D08
SMP NEGERI 2 GONDANG,20538309,SMP,Negeri,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,35,5,555,19,20,6,2,18,19 Apr 2026 10:28:41,8A27DD4715B0F1B620EC
SMP Islam Plus An Nahdliyah Gobang,70028928,SMP,Swasta,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,3,26,3,3,1,0,20,22 Apr 2026 09:40:51,9A6967E706F6EB624499
SMP Muhammadiyah 7 Gondang,20538356,SMP,Swasta,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,6,1,9,3,3,0,0,16,22 Apr 2026 17:03:52,8F745D6AE079CDBDE689
SMP PLUS AN-NAHDLAH,70001531,SMP,Swasta,Kec. Gondang,051412,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,9,1,66,3,6,2,1,28,23 Apr 2026 11:31:03,BFE2BBC4958DB6EEEC99
