nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BANDAR,20555440,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,3,108,6,6,0,2,23,02 May 2026 04:23:03,3F17D2F5114BA08F723D
SD NEGERI 1 BANGUNSARI,20511257,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,1,73,6,6,0,1,14,07 Mar 2026 17:18:44,2507EC348AD7C5D9A382
SD NEGERI 1 JERUK,20511523,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,95,6,6,0,1,8,01 May 2026 14:24:15,B49F879148E9348D571E
SD NEGERI 1 KLEDUNG,20511459,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,69,6,6,0,1,15,09 Apr 2026 23:32:43,CC3CD6A95890C8C4ABFD
SD NEGERI 1 NGUNUT,20510863,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,53,6,6,1,1,14,17 Apr 2026 15:30:01,4704309F8DB7D1A39985
SD NEGERI 1 PETUNGSINARANG,20510896,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,60,6,6,0,1,28,16 Mar 2026 12:21:21,6397DFFCB34864425DE7
SD NEGERI 1 TUMPUK,20511031,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,0,53,5,6,0,1,11,29 Apr 2026 14:48:21,CF933F8DC32E84D71A5C
SD NEGERI 1 WATUPATOK,20511037,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,114,6,6,0,1,6,03 Mar 2026 23:54:37,33DA8CFFAEED4C54B594
SD NEGERI 2 BANDAR,20511261,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,2,82,6,6,0,1,43,22 Apr 2026 17:35:27,7228681E425728B85AB3
SD NEGERI 2 BANGUNSARI,20511274,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,70,6,6,1,1,11,31 Mar 2026 09:45:08,A9E5A455A64E8AFCAB60
SD NEGERI 2 JERUK,20511522,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,82,6,7,0,1,27,06 Mar 2026 12:58:25,4FBB96717E063D5E320D
SD NEGERI 2 KLEDUNG,20511458,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,2,49,6,6,0,1,17,24 Apr 2026 23:22:43,96726E4486FD78B9298D
SD NEGERI 2 NGUNUT,20510852,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,65,6,6,0,1,13,03 Mar 2026 08:12:09,07EB50B2F36F185A1CBA
SD NEGERI 2 PETUNGSINARANG,20510904,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,53,6,6,0,1,6,24 Feb 2026 12:05:18,B67AA23CA1741D4F9B13
SD NEGERI 2 TUMPUK,20511032,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,68,6,6,0,0,6,03 Mar 2026 07:55:43,56B86423B41B6AF1EF3F
SD NEGERI 2 WATUPATOK,20511036,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,84,6,7,0,1,30,24 Apr 2026 13:14:17,5494F4FE43ADB1C03C41
SD NEGERI 3 BANDAR,20511260,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,73,6,6,1,1,27,07 Apr 2026 17:19:43,0F14FC6E5184DF5ACB13
SD NEGERI 3 BANGUNSARI,20511273,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,59,6,6,0,1,59,29 Mar 2026 16:01:04,1774DA648BCCB292DE8C
SD NEGERI 3 JERUK,20511521,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,1,168,10,10,0,1,13,04 Apr 2026 21:36:25,8D4B3E0E6D4EA0D68AA7
SD NEGERI 3 KLEDUNG,20511457,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,1,29,6,6,0,0,4,03 Mar 2026 08:34:51,CDD6CE984B995368D263
SD NEGERI 3 NGUNUT,20510935,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,3,62,6,6,0,1,30,01 Apr 2026 22:06:31,4DA3D82CC9CBC8D545AE
SD NEGERI 3 PETUNGSINARANG,20510905,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,39,6,4,0,1,44,09 Mar 2026 07:02:29,7F2142E6104ABCEF238D
SD NEGERI 3 TUMPUK,20511040,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,57,6,6,1,0,127,24 Apr 2026 13:53:35,F027EA5AB5919A51FAF8
SD NEGERI 3 WATUPATOK,20511035,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,21,5,6,0,1,20,29 Apr 2026 21:25:48,3B7098381B64A7879E07
SD NEGERI 4 JERUK,20511520,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,3,76,6,6,0,0,22,14 Apr 2026 11:42:55,AE6E2A3BD669E4555C9A
SD NEGERI 4 NGUNUT,20510924,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,3,90,6,6,1,1,40,13 Mar 2026 16:45:38,16421CBE3338098A6F32
SD NEGERI 4 PETUNGSINARANG,20510913,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,4,133,6,6,0,1,10,07 Apr 2026 08:19:26,CEDF4E3004C2D5E77D95
SD NEGERI 5 BANDAR,20511258,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,3,92,6,7,0,1,30,31 Mar 2026 17:14:58,3201E5DA06703F8A5B1D
SD NEGERI 5 JERUK,20511519,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,5,2,33,6,6,0,1,6,07 Apr 2026 05:25:31,420791036F88F3C81482
SD NEGERI 5 PETUNGSINARANG,20510912,SD,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,4,48,6,5,0,0,14,04 Apr 2026 23:37:52,A97153F244D8A8215F61
SDIT AL BANNA,69929986,SD,Swasta,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,14,3,235,12,12,0,1,6,04 Mar 2026 11:41:29,6E101F34675F2585FD89
SMP NEGERI 1 BANDAR,20510960,SMP,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,23,7,367,13,14,3,1,31,21 Apr 2026 09:16:02,8F1BD8D3A4D5CB1F7F97
SMP NEGERI 2 BANDAR,20510971,SMP,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,14,6,187,8,9,3,1,22,28 Apr 2026 23:21:00,B4994954BD447990B78F
SMP NEGERI 3 BANDAR,20510940,SMP,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,14,5,274,11,14,3,1,24,29 Apr 2026 10:11:23,B22B2EB1C36612C7164E
SMP NEGERI 4 BANDAR SATU ATAP,20557250,SMP,Negeri,Kec. Bandar,051208,Kab. Pacitan,051200,Prov. Jawa Timur,050000,12,3,58,3,3,2,1,19,24 Apr 2026 08:00:58,EA364BCFF9F3F30FBA84
