nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 GEDANGAN,20511480,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,0,85,6,6,0,1,14,02 Apr 2026 16:54:08,ED5A627E7C3086A41C68
SD NEGERI 1 GEMAHARJO,20511535,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,0,80,6,6,0,1,17,03 Mar 2026 04:36:42,40226C9F122F44F109C8
SD NEGERI 1 KASIHAN,20511388,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,96,6,6,0,1,12,12 Feb 2026 09:28:57,DF543FE4836B7E30EB58
SD NEGERI 1 KEBONDALEM,20511399,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,76,6,6,0,1,11,04 Apr 2026 11:18:02,84BAAC66FCD674CC0453
SD NEGERI 1 KEMUNING,20511393,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,1,70,6,6,0,1,7,07 Apr 2026 12:21:27,8A63BF93AC48DE02DD2C
SD NEGERI 1 NGRECO,20510855,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,2,45,6,6,0,1,20,11 Feb 2026 19:45:45,A133E036B3B655002ED4
SD NEGERI 1 PLOSO,20510908,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,40,6,6,0,1,5,07 Apr 2026 14:26:35,2B31A8486F9A2832543A
SD NEGERI 1 PUCANGOMBO,20510801,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,60,6,6,0,1,8,02 Mar 2026 20:53:43,D5A953E189C6FD24301F
SD NEGERI 1 TAHUNAN,20510823,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,1,46,6,6,0,1,6,26 Jan 2026 09:46:54,362B6829706F11CB42DE
SD NEGERI 1 TAHUNAN BARU,20510824,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,122,6,6,0,1,22,07 Apr 2026 19:55:06,E3540F3DE9E4293E0910
SD NEGERI 1 TEGALOMBO,20511052,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,104,6,6,0,1,29,09 Apr 2026 17:22:38,A7BDC5914D3F31ADCDA7
SD NEGERI 2 GEDANGAN,20511479,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,1,101,6,6,0,1,85,27 Apr 2026 09:07:29,A79644E2DE48A4A1A1EB
SD NEGERI 2 GEMAHARJO,20511534,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,38,6,6,0,0,17,05 Apr 2026 10:23:40,DC284A4711DDD0C0201D
SD NEGERI 2 KASIHAN,20511387,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,73,6,6,0,0,33,22 Apr 2026 12:10:06,9793EBF6E199A4162505
SD NEGERI 2 KEBONDALEM,20511398,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,0,77,6,6,1,1,22,11 Feb 2026 15:28:40,76258183F2406C96504A
SD NEGERI 2 KEMUNING,20511382,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,2,61,6,6,0,0,6,06 Feb 2026 15:56:15,357C8DAB02FF3A7F243D
SD NEGERI 2 NGRECO,20510854,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,3,60,6,6,0,1,21,30 Apr 2026 10:13:55,00A531264DABB81717EE
SD NEGERI 2 PLOSO,20510810,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,0,31,6,6,0,1,14,12 Feb 2026 13:10:14,3B7761B81780CCD31284
SD NEGERI 2 PUCANGOMBO,20510809,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,37,6,6,0,1,21,23 Apr 2026 10:09:32,7F2AEC281546DD7D43F8
SD NEGERI 2 TAHUNAN,20510822,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,2,46,6,6,0,1,19,07 Apr 2026 10:52:03,C86DCF2B2BB100BC5D93
SD NEGERI 2 TAHUNAN BARU,20510811,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,9,0,49,6,6,0,1,14,28 Apr 2026 10:20:26,7C519B6ACC7D565944B1
SD NEGERI 2 TEGALOMBO,20511053,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,71,6,6,0,1,18,16 Apr 2026 09:09:20,30FC0BE915A2D28E3995
SD NEGERI 3 GEMAHARJO,20511533,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,145,6,7,0,1,76,05 Apr 2026 20:57:48,E5B3F83955235ABF43A6
SD NEGERI 3 KASIHAN,20511386,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,1,56,6,6,0,0,27,27 Apr 2026 08:07:37,F30FC9A3BD2D957283E4
SD NEGERI 3 KEMUNING,20511465,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,29,6,6,0,1,22,04 Mar 2026 08:52:18,EF42D805168F6184E42B
SD NEGERI 3 NGRECO,20510853,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,81,6,6,0,1,19,02 Apr 2026 08:01:19,4A1190185E105BDC650D
SD NEGERI 3 PLOSO,20510798,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,84,6,6,0,1,19,03 Mar 2026 10:07:58,C92DD9B62740D58A8874
SD NEGERI 3 PUCANGOMBO,20510808,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,93,6,6,0,1,18,21 Apr 2026 21:05:34,0E01F4CF03538A225BA1
SD NEGERI 3 TAHUNAN,20510936,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,66,6,6,0,1,21,15 Feb 2026 10:11:29,FAFF70B02E06F8E6425B
SD NEGERI 3 TEGALOMBO,20555442,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,80,6,6,1,0,24,01 Apr 2026 06:42:19,0498B030BEFF91BC1C6C
SD NEGERI 4 GEMAHARJO,20511532,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,2,98,6,6,1,1,5,21 Jan 2026 13:26:54,C1A5722DFBB5F9119AE5
SD NEGERI 4 KASIHAN,20511385,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,41,6,6,0,0,5,03 Mar 2026 14:46:24,B1C2E722B5E941CEB58C
SD NEGERI 4 KEMUNING,20511453,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,73,6,6,0,1,88,05 Apr 2026 00:45:08,7A320D4AB4CDEA40DEA1
SD NEGERI 4 NGRECO,20510861,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,2,16,6,6,0,0,14,03 Mar 2026 10:42:08,1538D4E3B6205AD39ABB
SD NEGERI 4 PUCANGOMBO,20510807,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,89,6,6,0,1,31,02 Mar 2026 22:44:08,F7E87F2B22F98796C642
SD NEGERI 4 TEGALOMBO,20511060,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,2,32,6,4,0,0,17,28 Mar 2026 18:40:08,F8D223C529DA0543DF3D
SD NEGERI 5 GEMAHARJO,20511531,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,3,34,6,5,1,1,44,05 Apr 2026 20:38:37,D5DE343A69BB1614B993
SD NEGERI 5 NGRECO,20510862,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,2,41,6,6,0,0,29,28 Mar 2026 10:48:06,43380267E40C244C1583
SD NEGERI 5 PUCANGOMBO,20510806,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,8,1,30,6,4,0,1,24,03 Mar 2026 20:46:07,3B805DD78373CFC08652
SD NEGERI 6 NGRECO,20510870,SD,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,5,3,69,6,6,0,1,20,07 Apr 2026 21:02:04,AEB24058C1D0E24810FF
SMP NEGERI 1 TEGALOMBO,20511021,SMP,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,14,7,288,10,11,2,1,23,08 Apr 2026 12:22:49,BC0DBF8F47CF4B2A8C3C
SMP NEGERI 2 TEGALOMBO,20510942,SMP,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,17,8,232,9,16,1,1,39,30 Apr 2026 12:05:10,47AD748DB2B5BDE848D5
SMP NEGERI 3 TEGALOMBO,20510952,SMP,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,12,5,199,8,8,3,1,15,30 Mar 2026 10:54:57,F15412697EAA87A3912E
SMP NEGERI 4 TEGALOMBO SATU ATAP,20573296,SMP,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,10,2,76,3,5,1,1,10,27 Apr 2026 11:13:36,CFC7B3F29FC0BFF0CD2D
SMP NEGERI 5 TEGALOMBO SATU ATAP,69766201,SMP,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,7,5,55,3,3,1,1,3,17 Jan 2026 06:08:08,BB6B5861A773F36331AA
SMP HASYIM ASY`ARI KASIHAN,20570231,SMP,Swasta,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,10,3,90,4,5,1,1,12,12 Feb 2026 08:48:37,794627073C1AA57054F4
SMP MUHAMMADIYAH 3,20511081,SMP,Swasta,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,6,1,32,3,3,0,1,10,05 Mar 2026 14:19:46,69C88C66B43D63B9916F
SMAN 1 TEGALOMBO,20511004,SMA,Negeri,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,23,11,365,12,15,6,1,72,22 Apr 2026 10:49:01,39FB280FA50FEAE7B59B
SMK MA ARIF HASYIM ASY ARI TEGALOMBO,69899568,SMK,Swasta,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,12,3,83,3,3,1,0,24,10 Apr 2026 01:58:47,27DBA6F44FD766E05D5E
SMK PROGRESIF BABUSSALAM,69899701,SMK,Swasta,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,15,3,38,3,3,1,1,14,27 Apr 2026 07:47:29,75EFBBAD4A08CFA1CBAF
SMKS AL FATTAH TAHUNAN,20547837,SMK,Swasta,Kec. Tegalombo,051209,Kab. Pacitan,051200,Prov. Jawa Timur,050000,13,2,68,6,6,2,2,12,03 Mar 2026 14:47:00,B85360C1C244610B22F1
