nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN CANDIBINANGUN I SUKOREJO,20519513,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,8,1,243,6,11,0,1,21,19 Apr 2026 20:15:14,12629EBD3D3B6BD4AFD7
SDN CANDIBINANGUN II SUKOREJO,20519512,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,7,2,101,6,6,0,0,11,11 Mar 2026 12:05:30,28B910C81F1DC60922E0
SDN CANDIBINANGUN IV SUKOREJO,20519511,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,5,3,113,6,6,0,0,25,28 Apr 2026 07:44:16,E9B3BC93541A44B28A36
SDN CURAHREJO I SUKOREJO,20519372,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,7,2,63,6,6,0,0,30,10 Mar 2026 08:24:33,B294B1593B6B70A3FF03
SDN CURAHREJO II SUKOREJO,20519371,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,7,1,59,6,5,0,0,9,07 Apr 2026 10:25:12,F9606EF207A891167CAE
SDN DUKUHSARI SUKOREJO,20519384,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,6,1,82,6,5,0,0,10,27 Apr 2026 09:47:27,03041B9ECABC0FCAD382
SDN GLAGAHSARI I SUKOREJO,20519352,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,16,2,412,13,12,0,1,9,03 Feb 2026 08:39:40,788A44EC3A85EE95FC5D
SDN GLAGAHSARI III SUKOREJO,20519351,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,8,2,188,6,6,0,1,22,06 Apr 2026 14:26:15,74E96CF2DEBECA67055B
SDN GUNTING I SUKOREJO,20519422,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,7,1,208,6,6,0,0,12,09 Feb 2026 09:34:02,49660E090BF4641C9786
SDN GUNTING II SUKOREJO,20519421,SD,Negeri,Kec. Sukorejo,051911,Kab. Pasuruan,051900,Prov. Jawa Timur,050000,7,2,85,6,6,0,1,15,02 Apr 2026 20:56:12,8E642A1F6CF073939BD2
