nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BAJANG KECAMATAN MLARAK,20510365,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,2,3,18,4,6,1,1,18,27 Apr 2026 08:27:28,433745D4BCF1086F239C
SD NEGERI 1 CANDI,20510338,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,6,2,73,6,6,1,1,12,04 Apr 2026 17:42:28,6C43ACDBCCE34EB1707E
SD NEGERI 1 KAPONAN,20510636,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,6,2,34,6,6,1,1,13,04 Apr 2026 07:36:42,D8F64EF968B4F2904EB4
SD NEGERI 1 NGLUMPANG,20510677,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,6,2,71,6,6,1,1,20,24 Apr 2026 10:18:39,016BC6B9CC801CBEF0C1
SD NEGERI 1 SIWALAN,20510518,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,7,2,106,6,6,0,0,6,01 Feb 2026 05:12:31,97F1D9C6E7048D9EAA23
SD NEGERI 1 SUREN,20510525,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,5,2,81,6,6,1,1,9,14 Mar 2026 10:25:11,3948DF6CD1575A315FA5
SD NEGERI 1 TOTOKAN,20510510,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,5,2,48,6,7,0,1,12,16 Apr 2026 13:29:40,634ED798B573F43BA039
SD NEGERI 1 TUGU,20510494,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,6,2,63,6,6,1,0,10,09 Apr 2026 07:15:33,E37654FEDFADF101E236
SD NEGERI 2 CANDI,20510586,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,3,2,27,6,6,0,0,3,22 Jan 2026 07:28:44,32A6DCDC230F5A9CD8E9
SD NEGERI 2 JABUNG,20510541,SD,Negeri,Kec. Mlarak,051108,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,4,2,37,6,6,0,1,6,30 Mar 2026 20:24:12,3EE87725E93E14C427E2
