nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI ANDUNGBIRU I,20547533,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,9,2,106,6,6,0,1,35,09 Mar 2026 21:55:58,4F072674323736D3E731
SD NEGERI ANDUNGBIRU II,20547584,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,4,2,58,6,6,0,0,10,17 Apr 2026 20:18:51,451C6920E449F4BEBF06
SD NEGERI ANDUNGBIRU III,20547630,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,6,2,104,6,4,0,0,15,13 Apr 2026 10:18:32,1932B83C91EF56A59E76
SD NEGERI ANDUNGSARI I,20547534,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,7,1,57,6,6,0,0,32,07 Apr 2026 10:25:44,AB4D5C15E3D667C2F860
SD NEGERI ANDUNGSARI II,20547585,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,6,1,77,6,6,0,1,13,27 Apr 2026 08:44:03,0F53F47A9B29B6048A0A
SD NEGERI ANDUNGSARI III,20547631,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,6,3,110,6,5,0,1,18,23 Jan 2026 19:38:05,ECB75F6436AB5A9FBDB9
SD NEGERI JANGKANG I,20547547,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,9,2,138,7,7,0,0,16,14 Apr 2026 14:49:25,3A0D5B044166089C9D77
SD NEGERI JANGKANG II,20547596,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,4,1,26,6,3,0,0,5,04 Mar 2026 10:38:12,F107C5B1906B15DD1830
SD NEGERI JANGKANG III,20547637,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,5,2,38,6,3,0,0,8,14 Apr 2026 18:30:52,38E7B5CD6CFFCB7D0AAB
SD NEGERI PEDAGANGAN I,20547560,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,7,2,108,6,6,0,1,43,25 Apr 2026 08:33:37,20B38E4D69DD070920BC
SD NEGERI PEDAGANGAN II,20547607,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,7,2,100,6,6,0,0,3,17 Jan 2026 23:15:29,83FBD366825CB949EDCE
SD NEGERI PEDAGANGAN III,20547642,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,4,3,81,6,6,0,1,11,04 Apr 2026 23:52:52,DB2F4B02EB81AAD1BD23
SD NEGERI PESAWAHAN I,20547561,SD,Negeri,Kec. Tiris,052008,Kab. Probolinggo,052000,Prov. Jawa Timur,050000,8,6,211,6,10,0,1,11,04 Apr 2026 03:25:39,C615DA6BB52356D6E783
