nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BALONGGARUT,20502411,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,1,90,6,6,0,1,45,02 Apr 2026 00:30:54,C92831AB2C8C94DA5CC7
SD NEGERI CANGKRING 1,20502376,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,92,6,6,0,0,15,09 Apr 2026 09:27:47,5B0529A5951796EA328C
SD NEGERI CANGKRING 2,20502375,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,47,6,6,0,0,17,30 Apr 2026 11:32:16,09BE047896C751E47DD0
SD NEGERI GADING,20502191,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,145,6,6,2,0,54,23 Apr 2026 12:27:26,772183C0AB0E051CD9E1
SD NEGERI JENGGOT,20502173,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,104,6,6,0,1,5,30 Mar 2026 20:12:49,8C7866980E13FCDEB872
SD NEGERI KANDANGAN,20502279,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,9,1,74,6,6,0,1,52,28 Apr 2026 12:40:13,E2C28F40F3CE4E6602D0
SD NEGERI KEDUNGRAWAN 1,20501582,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,1,77,6,6,0,1,29,03 Mar 2026 09:44:30,D6A782E3E6B36024E3A7
SD NEGERI KEDUNGRAWAN 2,20501581,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,1,67,6,6,0,1,13,19 Apr 2026 20:00:06,165867B7E447B2156158
SD NEGERI KEDUNGSUMUR 1,20501543,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,123,6,6,1,2,16,20 Apr 2026 11:09:24,9A1B9F6EF8AD63D65EA5
SD NEGERI KEDUNGSUMUR 3,20501575,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,7,2,99,6,6,1,1,178,18 Apr 2026 09:28:40,0DA868A644AECFE9BD41
SD NEGERI KEPER,20501570,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,9,2,145,6,6,1,1,26,01 May 2026 12:07:49,1C3A023B21BCB10A392E
SD NEGERI KERET,20501546,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,16,2,232,12,10,1,1,16,22 Apr 2026 09:12:35,69C13150818B8E2B40E3
SD NEGERI KREMBUNG 1,20501641,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,17,3,286,12,13,0,2,32,21 Apr 2026 04:03:52,09082AB03AF990405B98
SD NEGERI KREMBUNG 2,20501640,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,1,57,6,6,0,1,68,30 Apr 2026 14:41:56,FA17CA45949CC0D24934
SD NEGERI LEMUJUT KREMBUNG,20501656,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,3,122,6,6,0,1,10,04 Apr 2026 11:03:50,11F8ACF1D1BCA7BBC86D
SD NEGERI MOJORUNTUT 1,20501608,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,1,96,6,6,0,1,11,15 Apr 2026 22:01:42,8A8193A52B58D0FE790D
SD NEGERI MOJORUNTUT 2,20501607,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,101,6,6,0,1,25,01 May 2026 13:18:31,F66284DDFD7D421F9A17
SD NEGERI MOJORUNTUT 3,20501606,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,3,163,6,7,0,1,21,21 Apr 2026 12:49:48,E74E02107A5FE6C633DF
SD NEGERI PLOSO,20501449,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,9,2,143,7,8,1,1,21,03 Apr 2026 00:38:39,552D4E3ABC0FC1A0694D
SD NEGERI REJENI,20501424,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,9,2,127,6,6,1,2,14,01 May 2026 22:39:11,1B19CDE0EEF8FF7FF984
SD NEGERI TAMBAK REJO 1,20501826,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,11,1,146,8,9,1,1,16,13 Apr 2026 07:37:56,71066206A72956D335AD
SD NEGERI TAMBAK REJO 2,20501824,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,13,3,208,10,12,1,0,34,17 Apr 2026 09:41:20,E52B841B5907DC31D97B
SD NEGERI TANJEKWAGIR,20501822,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,3,129,6,6,2,1,37,10 Apr 2026 18:53:27,28529BE0C4EF825DDAA0
SD NEGERI WANGKAL,20501814,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,1,122,6,6,1,1,37,04 Apr 2026 08:45:17,ADBC675C96DB4A8CBAF6
SD NEGERI WAUNG,20501804,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,109,6,6,1,1,22,02 May 2026 08:24:59,3AEC2F99A4BC511F63D6
SD NEGERI WONOMLATI,20501879,SD,Negeri,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,3,124,6,10,1,1,32,02 May 2026 09:09:55,B6F3007B13B677778CFC
SD AL ISHLAH,20502314,SD,Swasta,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,30,4,622,24,24,1,1,13,28 Mar 2026 07:23:50,E16BF4BCDE71B0A8B861
SD MUHAMMADIYAH 1 KREMBUNG,69960387,SD,Swasta,Kec. Krembung,050203,Kab. Sidoarjo,050200,Prov. Jawa Timur,050000,8,2,116,6,8,1,1,16,24 Apr 2026 07:38:27,3DB30EFC76F89123EDFD
