nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 ALAS BAYUR,20523100,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,4,45,6,6,0,1,15,14 Apr 2026 20:38:04,85F708C63187414555E0
SD NEGERI 1 CAMPOAN,20523075,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,3,18,6,4,0,0,22,02 Apr 2026 06:37:54,8D07F386D00C7CC933FE
SD NEGERI 1 MLANDINGAN KULON,20523117,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,11,6,208,10,12,0,1,6,23 Apr 2026 05:29:13,32EBD71DBBCA067B6E66
SD NEGERI 1 SELOMUKTI,20523008,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,42,6,6,0,1,12,04 Apr 2026 18:28:54,8507F6B244BB29B31C7C
SD NEGERI 1 SUMBER ANYAR,20523017,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,1,19,5,6,0,1,20,02 Mar 2026 14:03:44,A35C536EBDDCFBD7E9A3
SD NEGERI 1 SUMBER PINANG,20523019,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,4,45,6,6,0,1,10,06 Apr 2026 20:30:34,7C81B69EBB4D88C05C5C
SD NEGERI 1 TRIBUNGAN,20522992,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,7,57,6,6,0,1,26,30 Apr 2026 07:17:38,DF94A0FC7E41A2BE9B3D
SD NEGERI 2 CAMPOAN,20523049,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,3,68,6,6,0,0,26,14 Apr 2026 03:54:21,525C2C2878EB2666502D
SD NEGERI 2 MLANDINGAN KULON,20522570,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,2,62,6,13,0,2,17,12 Apr 2026 20:23:21,AD86E8C63F0EB300AE34
SD NEGERI 2 SELOMUKTI,20522621,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,3,57,6,6,1,1,25,02 May 2026 18:50:10,384F8CAB4583A9F29F4A
SD NEGERI 2 SUMBER ANYAR,20522624,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,4,48,6,6,0,0,7,05 Apr 2026 18:34:43,CA194DBAF910DDC2ED95
SD NEGERI 2 SUMBERPINANG,20522631,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,11,1,102,6,6,1,1,10,13 Apr 2026 11:00:14,08544402ACC0AD2805AD
SD NEGERI 2 TRIBUNGAN,20522596,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,2,138,6,6,0,1,10,06 Apr 2026 09:07:11,594BA79312A949E20FF8
SD NEGERI 3 CAMPOAN,20522488,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,3,47,6,6,0,1,27,20 Apr 2026 09:59:02,56F40CFC9A653E73D3DA
SD NEGERI 3 SELOMUKTI,20548340,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,1,39,6,6,0,0,45,27 Apr 2026 08:32:04,CB885F6335C729C7CC6B
SD NEGERI 3 SUMBER PINANG,20522544,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,3,45,6,6,0,1,10,21 Feb 2026 14:10:36,5C3A299CDF08F70C2837
SD NEGERI 3 SUMBERANYAR,20522528,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,2,62,6,6,0,0,7,04 Mar 2026 15:57:46,2CBADE5BDEBB8697C89E
SD NEGERI 4 SELOMUKTI,20522758,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,3,30,6,6,0,0,55,03 Mar 2026 16:05:55,457F47DA0D55E7847D96
SD NEGERI 4 SUMBER PINANG,20522729,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,12,3,21,6,6,0,0,30,17 Apr 2026 04:46:06,BC7CCE457010C0B005D6
SDN 2 ALASBAYUR,20523056,SD,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,3,65,6,6,0,1,12,01 May 2026 17:57:07,5357A4556F46F6F04439
SD ISLAM BAITURRAHMAN,20554654,SD,Swasta,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,47,6,6,0,1,23,29 Apr 2026 11:48:19,275FC62A508A8C3C683C
SD ISLAM DARUL FALAH AL MAHALLI,69761937,SD,Swasta,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,17,6,6,0,0,12,13 Apr 2026 21:52:09,AB8B58AC180D1CE6A793
SMP NEGERI 1 MLANDINGAN,20522714,SMP,Negeri,Kec. Mlandingan,052306,Kab. Situbondo,052300,Prov. Jawa Timur,050000,12,10,191,8,13,2,1,9,27 Jan 2026 09:01:50,B36B6ED12393A85A75E3
