nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 ARDIREJO,20523102,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,84,6,6,0,1,10,06 Apr 2026 20:05:04,FF14D7947ED87A0E10B3
SD NEGERI 1 BATTAL,20549226,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,99,6,6,0,1,27,02 Apr 2026 11:08:56,A69D0FADB32BF81C3846
SD NEGERI 1 CURAH JERU,20523072,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,12,4,264,11,12,1,1,22,20 Apr 2026 11:44:57,884FB41E0E6609C925F6
SD NEGERI 1 JUGLANGAN,20549227,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,0,173,6,12,0,0,31,02 May 2026 16:27:26,DB717C0D977595F0A2AB
SD NEGERI 1 KAYUPUTIH,20523137,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,11,3,103,6,6,1,1,9,27 Apr 2026 12:40:22,43A30849F722AB671031
SD NEGERI 1 KLAMPOKAN,20523151,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,3,163,7,6,0,1,18,30 Apr 2026 07:44:40,5B4C8AE313384CD68D83
SD NEGERI 1 MIMBAAN,20523118,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,25,6,514,19,21,0,2,12,15 Apr 2026 10:38:01,0F30C32CD4D23BFDFC19
SD NEGERI 1 PANJI KIDUL,20549228,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,3,31,6,5,0,0,20,30 Apr 2026 08:06:48,924E5C9C0ADE5E35D837
SD NEGERI 1 PANJI LOR,20523134,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,3,208,8,11,0,0,25,02 Apr 2026 17:13:20,9430E97BF94EBEAB5F3D
SD NEGERI 1 TENGGIR,20522984,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,113,6,6,0,1,13,06 Apr 2026 12:48:07,FC2C3D023252A04C8031
SD NEGERI 10 MIMBAAN,20522982,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,1,181,7,6,0,1,12,02 May 2026 14:28:32,7257E47D6619B5C53BC1
SD NEGERI 12 MIMBAAN,20523069,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,1,55,6,6,0,1,11,22 Apr 2026 09:08:45,5BD557C5EC67E06A5503
SD NEGERI 2 BATTAL,20523068,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,2,57,6,6,0,0,12,24 Apr 2026 18:38:51,9543140D021CEBA8F585
SD NEGERI 2 CURAH JERU,20523035,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,1,65,6,6,1,0,36,30 Apr 2026 19:08:23,1987FCBE443C09D9E334
SD NEGERI 2 MIMBAAN,20522571,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,3,156,7,7,0,1,13,24 Apr 2026 08:06:58,FC6BFC270AD443B986FA
SD NEGERI 2 PANJI KIDUL,20522552,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,2,101,6,6,1,1,24,17 Apr 2026 16:49:36,DABCE8337DACAB8C3662
SD NEGERI 2 SELIWUNG,20522634,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,2,31,6,6,0,1,18,29 Apr 2026 10:00:43,4F68EDE22B3FE3A187EE
SD NEGERI 2 TENGGIR,20522600,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,2,93,6,6,0,1,13,21 Apr 2026 21:31:45,13745B976D7EE7DCD975
SD NEGERI 2 TOKELAN,20522598,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,2,66,6,6,0,1,14,24 Apr 2026 07:11:37,86C32120AFA2940E267F
SD NEGERI 3 ARDIREJO,20522610,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,2,130,6,6,0,1,16,07 Apr 2026 00:57:12,30CF4028489F47C80073
SD NEGERI 3 BATTAL,20522504,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,8,1,41,6,3,0,0,11,04 Apr 2026 18:14:10,D63020F2753D57C341A5
SD NEGERI 3 JUGLANGAN,20522500,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,2,48,6,6,0,1,15,29 Apr 2026 09:22:36,709A1C9DF6DCDFF462E0
SD NEGERI 3 MIMBAAN,20522473,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,1,129,6,6,0,1,5,03 Apr 2026 09:37:54,A2A1F2DABC481E0489C1
SD NEGERI 3 PANJI KIDUL,20522477,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,6,1,72,6,6,0,1,18,21 Apr 2026 21:11:24,EDEAC6786E566644C60A
SD NEGERI 3 SELIWUNG,20549231,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,2,84,6,6,0,1,16,09 Apr 2026 14:31:05,D5D1734DECEFE31DBDC1
SD NEGERI 3 TOKELAN,20522513,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,1,46,6,6,0,1,19,06 Apr 2026 10:16:47,61ABDADFB72880527214
SD NEGERI 4 CURAH JERU,20522520,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,9,4,179,6,6,1,1,7,09 Apr 2026 08:09:11,145CEA9F77CDCA197B98
SD NEGERI 5 MIMBAAN,20522790,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,7,2,105,6,6,0,1,13,06 Apr 2026 09:25:50,C0F651EBAF0D0EF24603
SD NEGERI 8 MIMBAAN,20522661,SD,Negeri,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,18,4,378,12,12,0,1,14,06 Apr 2026 07:22:23,98C009A919397B15E70E
SD ISLAM MUHAMMADIYAH I PANJI,20523094,SD,Swasta,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,23,4,388,17,17,1,1,18,08 Apr 2026 12:40:13,1BBAD841E866F05D9790
SD ISLAM NURUL MANSHUR,20566420,SD,Swasta,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,10,1,40,6,6,0,1,27,25 Apr 2026 21:50:38,BAA961D4EE4BC908FC30
SD Islam Terpadu (SDIT) BINA INSAN,69970930,SD,Swasta,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,11,1,137,6,7,0,0,13,14 Apr 2026 10:20:21,F6354BE33EF76D7555E5
SD ISLAM TERPADU NURUL ANSHAR,20523098,SD,Swasta,Kec. Panji,052312,Kab. Situbondo,052300,Prov. Jawa Timur,050000,33,4,653,24,24,0,1,19,30 Apr 2026 10:54:53,BC08E295AA6AFD2ADD2D
