nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 GILANG,20516075,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,8,2,50,6,6,0,1,13,15 Apr 2026 10:39:18,6FA3228AA5038CEE68C7
SD NEGERI 1 KACANGAN,20515938,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,6,1,38,6,7,0,1,11,16 Apr 2026 08:10:46,A72AF80D824596EC2BCE
SD NEGERI 1 KALANGAN,20515950,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,67,6,6,0,1,13,10 Apr 2026 07:19:05,4F450DA65C5D4AD4B599
SD NEGERI 1 KALIWUNGU,20515923,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,10,1,68,6,10,0,1,50,20 Apr 2026 19:24:37,DC42718A2F10167DEEF3
SD NEGERI 1 NGUNUT,20515328,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,12,2,179,7,9,0,1,60,15 Apr 2026 07:55:36,0C4A5A2771AEC3E81279
SD NEGERI 1 PANDANSARI,20515413,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,37,6,6,0,0,32,17 Apr 2026 07:50:41,5B72B4C772895BED2CAB
SD NEGERI 1 PULOSARI,20515249,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,72,6,6,0,1,11,10 Apr 2026 10:29:04,DF4121A1F9A03EB22FAA
SD NEGERI 1 PURWOREJO,20515207,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,3,125,6,6,0,1,9,16 Apr 2026 01:47:03,4FDC98AE958F36B8CE92
SD NEGERI 1 SUMBERINGIN KIDUL,20515594,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,8,2,68,6,6,0,1,21,14 Apr 2026 22:50:23,7AE1635F3B96383542BE
SD NEGERI 1 SUMBERJO KULON,20515599,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,7,2,111,6,6,0,1,24,06 Apr 2026 10:09:28,035E47FCD91DCA223B37
SD NEGERI 2 KACANGAN,20515939,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,100,6,6,0,1,16,22 Apr 2026 11:42:11,D1A2625CE375149A7FF8
SD NEGERI 2 KALANGAN,20515949,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,7,2,68,6,6,0,1,18,16 Apr 2026 08:10:22,E3A6EBFE06CF8778B179
SD NEGERI 2 NGUNUT,20515327,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,10,2,120,6,6,0,0,14,20 Apr 2026 22:56:33,F5665268524DA45A0E11
SD NEGERI 2 PANDANSARI,20515412,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,7,1,44,6,6,0,1,19,16 Apr 2026 19:00:38,63D5064D185B0CE0DB3D
SD NEGERI 2 PULOSARI,20515248,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,8,2,30,6,6,0,1,11,25 Apr 2026 08:51:04,FD6F27DD2257433314CF
SD NEGERI 2 PURWOREJO,20515206,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,2,129,6,6,0,1,18,28 Apr 2026 08:39:04,B522979254A262E29670
SD NEGERI 2 SUMBERINGIN KIDUL,20515593,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,8,2,43,6,6,0,0,32,15 Apr 2026 07:59:49,68196E93C437AFA4533E
SD NEGERI 2 SUMBERJO KULON,20515598,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,2,89,6,6,0,1,15,28 Apr 2026 14:22:28,F28C34DF4D5A495F01F5
SD NEGERI 3 GILANG,20516073,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,3,76,6,6,0,1,20,15 Apr 2026 10:26:03,90B347F77F16BF996D3F
SD NEGERI 3 NGUNUT,20515326,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,12,0,232,9,8,0,1,22,02 Mar 2026 10:36:22,94F7FAE1FAA3DEB1C0FF
SD NEGERI 3 PULOSARI,20515247,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,8,1,43,6,6,0,0,24,10 Apr 2026 16:27:25,B5CB44D0E8D6AD8FFFDC
SD NEGERI 4 NGUNUT,20515325,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,10,1,144,6,6,0,1,31,10 Apr 2026 08:20:36,6A08D7D0FF9CC1AF20FA
SD NEGERI 4 PULOSARI,20515246,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,65,6,6,0,1,7,14 Feb 2026 09:08:09,0D240DF04914D4736F4E
SD NEGERI 5 NGUNUT,20515309,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,7,1,132,6,9,0,1,12,15 Apr 2026 20:41:37,36601BB39A1B64D7DAC8
SD NEGERI 5 PULOSARI,20515245,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,8,1,127,6,6,0,1,23,10 Apr 2026 21:15:54,EDFC4BCD510115967E7E
SD NEGERI 6 NGUNUT,20515366,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,16,3,340,12,12,0,0,25,14 Apr 2026 20:56:06,97BDCC6E244223FF7DE6
SD NEGERI 8 NGUNUT,20515687,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,10,2,77,6,6,0,1,11,06 Apr 2026 08:34:01,64785F8F924CB31F8B56
SD NEGERI BALESONO,20515778,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,74,6,7,0,1,13,15 Apr 2026 09:36:21,ACC89CEBF7457E8D9E8A
SD NEGERI KARANGSONO,20515919,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,7,1,62,6,6,0,1,6,14 Apr 2026 21:12:00,66CC8353BE4C7261B718
SD NEGERI KROMASAN,20515978,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,117,6,9,0,1,17,21 Apr 2026 09:14:10,3ECD7B06E36AC568F24A
SD NEGERI PULOTONDO,20515244,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,140,6,7,0,1,21,29 Apr 2026 08:18:05,3C898361F406F8C556B9
SD NEGERI SAMIR,20515308,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,83,6,6,0,1,15,14 Apr 2026 20:08:13,DE0911341D257E055637
SD NEGERI SELOREJO,20515307,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,98,6,8,0,1,26,02 Apr 2026 19:44:17,744F95065A7038B84812
SD NEGERI SUMBEREJO WETAN,20515596,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,2,101,6,6,1,1,47,28 Apr 2026 12:51:38,01040347ABC1D8357D74
SD NEGERI SUMBERINGIN KULON,20515592,SD,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,9,1,86,6,6,0,0,24,22 Apr 2026 08:46:11,E33165C20ACC5929046E
SD ISLAM AL HIDAYAH,20554634,SD,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,30,1,432,19,22,0,1,11,23 Apr 2026 15:43:28,0E4D5842CA52477F8BE7
SD ISLAM AR ROHMAH,20560844,SD,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,16,1,236,11,11,2,1,14,06 Apr 2026 20:54:00,4BA9865465EFDB7B2C57
SD ISLAM QURROTA A`YUN,20537244,SD,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,12,2,236,10,12,1,1,10,09 Apr 2026 09:21:01,2BDF22A9924CC33C7D0D
SDI AL IHSAN,70027619,SD,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,12DC6E7742BD25A6E972
SDS ISLAM SUNAN GIRI NGUNUT,20515691,SD,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,14,2,260,10,12,2,1,19,29 Apr 2026 07:27:16,0404AFBBBDF85C985FC7
SMP N 1 NGUNUT,20515509,SMP,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,62,16,1175,33,38,4,1,57,25 Apr 2026 09:05:23,42357BC51E28BAE7749F
SMP N 2 NGUNUT,20515485,SMP,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,50,13,790,26,30,6,3,42,21 Apr 2026 11:40:17,F72A43606BBEB4BEA87D
SMP N 3 NGUNUT,20515502,SMP,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,32,13,510,18,23,4,1,81,02 May 2026 08:11:16,B0D5E9C359E4A5870E2E
SMP ISLAM AL HIDAYAH SAMIR,70035230,SMP,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,11,2,117,6,6,1,1,29,21 Apr 2026 11:16:19,E27E2C485FA23D1F4402
SMP ISLAM SUNAN GUNUNG JATI,20515520,SMP,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,43,11,912,30,31,5,1,79,30 Apr 2026 21:59:16,07E36BDEE19DC891AC46
SMAN 1 NGUNUT,20515429,SMA,Negeri,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,58,21,1299,36,36,6,1,35,28 Apr 2026 11:39:15,30239ED18D8D9F785CE6
SMAS ISLAM SUNAN GUNUNG JATI,20515472,SMA,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,36,9,759,22,25,2,2,18,22 Apr 2026 10:41:42,FCE4695ECA4A0E15665B
SMK ISLAM SUNAN KALIJAGA,69948179,SMK,Swasta,Kec. Ngunut,051609,Kab. Tulungagung,051600,Prov. Jawa Timur,050000,28,5,243,14,11,2,1,19,04 Apr 2026 18:51:54,57F8B0470EE3D4BF7844
