nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI PONDOK LABU,30303481,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,5,2,34,6,6,0,0,10,10 Apr 2026 21:19:46,7E73BF75AD256F4A545B
SD NEGERI RAMPA CENGAL,30303471,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,10,1,181,8,7,0,0,1,27 Apr 2026 15:12:37,26B7DF2E1769D352EEEA
SD NEGERI SESULUNG,30303245,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,8,2,51,6,6,0,1,1,23 Feb 2026 08:18:09,E5A4C147E7A5CD0E3A30
SDN 2 GUNUNG CALANG,30303408,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,8,1,116,6,6,0,1,6,30 Mar 2026 10:23:11,00AED1DAE59095BC8309
SDN 3 GUNUNG CALANG,30303409,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,7,1,67,6,6,0,0,6,01 Mar 2026 09:06:39,C625639DD83E25973422
SDN SAKADOYAN,30303497,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,8,1,40,6,6,0,0,7,11 Apr 2026 16:49:57,E7F6C07C6238682B579D
SDN SAKALIMAU,30303498,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,8,1,49,6,6,0,1,53,30 Apr 2026 12:08:06,6D67824C59D30FDEC2D3
SDN SEKANDIS,30303489,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,7,1,43,6,6,0,0,22,29 Mar 2026 06:38:43,EE742BA650B7773C53A3
SDN SEKANDIS GUNUNG,30303490,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,9,0,65,6,6,0,0,43,06 Apr 2026 15:13:26,762C7B177E0F337E1258
SDN TALUSI,30303209,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,9,0,112,6,7,0,0,11,06 Mar 2026 22:40:51,1B82D23C25856DAEBF8B
SDN TANJUNG SAMALANTAKAN,30303204,SD,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,12,0,175,7,6,0,1,9,09 Apr 2026 14:50:47,874D2B506B4832C9EBCE
SDS 2 PARIPURNA SWAKARSA,30303344,SD,Swasta,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,7,1,117,6,6,0,0,5,16 Apr 2026 00:34:23,589549FB685A3E8D3ABF
SDS 3 PARIPURNA SWAKARSA,30312216,SD,Swasta,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,5,1,127,6,6,0,1,38,02 May 2026 12:55:23,2D22845546312120D450
SDS 4 PARIPURNA SWAKARSA,30311535,SD,Swasta,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,9,2,195,7,7,0,1,12,07 Apr 2026 10:02:30,BB5A9E43ACACAE14C8F0
SMP NEGERI 1 PAMUKAN SELATAN,30303358,SMP,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,10,2,92,4,8,2,1,24,07 Apr 2026 18:11:48,AC2B84703049424C23CC
SMP NEGERI 2 PAMUKAN SELATAN,30311489,SMP,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,15,2,157,6,7,2,1,40,20 Apr 2026 09:04:31,910E100DEB6D3C5CEF6F
SMP NEGERI 3 PAMUKAN SELATAN,69947524,SMP,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,12,1,70,3,6,1,1,21,23 Apr 2026 10:21:46,FFAFCEBF66D13F027ABB
SMP PARIPURNA SWAKARSA,30311488,SMP,Swasta,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,10,4,198,6,6,1,1,12,23 Apr 2026 08:44:34,E37B004E25AE22C9D0B3
SMAN 1 PAMUKAN SELATAN,30313821,SMA,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,21,4,223,8,10,2,1,15,17 Apr 2026 19:40:30,387CE0CB646465160052
SMAN 2 Pamukan Selatan,70005652,SMA,Negeri,Kec. Pamukan Selatan,150918,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,8,5,58,3,2,0,0,11,13 Apr 2026 08:12:46,6FFE68BE650A75933F81
