nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 GARAGATA,30303176,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,8,1,71,6,6,0,1,2,15 Jan 2026 20:54:32,5CA0FAC8675B226E7BFB
SD NEGERI 1 JARO,30303114,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,7,2,133,7,7,0,1,5,02 Apr 2026 08:45:26,8DC4105341443FE1A0B7
SD NEGERI 1 MUANG,30302909,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,8,1,79,6,6,0,0,7,04 Mar 2026 13:49:25,47C6A72E933BD1019639
SD NEGERI 1 NALUI,30302903,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,5,1,53,6,6,0,1,1,11 Apr 2026 08:13:23,0F64782D001BF9F29B06
SD NEGERI 1 NAMUN,30302904,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,7,2,46,6,6,0,1,14,07 Mar 2026 07:50:18,ABFE0AE565F226670D37
SD NEGERI 1 SOLAN,30302889,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,16,4,227,12,12,0,1,52,02 May 2026 08:50:02,50B835F5688530A4666E
SD NEGERI 2 GARAGATA,30303177,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,7,0,48,6,6,0,1,18,02 May 2026 09:39:06,4CCC10C6997D6021319D
SD NEGERI 2 JARO,30305470,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,6,1,31,6,6,0,0,23,03 Apr 2026 18:19:49,CC1BD68B5B5F390999CA
SD NEGERI 2 MUANG,30302901,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,8,0,91,6,6,0,1,19,30 Apr 2026 11:47:24,8ED443E3CD207D916318
SD NEGERI 2 NAMUN,30311729,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,8,2,52,6,6,0,1,17,04 Apr 2026 09:28:06,2EA264FEDC080351E370
SD NEGERI 3 JARO,30303126,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,8,1,79,6,6,0,1,7,07 Apr 2026 07:55:28,CB732DA3345A514604A4
SD NEGERI 3 SOLAN,30302891,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,6,1,26,6,6,0,1,5,14 Feb 2026 14:48:55,9E028E04766E1DDBA771
SD NEGERI LANO,30303154,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,7,4,102,6,6,0,1,14,06 Mar 2026 06:59:28,BC04F41E9E8242A2B651
SD NEGERI PURUI,30302856,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,9,2,81,6,6,0,1,10,23 Apr 2026 07:49:17,00AD920ECE3D9568F21F
SD NEGERI TERATAU,30302990,SD,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,13,3,188,11,10,0,1,32,05 Apr 2026 11:52:16,0E1BF1B5B999C6A7767E
SD ISLAM AL MADANIYAH,30305469,SD,Swasta,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,13,2,269,11,11,1,1,6,15 Apr 2026 22:15:49,9FA19B6B40026D098D25
SMP NEGERI 1 JARO,30302959,SMP,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,15,3,143,9,9,3,1,26,27 Apr 2026 10:59:43,60E783F2A0D54561F1CC
SMP NEGERI 2 JARO,30302948,SMP,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,7,2,77,4,5,1,2,30,06 Apr 2026 09:18:37,6B065B402B5D0789047B
SMP NEGERI 3 JARO,30302969,SMP,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,9,1,152,6,5,2,1,18,23 Apr 2026 08:09:42,796E5106F991FEF15534
SMAN 1 JARO,30305376,SMA,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,15,7,160,6,8,5,1,17,27 Apr 2026 12:16:39,8CD0A057B3A94C753B72
SMKN 1 JARO,30314215,SMK,Negeri,Kec. Jaro,150811,Kab. Tabalong,150800,Prov. Kalimantan Selatan,150000,20,6,238,11,10,3,1,22,29 Apr 2026 15:24:23,CD000C86D1232FB58DB0
