nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 1 BANYU IRANG,30300743,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,7,2,53,6,6,0,0,10,14 Apr 2026 11:59:36,0436DD58792147D30B98
UPTD SD NEGERI 1 BATI-BATI,30300736,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,9,7,61,6,6,0,0,23,06 Apr 2026 11:01:46,7478E86613632616A2B8
UPTD SD NEGERI 1 BENTOK DARAT,30300848,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,15,5,261,12,15,1,1,14,02 Apr 2026 09:27:24,1540B387B1DCC19AEED1
UPTD SD NEGERI 1 BENUA RAYA,30300843,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,9,2,143,6,7,0,0,16,29 Apr 2026 11:42:46,41070A6CADEB992C616B
UPTD SD NEGERI 1 KAIT-KAIT,30300796,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,12,4,194,9,9,0,1,14,20 Apr 2026 09:31:51,B77E249456F7DD58AA4E
UPTD SD NEGERI 1 LIANG ANGGANG,30300607,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,9,6,129,6,6,1,1,19,25 Apr 2026 07:50:47,4E3F0EB64A8179F7AF4F
UPTD SD NEGERI 1 NUSA INDAH,30300599,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,23,6,373,18,20,0,1,30,30 Apr 2026 11:24:59,C0F254A06B16B0B25B5A
UPTD SD NEGERI 1 PANDAHAN,30300593,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,8,5,95,6,7,0,0,16,31 Mar 2026 07:07:03,F8C9B29802A3A524A04C
UPTD SD NEGERI 1 UJUNG,30300708,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,10,4,174,8,11,0,1,14,09 Apr 2026 23:51:59,F8D662FFD1EDD64AC0C4
UPTD SD NEGERI 2 BANYU IRANG,30300742,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,12,1,238,10,10,0,0,13,02 Apr 2026 10:34:24,93DCE8756ACF0B2F28FA
UPTD SD NEGERI 2 BATI-BATI,30300735,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,10,3,99,6,6,0,2,44,30 Apr 2026 07:39:38,0BBAF02714582EE9C337
UPTD SD NEGERI 2 BENTOK DARAT,30300847,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,10,2,150,8,8,0,0,11,04 Apr 2026 08:40:24,4AB9068BED8AFB27B67F
UPTD SD NEGERI 2 BENUA RAYA,30300842,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,7,5,68,6,7,0,0,17,23 Apr 2026 14:21:08,CA65E1B8E48B8EC4FC5A
UPTD SD NEGERI 2 KAIT-KAIT,30300813,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,15,4,299,12,14,0,1,19,17 Apr 2026 09:19:27,D2A5DEC73203630C0F92
UPTD SD NEGERI 2 LIANG ANGGANG,30312652,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,10,3,115,6,7,0,1,12,07 Apr 2026 09:30:19,264D6539DDCF6FC6B113
UPTD SD NEGERI 2 NUSA INDAH,30305449,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,16,5,284,12,14,0,0,21,10 Apr 2026 21:51:03,0A7451869218BBF9C735
UPTD SD NEGERI 2 PANDAHAN,30300610,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,6,7,60,6,6,0,0,12,08 Apr 2026 09:16:20,B825323AD11BFFFE4143
UPTD SD NEGERI 2 UJUNG,30300707,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,8,3,87,6,6,0,0,18,07 Apr 2026 17:35:57,1900912E8476D9912165
UPTD SD NEGERI 3 BANYU IRANG,30300741,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,8,3,50,6,7,0,0,12,02 Apr 2026 03:29:11,7F4C73C56A514A3FF3DF
UPTD SD NEGERI 3 BENTOK DARAT,69967839,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,9,2,82,6,6,0,0,11,02 Apr 2026 09:46:32,0A8C9696D66F01C1C714
UPTD SD NEGERI BENTOK KAMPUNG,30300846,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,15,5,284,12,12,0,1,21,30 Apr 2026 11:11:00,AD9E4AA02B3BA60ACBEE
UPTD SD NEGERI PADANG,30300597,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,9,1,152,6,7,0,0,18,20 Apr 2026 08:45:37,1988C34BB19F0D793E2E
UPTD SD NEGERI SAMBANGAN,30300558,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,8,5,116,6,8,0,0,19,11 Apr 2026 07:19:12,C2D8C39A82517932499F
UPTD SD NEGERI UJUNG BARU,30300706,SD,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,16,1,257,12,12,0,1,16,10 Apr 2026 16:53:14,ADC84C921E99ED4B9D87
UPTD SMP NEGERI 1 BATI-BATI,30304904,SMP,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,19,5,290,10,14,1,1,52,24 Apr 2026 08:08:20,2814B637798887E4FB70
UPTD SMP NEGERI 2 BATI-BATI,30300635,SMP,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,20,8,245,9,11,3,1,30,30 Apr 2026 10:42:16,498DC4C1BF2A255F1E05
UPTD SMP NEGERI 3 BATI BATI,30304921,SMP,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,11,5,66,3,9,2,1,25,30 Apr 2026 08:50:41,C5F38D12F2921829CA9F
UPTD SMP NEGERI 4 BATI-BATI,30300662,SMP,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,19,6,255,9,12,3,2,59,30 Apr 2026 13:52:32,F37C576ACB160175E6AD
UPTD SMP NEGERI 5 BATI-BATI,60702926,SMP,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,14,5,128,6,6,1,1,10,29 Apr 2026 04:47:23,3F8315F2D227725FC267
UPTD SMP NEGERI 6 BATI-BATI,69965913,SMP,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,19,7,235,9,9,1,1,37,29 Apr 2026 09:40:48,6ADEF8DFF2D0A859AD09
SMAN 1 BATI-BATI,30300701,SMA,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,42,15,788,23,24,3,1,33,25 Apr 2026 13:10:49,1B0B964B121C6CA52181
SMK NEGERI 1  BATI-BATI,69758488,SMK,Negeri,Kec. Bati-Bati,150204,Kab. Tanah Laut,150200,Prov. Kalimantan Selatan,150000,32,9,323,15,9,1,1,33,28 Apr 2026 07:28:58,809DCA9ED0E9B05B49A4
