nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BATU MAKAP 1,30203301,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,10,1,99,6,6,0,1,9,01 May 2026 20:20:15,BE617E42AD9982CBC4A2
SD NEGERI KALAPEH BARU 1,30203376,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,4,2,75,6,8,0,0,7,16 Apr 2026 12:44:02,DF1DD272E73515325C8C
SD NEGERI LAAS BARU 1,30203379,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,9,1,51,6,6,0,0,14,25 Apr 2026 15:02:13,8E8D75046054B050B4EE
SD NEGERI OLONG LIKO 1,30203207,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,8,1,29,6,6,0,0,21,18 Apr 2026 11:11:30,25EEB52801A21CEDEA2F
SD NEGERI TELUK JOLO 1,30203178,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,5,3,37,6,6,0,1,30,02 May 2026 13:10:03,C43DF80E030548C2F507
SD NEGERI TELUK JOLO 2,30203189,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,7,3,25,6,6,0,0,10,02 May 2026 14:30:21,5D6B9027E0880A692171
SD NEGERI TELUK JOLO 3,30203190,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,6,1,76,6,7,1,1,13,13 Apr 2026 19:00:58,019D2FA1864034814DD6
SD NEGERI TELUK JOLO 4,30203271,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,5,2,11,5,6,0,0,18,02 May 2026 11:53:23,5AFE9CE3D229E1A297C0
SD NEGERI TUMBANG KUNYI 1,30203260,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,7,1,42,6,6,0,1,10,04 Feb 2026 10:56:14,F5E8B963EC8218CBC7FB
SD NEGERI TUMBANG KUNYI 2,30203259,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,8,4,105,6,6,0,0,25,29 Mar 2026 22:54:07,11B89789A27F62D09877
SD NEGERI TUMBANG MASAO 1,30203255,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,8,1,105,6,6,0,0,7,23 Apr 2026 22:08:31,0B39E1E28B0A295E42C1
SD NEGERI TUMBANG MASAO 2,30203265,SD,Negeri,Kec. Sumber Barito,141205,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,9,2,103,6,6,0,0,10,02 May 2026 11:03:18,08C9947BDAD306E5626B
