nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 PURUK KAMBANG,30203373,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,18,1,312,13,13,0,1,20,07 Apr 2026 04:25:07,0ACFEEC7E7735B2E3408
SD NEGERI 2 DIRUNG LINGKIN,70035158,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,7,1,43,6,9,0,0,10,29 Apr 2026 12:16:42,351620198A90DEC418D5
SD NEGERI BARAS KUNING 1,69754309,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,4,1,16,5,6,0,0,4,03 Mar 2026 22:27:06,C8817E8E334A31A28CC2
SD NEGERI DATAH KOTOU 1,30203294,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,9,1,74,6,6,0,0,11,02 Apr 2026 16:31:35,FD5BBB382226C478F96B
SD NEGERI DIRUNG LINGKIN 1,30203278,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,11,1,87,6,6,0,1,16,02 May 2026 10:55:56,A84E9528B8CFA340BF41
SD NEGERI ORENG 1,30203206,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,6,1,31,6,6,0,0,21,02 May 2026 06:39:57,5A16C19FE913BF3C847F
SD NEGERI TAHUJAN ONTU 1,30203183,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,10,1,87,6,6,0,1,18,16 Apr 2026 06:23:12,18E1BAFD58E83D099E64
SD NEGERI TUMBANG HANANGAN 1,30203264,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,10,3,66,6,6,0,1,19,27 Apr 2026 23:13:20,0EA0851080C948D11B23
SD NEGERI TUMBANG MURO 1,30203266,SD,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,7,1,57,6,6,1,1,10,10 Apr 2026 06:34:15,1CF320A1A49F51665186
SMPN 1 SATU ATAP TANAH SIANG SELATAN,69965279,SMP,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,10,1,14,3,3,1,1,24,26 Apr 2026 10:37:35,071501F8004BDA5E15B5
SMPN 1 TANAH SIANG SELATAN,30203950,SMP,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,15,6,198,9,9,1,1,16,28 Apr 2026 08:31:28,7420DD19AE2CDC6F84D2
SMA NEGERI 1 TANAH SIANG SELATAN,30207361,SMA,Negeri,Kec. Tanah Siang Selatan,141207,Kab. Murung Raya,141200,Prov. Kalimantan Tengah,140000,23,2,375,11,12,2,1,29,30 Apr 2026 09:52:55,E24B16532D2505968F22
