nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BAHU PALAWA 1,30202122,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,0,54,6,6,0,1,51,24 Apr 2026 21:25:36,37AC730F783F038E902A
SD NEGERI BALUKON 1,30202121,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,2,29,6,7,0,0,8,05 Mar 2026 09:05:06,8DDE7E7989051C5C660B
SD NEGERI BERENG RAMBANG 1,30202142,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,2,118,6,6,0,2,8,01 May 2026 16:00:05,3A6195107A65BDB9E285
SD NEGERI BUKIT BAMBA 1,30202141,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,2,52,6,7,0,1,5,07 Mar 2026 09:31:56,C988E8ACE20DEBA134FC
SD NEGERI BUKIT GUHA 1,30202140,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,8,2,29,6,6,0,2,13,15 Apr 2026 21:00:01,A0FAF1FB671F95294A76
SD NEGERI BUKIT LITI 1,30202139,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,0,123,6,8,1,2,13,10 Mar 2026 07:47:47,CF51B7D6B1A70DC5E7C1
SD NEGERI BUKIT RAWI 1,30202138,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,2,71,6,9,0,1,6,06 Mar 2026 03:24:27,D8038CB2801EB006202D
SD NEGERI PAMARUNAN 1,30202036,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,1,83,6,6,0,1,15,02 Mar 2026 09:40:20,70530FE2A49AF7C7C291
SD NEGERI PARAHANGAN 1,30202052,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,10,2,171,7,14,1,2,24,02 May 2026 09:32:07,2AC2A08A9810A320D53F
SD NEGERI PENDA BARANIA 1,30202050,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,1,1,5,3,4,0,0,8,02 Mar 2026 23:44:06,23125B819D9BAFB20FFE
SD NEGERI PENDA HAUR 1,30202049,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,7,1,19,6,6,0,1,16,02 Apr 2026 08:55:41,5AD8AE493259953B05B3
SD NEGERI PETUK LITI 1,30202047,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,1,97,6,6,0,1,15,16 Apr 2026 09:11:09,626C6D7943FD67AAA38F
SD NEGERI SIGI 1,30202022,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,6,1,59,6,6,0,1,10,03 Mar 2026 02:47:28,8B609D27C71F4BAE5ADF
SD NEGERI TAHAWA 1,30202059,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,8,1,120,6,6,0,1,19,03 Mar 2026 10:41:08,2C51D1A9FB5BFEA495B6
SD NEGERI TANJUNG SANGALANG 1,30202092,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,10,0,45,6,7,0,0,38,28 Apr 2026 13:49:04,B807B2600794843A338E
SD NEGERI TUWUNG 1,30202114,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,9,1,60,6,6,0,1,22,21 Apr 2026 20:45:35,693B5CAC4ECAC244C03A
SD NEGERI TUWUNG 2,30202113,SD,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,8,1,29,6,6,0,1,11,11 Apr 2026 04:16:18,F3F9913B2F0890BBE4DD
SMP NEGERI 1 KAHAYAN TENGAH,30202085,SMP,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,12,1,109,6,8,2,1,43,27 Apr 2026 09:46:34,DF2257BF5F14F9B53E33
SMP NEGERI 2 KAHAYAN TENGAH,30202084,SMP,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,14,2,232,9,8,2,1,22,29 Apr 2026 08:05:47,726EE35A2AD653E209A7
SMP NEGERI 3 KAHAYAN TENGAH,30202065,SMP,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,12,1,142,6,6,1,2,11,09 Apr 2026 06:10:30,E6DFBDF83F0D485F6859
SMP NEGERI SATU ATAP 1 KAHAYAN TENGAH,30205102,SMP,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,11,2,93,3,6,1,2,4,13 Apr 2026 20:19:07,539D03589258DA0B4848
SMPN SATU ATAP 2 KAHAYAN TENGAH,69949185,SMP,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,14,2,53,3,3,0,0,19,10 Apr 2026 20:17:03,20A733BE7AE396268083
SMAN 1 KAHAYAN TENGAH,30203896,SMA,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,25,5,237,10,10,2,2,15,24 Apr 2026 08:17:32,7C5CC668ED305A2093AD
SMAN 2 KAHAYAN TENGAH,30203897,SMA,Negeri,Kec. Kahayan Tengah,141105,Kab. Pulang Pisau,141100,Prov. Kalimantan Tengah,140000,23,2,156,6,9,5,1,28,14 Apr 2026 01:39:50,531055EF3A220CCE83F6
