nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 BIATAN BAPINANG,30404311,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,8,5,116,6,6,0,1,22,16 Apr 2026 07:16:03,C82EDC5EC8E793E37B1D
SD NEGERI 001 BIATAN BARU,30404489,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,9,3,90,6,7,0,1,18,28 Apr 2026 08:43:56,CE253AA0F3D3AE7AB151
SD NEGERI 001 BIATAN ILIR,69972814,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,13,4,184,12,12,0,0,22,14 Apr 2026 10:57:38,A316AA789C6D8A3A819E
SD NEGERI 001 BIATAN LEMPAKE,30404307,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,29,5,492,23,19,0,1,25,10 Apr 2026 09:31:22,B7F9E9A6CC7B067AAC04
SD NEGERI 001 BUKIT MAKMUR JAYA,30404322,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,9,2,102,6,6,0,1,17,13 Apr 2026 04:23:49,60C666CE6399D61093C0
SD NEGERI 001 KARANGAN,30404499,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,9,4,122,6,6,0,0,18,08 Apr 2026 08:29:02,D2AE9C1CC20433599D0C
SD NEGERI 001 MANUNGGAL JAYA,30404332,SD,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,16,5,319,12,12,0,0,14,16 Apr 2026 07:57:19,A055F87BFCC331194BE5
SMP NEGERI 1 BIATAN,30404174,SMP,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,21,8,297,9,10,2,1,39,01 May 2026 18:46:09,AD436DCDBB357A3E80D2
SMP NEGERI 2 BIATAN,69895795,SMP,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,14,6,157,6,6,1,1,34,15 Apr 2026 08:35:25,3D142C0E83627BC9FA0B
SMP NEGERI 3 BIATAN,70038242,SMP,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,9,6,38,3,3,1,0,25,22 Apr 2026 14:53:35,461512765294EB65CF45
SMP IT AL-ITISHAM,69988628,SMP,Swasta,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,8,5,51,3,6,0,1,10,11 Apr 2026 20:59:53,2939F02B92140DDB9294
SMPIT BINA DAKWAH KARANGAN,70058739,SMP,Swasta,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,0,0,0,0,0,0,0,0,,539C23CD542458BA9549
SMAN 14 BERAU,69822736,SMA,Negeri,Kec. Biatan,160315,Kab. Berau,160300,Prov. Kalimantan Timur,160000,23,7,393,13,13,4,1,28,30 Apr 2026 08:19:22,8B9B44DD5BBE6878A5CC
