nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 DAMAI,30400685,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,12,7,133,6,7,0,1,13,09 Apr 2026 08:56:12,E97758D3FE46804BCA57
SD NEGERI 002 DAMAI,30400663,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,17,5,308,12,13,0,1,23,01 May 2026 04:59:54,2BA94EED1322A28D20CC
SD NEGERI 003 DAMAI,30400644,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,11,3,43,6,6,0,0,20,02 May 2026 06:37:57,239C016B44F4F316DD64
SD NEGERI 004 DAMAI,30400718,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,6,1,11,5,4,0,1,6,04 Mar 2026 09:01:40,4CBF715D1E745F94E3EA
SD NEGERI 005 DAMAI,30400711,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,7,2,116,6,6,0,1,39,31 Mar 2026 06:56:35,EDFD32A1A4A3E475FFC7
SD NEGERI 006 DAMAI,30400727,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,9,5,106,6,7,0,1,19,24 Apr 2026 21:10:03,3B81D1A13225C066EEDE
SD NEGERI 007 DAMAI,30400708,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,8,0,20,6,6,0,1,6,06 Mar 2026 08:36:49,A0B118D27C4879157520
SD NEGERI 008 DAMAI,30400697,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,12,2,23,6,6,0,2,8,07 Apr 2026 23:31:12,A4865BF299053E32475A
SD NEGERI 009 DAMAI,30400701,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,9,0,42,6,6,0,0,17,02 May 2026 09:34:10,EDCAFFCC4C995AF58C76
SD NEGERI 010 DAMAI,30400699,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,8,0,132,6,6,0,1,29,14 Mar 2026 07:39:36,BAEA695FF60BB7E7F3BE
SD NEGERI 011 DAMAI,30406805,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,8,1,31,6,6,0,1,13,10 Apr 2026 10:02:32,7BDB6AAD3437C1B698B1
SD NEGERI 012 DAMAI,30400583,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,6,2,23,6,6,0,0,18,02 May 2026 08:31:33,A405745185008C622524
SD NEGERI 014 DAMAI,30400588,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,6,3,95,6,9,0,1,22,24 Apr 2026 16:14:14,191FB8B17943073E4D85
SD NEGERI 015 DAMAI,30400594,SD,Negeri,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,7,1,9,6,4,0,0,7,10 Feb 2026 08:05:20,332732872BCA8F50EFC7
SD FANGIONO 5,70060684,SD,Swasta,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,4,1,32,2,6,0,0,34,30 Apr 2026 17:55:23,7A9E9B259F02B76D8D95
SD TUNAS LESTARI SUNGAI BASUNG,69894242,SD,Swasta,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,10,2,115,6,6,2,1,42,21 Apr 2026 15:39:20,E6A8FC842E8460ECA4A3
SD TUNAS LESTARI SUNGAI KEDANG,69935409,SD,Swasta,Kec. Damai,160906,Kab. Kutai Barat,160900,Prov. Kalimantan Timur,160000,12,2,336,14,6,0,1,35,02 May 2026 13:00:48,45BCB0C5C42D6402811B
