nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 PASIR BELENGKONG,30405396,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,4,99,6,6,0,1,11,08 Apr 2026 15:45:36,F6BBA19751FA3673B2E0
SD NEGERI 002 PASIR BELENGKONG,30405395,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,1,66,6,6,0,0,13,21 Apr 2026 09:49:25,A27295DC76564619C178
SD NEGERI 004 PASIR BELENGKONG,30405393,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,3,76,6,6,0,0,8,24 Apr 2026 20:14:12,5E2A18B02771F1EA19F8
SD NEGERI 005 PASIR BELENGKONG,30405392,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,7,5,138,6,6,0,1,13,07 Apr 2026 06:50:11,7E76A982A840D656DC06
SD NEGERI 007 PASIR BELENGKONG,30405390,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,3,119,6,6,0,0,56,10 Apr 2026 21:28:32,CFD2AA6C142ABCF35317
SD NEGERI 008 PASIR BELENGKONG,30405389,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,7,3,118,6,11,0,1,33,24 Apr 2026 15:19:08,E25E5CDC93EA0D51ED49
SD NEGERI 009 PASIR BELENGKONG,30405388,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,1,141,6,6,0,1,33,20 Apr 2026 23:46:42,E9FDE9D00A5EA1EC7D41
SD NEGERI 010 PASIR BELENGKONG,30405387,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,1,135,6,6,0,0,22,10 Apr 2026 05:53:52,70D3A9588F89D7452860
SD NEGERI 012 PASIR BELENGKONG,30405384,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,1,126,6,6,0,1,20,29 Apr 2026 07:11:19,E38EF7A46BF00D99B217
SD NEGERI 013 PASIR BELENGKONG,30405160,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,2,103,6,6,0,1,15,11 Apr 2026 08:49:03,40F84414548CE2BFDD89
SD NEGERI 014 PASIR BELENGKONG,30405362,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,1,86,6,6,0,0,15,21 Apr 2026 09:40:16,1D7EDCF25D5948CFB487
SD NEGERI 015 PASIR BELENGKONG,30405383,SD,Negeri,Kec. Paser Belengkong,160103,Kab. Paser,160100,Prov. Kalimantan Timur,160000,8,3,114,6,6,0,1,16,31 Mar 2026 08:26:38,45DFA199F12E40835981
