nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 PESO HILIR,30402401,SD,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,7,4,97,6,6,0,1,27,30 Apr 2026 08:40:43,CB1A50573D63F45A766B
SD NEGERI 002 PESO HILIR,30402414,SD,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,5,0,34,5,6,0,1,8,05 Mar 2026 18:39:20,2433A8F722FF99FB9AB0
SD NEGERI 003 PESO HILIR,30402427,SD,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,6,2,118,6,6,0,0,9,25 Mar 2026 08:55:21,F9F0700EF702EB4C0704
SD NEGERI 004 PESO HILIR,30402439,SD,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,7,2,109,6,6,0,0,20,02 May 2026 09:21:14,89EBB372CDAC1FDBCE8C
SD NEGERI 005 PESO HILIR,30402452,SD,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,7,0,39,6,6,0,1,18,05 Mar 2026 08:06:27,2C9B354BD6696FAD6704
SD NEGERI 006 PESO HILIR,30402465,SD,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,3,1,27,6,4,0,0,8,13 Feb 2026 18:50:15,4F509CD08A587A83627C
SMP NEGERI 03 SATU ATAP PESO HILIR,69907536,SMP,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,4,1,14,3,3,0,0,10,11 Apr 2026 04:32:23,7D652F219FED72F9544B
SMP NEGERI 1 PESO HILIR,30402548,SMP,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,6,2,58,3,3,2,1,9,06 Apr 2026 17:19:33,D405258E3E074AB29E58
SMP NEGERI 2 PESO HILIR,30402576,SMP,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,6,2,46,3,3,2,1,16,05 Mar 2026 07:22:53,4E2717930C3D6B6B47DB
SMP NEGERI 3 PESO HILIR,30405530,SMP,Negeri,Kec. Peso Hilir,340211,Kab. Bulungan,340200,Prov. Kalimantan Utara,340000,6,3,47,3,3,1,0,10,05 Apr 2026 08:44:39,7E28D5BB16B8B55F6EB5
