nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 1 BELINYU,10900254,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,17,5,268,12,12,2,1,25,14 Apr 2026 19:07:10,1FED115DD2F22CD21669
UPTD SD NEGERI 10 BELINYU,10900247,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,10,4,218,9,9,0,1,16,02 Apr 2026 11:58:01,C1C147F7CE32012FF520
UPTD SD NEGERI 11 BELINYU,10900272,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,2,171,6,6,0,1,24,15 Apr 2026 07:14:08,3675698BC86E16614471
UPTD SD NEGERI 12 BELINYU,10900266,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,9,2,156,7,8,0,1,49,21 Apr 2026 12:23:08,51FE2062E2296EEF6883
UPTD SD NEGERI 13 BELINYU,10900353,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,6,6,161,6,9,0,1,14,23 Apr 2026 09:21:08,285259B399D9B88FFA8A
UPTD SD NEGERI 14 BELINYU,10900350,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,3,52,6,6,0,1,14,28 Apr 2026 12:24:37,D34F67D1A97BEB5B8C54
UPTD SD NEGERI 15 BELINYU,10900342,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,3,112,6,6,0,1,25,18 Apr 2026 15:18:44,2215CAF299A80B8A9B22
UPTD SD NEGERI 16 BELINYU,10900355,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,3,104,6,6,0,1,16,13 Feb 2026 10:20:09,FF95F22593C10EED5F2A
UPTD SD NEGERI 17 BELINYU,10900371,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,7,5,127,6,9,0,1,23,22 Apr 2026 08:48:05,69763F8DA583DF68544D
UPTD SD NEGERI 18 BELINYU,10900362,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,15,3,294,12,8,1,1,23,07 Apr 2026 10:44:09,9CA85F7328888A486CF1
UPTD SD NEGERI 19 BELINYU,10900320,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,1,127,6,6,0,1,17,15 Apr 2026 08:10:19,8B8F0943E2217A765AB8
UPTD SD NEGERI 2 BELINYU,10900318,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,15,4,226,11,10,0,1,10,31 Mar 2026 04:08:33,CBD8743DD372BD5D3E1E
UPTD SD NEGERI 20 BELINYU,10900311,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,7,4,98,6,6,0,1,16,10 Mar 2026 09:06:51,A948F747773523131EA4
UPTD SD NEGERI 21 BELINYU,10900321,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,5,124,6,5,0,1,25,07 Apr 2026 09:14:38,C6447BEAD7C7AF2CDE1F
UPTD SD NEGERI 22 BELINYU,10900336,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,13,2,309,12,16,0,1,34,06 Apr 2026 10:07:32,35C6ED04C34E00781E04
UPTD SD NEGERI 23 BELINYU,10900119,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,10,5,206,8,9,0,1,11,22 Apr 2026 08:01:07,0B6524913A513E8E3027
UPTD SD NEGERI 24 BELINYU,10900118,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,2,139,6,6,0,1,23,15 Apr 2026 18:57:53,34B0AF798693564FE426
UPTD SD NEGERI 25 BELINYU,10900330,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,3,167,6,9,0,1,13,01 Apr 2026 00:29:49,E542F662F7E454636BDA
UPTD SD NEGERI 26 BELINYU,10900325,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,12,4,220,10,8,1,1,37,13 Apr 2026 07:28:53,213B7C1496D1AA0EB99B
UPTD SD NEGERI 27 BELINYU,10900323,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,12,3,208,9,10,0,1,40,23 Apr 2026 10:40:45,7ED9EC981B167F8252DC
UPTD SD NEGERI 3 BELINYU,10900155,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,7,3,163,6,8,0,1,14,02 Apr 2026 10:53:23,A8C934A50EFDD7954E8A
UPTD SD NEGERI 4 BELINYU,10900158,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,3,172,7,9,0,1,11,03 Mar 2026 09:59:52,AC26499B1C8C2AF0ECCD
UPTD SD NEGERI 5 BELINYU,10900166,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,6,3,133,6,6,0,1,38,23 Apr 2026 09:10:15,2CE6A4B17D28CC5EC261
UPTD SD NEGERI 6 BELINYU,10900143,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,15,5,287,12,12,0,1,18,13 Apr 2026 10:48:34,971895408E725A2C1FCE
UPTD SD NEGERI 7 BELINYU,10900294,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,7,5,163,7,7,0,1,40,01 May 2026 10:49:55,B30CBFACFBDB235CA8BF
UPTD SD NEGERI 8 BELINYU,10900139,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,9,5,156,7,8,0,1,24,22 Apr 2026 11:09:30,9B381B2197388A1D06A2
UPTD SD NEGERI 9 BELINYU,10900138,SD,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,1,139,6,6,0,1,27,02 May 2026 17:50:56,0973E2D54F6D6BF2A160
SD SANTA AGNES BELINYU,10900274,SD,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,10,7,242,10,15,1,1,45,24 Apr 2026 07:59:50,1EC1F1F3556886CA8473
SD SEHATI BELINYU,10900292,SD,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,7,1,76,6,6,1,1,19,17 Apr 2026 13:00:21,9337F0031411CC51C598
SDIT JAMALULLAIL BELINYU,69831521,SD,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,3,2,53,6,6,0,0,17,15 Apr 2026 10:28:50,A994D41AB5F7E9B63F5D
UPTD SMP NEGERI 1 BELINYU,10900177,SMP,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,24,10,585,18,16,7,1,36,08 Apr 2026 09:59:32,FE0D5524B81CE9CE5C9C
UPTD SMP NEGERI 2 BELINYU,10900202,SMP,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,21,9,451,15,16,4,1,38,01 May 2026 08:34:19,5F16CE662012EEC87B10
UPTD SMP NEGERI 3 BELINYU,10900196,SMP,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,20,9,338,12,12,3,1,45,29 Apr 2026 09:34:15,B64C51452254ADC0A692
UPTD SMP NEGERI 4 BELINYU,10901373,SMP,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,12,6,207,7,6,1,1,18,16 Apr 2026 09:03:50,D1523657BAD1A85695EF
UPTD SMP NEGERI 5 BELINYU,10901843,SMP,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,9,8,172,6,6,1,1,15,25 Feb 2026 08:24:50,CACD3CB31CA148450DA0
SMP IT Jamalullail Belinyu,69857728,SMP,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,3,4,56,3,5,2,1,7,06 Apr 2026 13:19:20,685E4719BEC2D42AD81F
SMP SANTO YOSEF BELINYU,10900183,SMP,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,9,4,131,5,5,2,1,10,07 Apr 2026 13:46:19,2DC7EA96EAC242F3C709
SMP YPN BELINYU,10900179,SMP,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,11,5,327,10,13,1,1,15,29 Apr 2026 13:31:00,340E6A17DDCE28CF1B70
SMAN 1 BELINYU,10900238,SMA,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,34,13,746,21,17,5,1,22,21 Apr 2026 12:40:46,59C0970F660D2850CEA3
SMAS YPN BELINYU,10900239,SMA,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,6,4,97,4,7,1,1,12,22 Apr 2026 08:40:53,29E92F04EECB5C076DE0
SMKN 1 BELINYU,10901844,SMK,Negeri,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,27,9,393,14,14,1,1,59,30 Apr 2026 08:54:06,9B64F85FB88D315E6129
SMK IT JAMALULLAIL BELINYU,69990978,SMK,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,8,4,73,6,6,1,1,7,16 Apr 2026 10:34:32,B469468C7C472C5CB990
SMKS YAPENKOS BELINYU,10900226,SMK,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,18,4,364,11,11,4,1,10,10 Feb 2026 08:55:11,DE6CE0BE863F1006CDFC
SMKS YPN BELINYU,10900207,SMK,Swasta,Kec. Belinyu,290113,Kab. Bangka,290100,Prov. Kepulauan Bangka Belitung,290000,30,8,709,25,25,2,1,20,30 Apr 2026 07:10:19,8672C9AE9FDFB3AB9117
