nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 1 KELATEN,10801467,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,9,2,107,6,6,0,0,35,02 May 2026 10:49:12,950830D019D63A42D4CC
UPTD SD NEGERI 1 KURIPAN,10801478,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,9,1,112,6,6,0,0,56,29 Apr 2026 10:20:15,A6363F923F08E048EF95
UPTD SD NEGERI 1 PADAN,10801435,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,8,0,116,6,6,0,0,10,09 Apr 2026 08:44:40,2F409D85D05E42D4B9E4
UPTD SD NEGERI 1 PASURUAN,10801423,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,9,1,112,6,8,0,1,19,06 Apr 2026 11:00:10,84F5DDCFA09B2F32EF1B
UPTD SD NEGERI 1 RAWI,10801450,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,9,0,139,6,8,0,0,71,30 Apr 2026 21:16:05,BD98672535DB9D6F5CF9
UPTD SD NEGERI 1 SUKABARU,10801122,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,9,6,195,9,9,0,0,19,04 Apr 2026 10:41:00,02C341FE59106F27E2E4
UPTD SD NEGERI 2 KELATEN,10801179,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,7,2,55,6,6,0,0,8,04 Apr 2026 08:52:47,7256F0869EA7CDBC65A3
UPTD SD NEGERI 2 KURIPAN,69876103,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,8,3,110,6,7,0,0,6,06 Mar 2026 17:08:34,6A4E378D73788E8F5D33
UPTD SD NEGERI 2 PADAN,10800314,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,7,2,59,6,6,0,0,20,06 Mar 2026 10:33:12,FA158647DBBF8810953C
UPTD SD NEGERI 2 PASURUAN,10800348,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,16,4,367,12,12,0,1,23,24 Apr 2026 18:37:11,ECF5CB331F2DD36BB2D5
UPTD SD NEGERI 2 RAWI,10800336,SD,Negeri,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,7,4,43,6,5,0,1,12,05 Mar 2026 14:39:59,4296E47570DA07A4246F
