nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BUMI KENCANA,10802115,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,12,3,206,10,10,0,1,35,29 Apr 2026 07:46:05,DC29436654F71198DF98
SD NEGERI 1 BUMI MAS,10802451,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,12,1,236,10,11,0,1,38,30 Apr 2026 19:09:39,2B0E30A3E5007DBE3A7F
SD NEGERI 1 DONO ARUM,10802208,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,9,1,177,8,9,0,1,13,06 Apr 2026 09:58:02,C3BC651EC6D0ABE5C1D2
SD NEGERI 1 ENDANG REJO,10802207,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,8,4,166,6,8,0,0,22,01 May 2026 18:34:04,CB85208F367519F32090
SD NEGERI 1 FAJAR ASRI,10802206,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,8,3,158,6,7,0,2,33,30 Apr 2026 09:09:16,D416F0559A34E87E1479
SD NEGERI 1 GAYAU SAKTI,10802244,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,8,2,120,6,7,1,2,26,17 Apr 2026 07:51:56,0FACEFC6611B4FACC453
SD NEGERI 1 HARAPAN REJO,10809419,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,14,3,230,11,9,0,0,16,29 Apr 2026 12:54:35,F903B2BCA25B346F28D0
SD NEGERI 1 MUJIRAHAYU,10802196,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,15,1,226,11,10,0,1,27,24 Apr 2026 14:26:06,F3BE74E1858B79B93260
SD NEGERI 1 SIMPANG AGUNG,10802574,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,9,1,134,7,10,0,0,16,05 Mar 2026 07:54:28,21FD7627196C7BDD0E58
SD NEGERI 1 SULUSUBAN,10802549,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,13,0,210,11,11,0,0,46,08 Apr 2026 10:39:11,877712DEDF77DA4A1C94
SD NEGERI 2 BUMI KENCANA,10801765,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,8,1,144,6,6,0,1,27,08 Apr 2026 09:40:36,DBD7D765A2F9CF37CEC9
SD NEGERI 2 DONOARUM,10802472,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,17,1,274,13,13,1,1,16,13 Apr 2026 10:36:37,BCAC716F2F13D2E57F50
SD NEGERI 2 ENDANG REJO,10802471,SD,Negeri,Kec. Seputih Agung,120216,Kab. Lampung Tengah,120200,Prov. Lampung,120000,8,2,115,6,7,0,0,16,22 Apr 2026 10:51:11,5602A4BAD0C62A3C9990
