nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 1 GIRIKARTO,10809348,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,10,2,139,6,9,0,1,7,19 Apr 2026 13:07:26,8C1C26BA082D7C2B911E
UPTD SD NEGERI 1 GIRIKLOPOMULYO,10809349,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,27,0,527,18,15,0,1,16,28 Apr 2026 10:34:43,1D6E35C2B76B5E0011D0
UPTD SD NEGERI 1 HARGOMULYO,10806493,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,12,1,137,6,9,0,1,11,04 Mar 2026 08:32:42,28F12FB7E904111DC53C
UPTD SD NEGERI 1 JADIMULYO,10809360,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,8,1,72,6,6,1,1,12,06 Apr 2026 08:39:18,8A5823D44159CAB18A5F
UPTD SD NEGERI 1 KARYAMUKTI,10805694,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,16,0,247,12,12,0,1,12,14 Apr 2026 02:42:58,CCC73E383E7837D26DA1
UPTD SD NEGERI 1 MEKAR MULYO,10809379,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,12,2,219,10,10,0,0,13,08 Apr 2026 09:11:10,E250AC6F248DF755D27D
UPTD SD NEGERI 1 MEKARMUKTI,10806428,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,9,0,137,6,6,0,0,15,25 Apr 2026 08:48:08,D03AFC1FE72F882F2FAC
UPTD SD NEGERI 1 MEKARSARI,10805648,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,8,1,95,6,6,1,1,12,01 Feb 2026 10:58:34,3824C2AB479C961ADFD9
UPTD SD NEGERI 1 SAMBIKARTO,10806540,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,8,0,51,6,6,0,1,21,20 Apr 2026 06:29:03,E977B2AC63A211235D24
UPTD SD NEGERI 1 SIDODADI,10806551,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,7,0,90,6,9,0,2,10,04 Apr 2026 11:36:41,76E5B5549D7209304242
UPTD SD NEGERI 1 SIDOMUKTI,10806552,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,8,2,118,6,10,0,0,15,06 Mar 2026 04:41:40,3AB29E5C00333FCF5028
UPTD SD NEGERI 1 SIDOMULYO,10806562,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,8,1,48,6,6,0,0,40,23 Apr 2026 09:02:30,5EAC62F4112E7D768FB8
UPTD SD NEGERI 1 SUKOHARJO,10806520,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,11,1,126,6,8,1,1,15,23 Apr 2026 11:02:02,5434016E4D06072F1B53
UPTD SD NEGERI 1 SUMBERSARI,10806511,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,11,0,125,7,7,0,0,15,22 Apr 2026 09:49:26,D6192B9401DA9D6EEE23
UPTD SD NEGERI 1 WONOKARTO,10809513,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,10,1,130,6,6,0,0,5,27 Jan 2026 09:18:43,56025780A5E16441B9CA
UPTD SD NEGERI 2 GIRIKARTO,10809362,SD,Negeri,Kec. Sekampung,120703,Kab. Lampung Timur,120700,Prov. Lampung,120000,11,0,119,6,6,1,1,18,30 Apr 2026 10:32:55,4A89713A5486DB1014AB
