nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 01 AJI KAGUNGAN,10803043,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,8,4,46,6,6,0,1,17,26 Apr 2026 10:24:18,C6E095F0AFA0D7F2C336
SD NEGERI 01 BINDU,10803057,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,8,1,88,6,8,1,1,26,07 Apr 2026 15:54:03,F52B855F914CF3FDC657
SD NEGERI 02 AJI KAGUNGAN,10803385,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,8,6,57,6,6,0,1,14,09 Apr 2026 12:03:22,3CEDF696F01425AF7C8B
SD NEGERI 02 BINDU,10803389,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,7,3,82,6,3,0,0,40,14 Apr 2026 20:57:44,B1ABCCFA7B8FBD392CF2
SD NEGERI BERINGIN,10802719,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,8,1,80,6,6,0,0,14,11 Apr 2026 00:43:39,C73FF993ABC1AFABE1C0
SD NEGERI SABUK EMPAT,10802743,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,8,2,118,6,6,0,0,35,29 Apr 2026 21:39:11,AD872A206665506D5E95
SD NEGERI SABUK INDAH,10802742,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,10,1,105,6,6,0,1,11,04 Mar 2026 09:24:28,CEDDFB98704CC0796EE1
SD NEGERI TALANG JEMBATAN,10802983,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,7,3,134,6,6,0,1,31,13 Apr 2026 10:28:17,090B05AC117C60C5C468
SD NEGERI WAY PERANCANG,10810902,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,10,0,64,6,6,0,0,8,08 Apr 2026 19:36:37,66511FF1BA5D3EEC60B2
SDN 3 AJI KAGUNGAN,69962592,SD,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,7,3,65,6,4,1,1,13,24 Apr 2026 12:31:19,0563D3FBFD37BFF7FC13
SMP MUHAMMADIYAH I ABUNG KUNANG,10802997,SMP,Swasta,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,12,1,94,5,6,1,1,17,11 Mar 2026 10:55:07,7277E5FAA7258D1F84D0
SMAN 1 ABUNG KUNANG,69952549,SMA,Negeri,Kec. Abung Kunang,120322,Kab. Lampung Utara,120300,Prov. Lampung,120000,20,5,345,11,11,1,1,30,28 Apr 2026 10:42:26,4BD907FAFBFAE103176B
