nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 01 BLAMBANGAN,10803056,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,10,1,46,6,7,0,1,11,04 Apr 2026 08:10:11,3AEB66D19231A5FF38C7
SD NEGERI 01 BURING KENCANA,10802833,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,9,2,75,6,4,0,0,13,27 Apr 2026 21:11:42,446C7853905EE13B8C2E
SD NEGERI 01 JAGANG,10803120,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,7,4,58,6,6,0,1,10,04 Mar 2026 11:45:35,2C7B881206A2C1759D3A
SD NEGERI 01 PAGAR,10803342,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,7,0,102,6,7,0,1,12,25 Feb 2026 17:31:18,FE902FAF9DA632AD012E
SD NEGERI 01 PAGAR GADING,10803388,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,9,2,145,6,6,0,1,21,06 Apr 2026 10:15:29,1868243A9F171F05E78C
SD NEGERI 01 TANJUNG IMAN,10803382,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,10,2,171,8,10,0,1,11,06 Apr 2026 03:59:52,D71E85E6E53CE1A308CF
SD NEGERI 01 TULUNG SINGKIP,10803215,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,7,2,34,5,6,0,1,10,03 Mar 2026 15:57:46,A2642B2D04FB00B0F9DF
SD NEGERI 02 JAGANG,10803368,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,14,3,287,12,14,0,1,14,02 May 2026 10:19:55,9775F2E481F46AB1AC87
SD NEGERI 03 TANJUNG IMAN,10802791,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,16,2,272,12,10,1,1,28,22 Apr 2026 21:02:15,A2823BC96F027C8D8C39
SD NEGERI 2 TANJUNG IMAN,10803292,SD,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,11,3,196,9,6,0,2,14,31 Mar 2026 08:39:56,A7DC16A15739974A18EB
SMP NEGERI 2 BLAMBANGAN PAGAR,69886274,SMP,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,4,0,10,3,3,0,1,6,05 Mar 2026 00:26:42,ED7C8882755ADAB5E214
SMPN 1 BLAMBANGAN PAGAR,10802937,SMP,Negeri,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,9,5,91,4,6,2,1,40,18 Apr 2026 15:57:57,90AA6DA738851D925797
SMAS DARUL FALAH,10815009,SMA,Swasta,Kec. Blambangan Pagar,120323,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,1,21,3,3,2,1,1,09 Apr 2026 10:01:07,55B1470BE3E065F4ED6D
