nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 29 KRUI,10810559,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,17,4,203,12,6,0,1,9,28 Apr 2026 12:45:18,1BFDAAD8E901DB67CE10
SD NEGERI 30 KRUI,10803434,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,10,5,112,6,6,0,1,22,04 Apr 2026 19:05:28,07D5E412391F471E1C3A
SD NEGERI 31 KRUI,10803446,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,10,9,86,6,6,0,0,44,14 Apr 2026 10:44:14,9D2A9187A516E1E2A2CB
SD NEGERI 32 KRUI,10803587,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,21,4,343,16,10,0,1,37,28 Apr 2026 11:03:11,5AD8A539A436D1C16BB0
SD NEGERI 33 KRUI,10812415,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,11,3,86,6,6,0,1,7,01 Mar 2026 18:04:40,41B2A88C5A036022AC93
SD NEGERI 34 KRUI,69899870,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,13,8,98,6,6,0,1,25,15 Apr 2026 15:25:20,6F957A8D76E25882003D
SD NEGERI 35 KRUI,69958914,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,7,4,121,6,9,0,1,21,23 Apr 2026 20:07:38,C08A3C31145B3CA44363
SD NEGERI 36 KRUI,69984406,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,7,4,45,6,6,0,0,103,02 May 2026 09:30:00,EB261A98B0586559B10A
SD NEGERI 37 KRUI,69984407,SD,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,7,2,65,6,6,0,0,19,01 Mar 2026 13:03:28,6341B4763C42FA003FB4
SMP NEGERI 7 KRUI,10810359,SMP,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,23,4,218,9,12,2,1,16,20 Apr 2026 09:50:16,A96D041B931DCB7B051A
SMP NEGERI 8 KRUI,69872002,SMP,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,11,3,71,3,6,1,1,13,05 Apr 2026 15:54:16,0E354A5EBB4510DE35C9
SMP NEGERI SATU ATAP 3 KRUI,10810845,SMP,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,15,6,68,3,3,1,1,12,27 Apr 2026 09:09:19,E0D86E29358B56C7CE82
SMAN 1 BENGKUNAT,10810522,SMA,Negeri,KEC. NGARAS,121334,Kab. Pesisir Barat,121300,Prov. Lampung,120000,23,5,213,7,7,3,1,36,27 Apr 2026 08:54:46,344AE96B227AE64561CF
