nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 01 GUNUNG SAKTI,10808611,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,40,12,860,24,14,1,1,57,28 Apr 2026 12:07:42,F969CC4A961EE112E4C7
SD NEGERI 01 LINGAI,10814923,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,10,2,30,6,8,0,1,13,10 Apr 2026 13:56:57,55393DD7D312E196C198
SD NEGERI 01 MENGGALA KOTA,10808659,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,29,7,380,18,26,0,1,26,08 Apr 2026 14:02:42,3F71DEE5CFFB0F83FC0B
SD NEGERI 01 MENGGALA SELATAN,10808579,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,21,6,277,12,8,0,1,27,24 Apr 2026 10:54:44,794B10CC3F8A11535954
SD NEGERI 01 TIUH TOHO,10808741,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,25,4,339,16,8,0,2,12,23 Apr 2026 09:22:47,4EE8F437D18F365A898A
SD NEGERI 02 ASTRA KSETRA,10808769,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,20,4,305,12,12,1,1,19,30 Apr 2026 10:33:47,0A51E0719B841C3ABC27
SD NEGERI 02 MENGGALA KOTA,10808037,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,8,3,24,5,5,0,1,14,13 Mar 2026 22:37:14,205151A8A44D06148B5E
SD NEGERI 02 TIUH TOHO,10809634,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,22,5,332,15,8,1,1,33,27 Apr 2026 08:52:23,7F9B359D409E390FA3A7
SD NEGERI 02 UJUNG GUNUNG ILIR,10809637,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,23,3,261,12,8,1,1,17,09 Apr 2026 20:03:00,C314A70361107D40267C
SD NEGERI 03 UJUNG GUNUNG ILIR,10808141,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,12,4,74,6,7,0,1,23,06 Apr 2026 22:44:14,75B0AE867078865A218C
SD NEGERI 05 UJUNG GUNUNG ILIR,10808168,SD,Negeri,Kec. Menggala,120505,Kab. Tulang Bawang,120500,Prov. Lampung,120000,19,2,286,12,9,0,1,17,01 May 2026 06:45:41,AD46870758F462DC85A2
