nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES GOENG,60200219,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,10,1,66,6,7,1,0,13,14 Apr 2026 05:07:23,754D79F0CAB411B52F33
SD INPRES NUSLIKO,60200217,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,14,3,67,6,6,0,1,24,22 Apr 2026 17:31:08,0FC911ED6ABCDD02E9B0
SD INPRES SIDANGA,60203004,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,12,1,97,7,6,0,1,23,29 Apr 2026 10:18:45,941D98ABD53C57485407
SD NEGERI 1 WEDA,60200212,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,24,1,355,16,18,0,1,55,30 Apr 2026 11:16:12,69DBE3ACA2809F6C031D
SD NEGERI 2 WEDA,60200199,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,26,1,427,17,10,0,0,50,22 Apr 2026 07:42:31,BF687E91256280D31C95
SD NEGERI 3 WEDA,60202307,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,23,2,304,13,14,1,1,37,30 Apr 2026 11:34:36,5A8C329161C2F0C1B1BD
SD NEGERI 4 WEDA,60202578,SD,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,17,2,213,11,11,0,1,39,29 Apr 2026 07:57:31,E7248DA16628864B76FB
SDIT DARUL HUNAFA,70010450,SD,Swasta,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,7,3,114,6,4,0,0,6,29 Apr 2026 09:38:38,B92B3A7A99B720C01149
SMP NEGERI 1 HALMAHERA TENGAH,60200179,SMP,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,26,3,255,9,12,1,1,37,23 Apr 2026 12:28:04,7736D70F059DDDDB0801
SMP NEGERI 21 HALMAHERA TENGAH,60202509,SMP,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,16,2,35,3,6,1,2,22,25 Apr 2026 17:35:22,1EBA6A0519159BA7566E
SMP NEGERI 25 HALMAHERA TENGAH,60203604,SMP,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,17,3,98,5,6,1,1,19,05 Apr 2026 14:11:03,7A61C8DF4642B27C37F7
SMA NEGERI 1 HALMAHERA TENGAH,60201143,SMA,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,24,1,442,13,17,4,1,39,30 Apr 2026 10:32:16,CEAE5B12EAE0DB067AE5
SMK NEGERI 8 HALMAHERA TENGAH,69816339,SMK,Negeri,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,22,6,97,15,13,1,1,12,01 May 2026 21:05:52,0D3F5BF1EF83A1FABED5
SMK NUSANTARA 5 WEDA,69990281,SMK,Swasta,Kec. Weda,270203,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,0,1,30,6,6,1,1,7,30 Jan 2026 22:52:23,D86468989A4ADB6E56A1
SD INPRES TILOPE,60202312,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,11,1,61,6,6,0,1,26,03 Mar 2026 22:30:34,0C03F18A4F96A25E2A02
SD NEGERI 1 KLUTING JAYA,60202295,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,11,1,106,6,8,0,1,11,28 Apr 2026 06:29:21,F41822419B003FD73898
SD NEGERI 1 WAIRORO INDAH,60200196,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,8,1,79,6,6,0,1,11,09 Apr 2026 21:02:00,6CCFA16ADC86B88227A4
SD NEGERI 2 KLUTING JAYA,60202311,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,7,2,90,6,7,0,1,17,11 Apr 2026 12:10:13,331AF04EF3CE64AFE924
SD NEGERI 2 LOLEO,60203606,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,10,3,79,6,6,0,0,18,27 Apr 2026 06:32:27,324FAC4B766949A61C5A
SD NEGERI 2 WAIRORO INDAH,60202308,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,13,4,169,8,12,1,1,54,30 Apr 2026 14:50:27,DA6C7ADFFFD3C61A5F56
SD NEGERI LOLEO,60202304,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,13,3,152,8,10,0,1,22,16 Apr 2026 11:46:35,29664459A8351205DDBB
SD NEGERI SOSOWOMO,60202293,SD,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,9,2,97,6,6,0,1,23,30 Jan 2026 20:56:19,E534C0B363F1453FEECD
SMP NEGERI 10 HALMAHERA TENGAH,60202310,SMP,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,20,5,170,6,9,2,1,34,30 Apr 2026 09:09:40,8A40FF52D02803EB9C9A
SMP NEGERI 16 HALMAHERA TENGAH,60201139,SMP,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,11,3,33,3,4,1,1,21,20 Apr 2026 06:31:35,72A8344F7984FDDC4890
SMP NEGERI 5 HALMAHERA TENGAH,60201132,SMP,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,17,4,112,6,6,1,1,26,29 Apr 2026 07:13:23,99DD1B24C122882BF97B
SMA NEGERI 4 HALMAHERA TENGAH,60200185,SMA,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,17,3,160,7,8,3,1,25,20 Apr 2026 14:22:38,03F36DDD3D5873DAE500
SMK NEGERI 1 HALMAHERA TENGAH,60201148,SMK,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,17,3,166,11,12,2,1,39,21 Apr 2026 08:56:20,CA3228A3333FA20E0F57
SMK NEGERI 5 HALMAHERA TENGAH,60201147,SMK,Negeri,Kec. Weda Selatan,270208,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,12,3,82,6,7,5,1,21,28 Apr 2026 10:45:38,949180CA7FB81D98382E
SD GMIH LELILEF,60200221,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,20,2,499,14,14,0,1,73,29 Apr 2026 08:47:22,E70C3512F5BC9928FA27
SD INPRES KOBEKULO,60200167,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,7,2,45,6,7,0,1,38,06 Apr 2026 19:46:06,3C31DDD931F669B7DAFC
SD INPRES LELILEF,60200166,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,19,3,440,15,18,0,1,151,28 Apr 2026 07:31:35,D9EC2F567497A0B9546E
SD INPRES PEPLIS,60200216,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,9,1,125,6,6,0,1,10,30 Apr 2026 13:16:53,A63230B30D516AB9E015
SD NEGERI KOBE,60200168,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,11,1,92,6,6,0,0,25,15 Apr 2026 05:28:17,4C6F27D4BB112F229FBF
SD NEGERI KOBE KULO SP4,60202577,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,13,5,94,6,7,0,0,86,29 Apr 2026 17:25:46,2DA8A8BEF464A3C27461
SD NEGERI LUKULAMO,60200164,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,1,334,12,13,0,1,24,29 Apr 2026 06:27:30,3EC4342B70C76D1B6370
SD NEGERI SP3 KOBEKULO,60200201,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,8,3,36,6,6,0,1,50,10 Apr 2026 21:06:51,2C6312B41D9BEB24C7EA
SD NEGERI WOEJERANA,69774803,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,10,2,133,7,6,0,0,16,30 Apr 2026 19:30:30,D5065529C4F7BFA810F3
SD WAIBULAN,70044037,SD,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,8,3,166,6,6,0,0,109,30 Apr 2026 07:35:17,534E18D78AB05344ED08
SMP NEGERI 13 HALMAHERA TENGAH,60201136,SMP,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,19,4,143,6,5,1,1,67,29 Apr 2026 08:55:42,D8FE945BAC3E6ADBC3B4
SMP NEGERI 17 HALMAHERA TENGAH,60201140,SMP,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,3,89,4,3,1,1,13,05 Apr 2026 20:23:07,0C3BD761B8A60478ED41
SMP NEGERI 9 HALMAHERA TENGAH,60201134,SMP,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,18,2,323,11,11,1,1,79,29 Apr 2026 09:56:24,905488948B077E21224F
SMAS INSAN KHARISMA,70032101,SMA,Swasta,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,2,1,59,3,3,0,0,20,20 Feb 2026 09:45:36,7E4D57BD99716F661A9D
SMK NEGERI 2 HALMAHERA TENGAH,60202472,SMK,Negeri,Kec. Weda Tengah,270210,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,1,353,13,11,6,1,36,27 Apr 2026 09:19:34,3BDAF7F4F3E9FF44AC6A
SD INPRES WAILEGI,60200173,SD,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,12,4,116,6,6,0,1,44,28 Apr 2026 12:19:50,3CA5EE383B40FD645492
SD INPRES YEISOWO,60200172,SD,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,2,140,6,8,0,1,26,15 Apr 2026 08:23:59,EE5B4B74F6611A169213
SD NEGERI KIPAI,60202494,SD,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,18,4,154,6,6,0,1,100,30 Apr 2026 00:11:25,29ADD505268A04696C7B
SD NEGERI PATANI,60200160,SD,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,12,4,160,6,9,0,1,64,01 May 2026 21:08:58,E1EBBF5DB0E29AF8BA54
SD NEGERI SIF,60200200,SD,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,10,4,61,6,6,0,1,133,29 Apr 2026 06:11:42,51D031DF3AED4F4CD75C
SD NEGERI YEISOWO,60200188,SD,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,19,2,133,6,6,0,1,97,01 May 2026 15:59:00,505B4E6BE630BADD086C
SMP NEGERI 19 HALMAHERA TENGAH,60201126,SMP,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,19,4,103,6,6,2,1,34,29 Apr 2026 11:51:32,3364B669EF484594828A
SMP NEGERI 2 HALMAHERA TENGAH,60201128,SMP,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,22,5,128,6,6,2,1,28,17 Apr 2026 10:00:16,6058798DC7C7B59BDD96
SMP MUHAMMADIYAH 1 HALMAHERA TENGAH,69963857,SMP,Swasta,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,3,1,16,2,3,0,0,6,28 Jan 2026 08:04:26,0BE3CC4119FF03C3C194
SMA NEGERI 2 HALMAHERA TENGAH,60200183,SMA,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,16,5,137,6,7,2,1,49,13 Mar 2026 17:59:52,1BBFBD2CF5415CF8DC4F
SMAN 5 HALMAHERA TENGAH,60202296,SMA,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,0,124,5,6,3,1,20,02 May 2026 19:14:08,151F21951E17AC957E82
SMK NEGERI 7 HALMAHERA TENGAH,60202632,SMK,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,10,4,85,9,7,1,0,57,02 May 2026 00:05:27,5DE873DE9C0FAD401E4E
SMK NEGERI 9 HALMAHERA TENGAH,69899866,SMK,Negeri,Kec. Patani,270206,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,10,0,107,7,3,2,1,24,30 Apr 2026 06:32:27,7B568607C2919F79C179
SD INPRES TEPELEO,60200175,SD,Negeri,Kec. Patani Utara,270209,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,11,3,94,6,8,0,1,27,22 Apr 2026 13:36:52,3BD338D70D278AF33919
SD NEGERI 1 GEMIA,60200223,SD,Negeri,Kec. Patani Utara,270209,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,1,94,6,6,0,1,10,18 Apr 2026 12:57:57,328C2B160D40F34192A9
SD NEGERI 1 TEPELEO,60200197,SD,Negeri,Kec. Patani Utara,270209,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,14,3,94,6,6,0,0,15,01 Apr 2026 05:31:35,4B54B686922BEAC29045
SD NEGERI 2 GEMIA,60200227,SD,Negeri,Kec. Patani Utara,270209,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,17,1,209,11,11,0,0,20,13 Apr 2026 14:46:33,F4222994CB7B90B82C02
SD NEGERI 2 TEPELEO,60200230,SD,Negeri,Kec. Patani Utara,270209,Kab. Halmahera Tengah,270200,Prov. Maluku Utara,270000,15,4,95,6,8,0,1,43,30 Apr 2026 21:03:00,6E2E2F9E6FE303CA7D97
