nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES 1 TIKONG,60200514,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,17,2,312,13,13,1,2,28,30 Apr 2026 19:36:43,5C5DF09AF1553F9330AD
SD INPRES 2 TIKONG,60200570,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,10,2,80,6,6,1,0,28,18 Apr 2026 09:09:42,8F8182C5A21E36726C64
SD INPRES HAIBARU DEGE,60200621,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,11,1,48,6,9,0,0,66,18 Apr 2026 07:44:40,B86D003475804917B7A1
SD INPRES MANANGA,60200627,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,5,6,84,6,6,0,0,66,08 Apr 2026 06:59:30,9B0411FC03336102C18E
SD INPRES MINTON,60200628,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,9,5,113,6,7,0,2,35,23 Apr 2026 15:34:39,CBF5FE2827901C94D6BC
SD INPRES NATANG KUNING,60200636,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,12,5,31,6,6,0,0,20,30 Apr 2026 18:42:40,BB4A23803092147A31D4
SD INPRES PADANG,60202029,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,8,1,46,6,6,0,1,23,10 Apr 2026 04:54:08,D4843E611EE60F16F64E
SD INPRES TANJUNG UNA,60200631,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,7,2,211,9,9,0,1,86,27 Apr 2026 06:38:42,2163EEEEA6DE88DB2B60
SD NASKAT NUNCA,60200602,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,9,3,89,7,7,0,0,15,28 Apr 2026 10:38:21,FA6E9981E4203714E72A
SD NEGERI 1 GELA,60200609,SD,Negeri,Kec. Taliabu Utara,270104,Kab. Pulau Taliabu,270100,Prov. Maluku Utara,270000,7,5,61,6,6,0,1,49,28 Apr 2026 19:38:33,176B6B9D1B603BBA7858
