nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES FAA,60103129,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,4,2,30,6,4,0,1,18,24 Mar 2026 06:52:38,B28F1D5C946F20929BEC
SD INPRES MUN KAHAR ESSOY,60100760,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,8,2,76,6,6,1,1,11,20 Feb 2026 23:26:21,513E61A21F5A55AB97B5
SD INPRES NGURWALEK,60103134,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,6,2,44,6,6,0,1,15,22 Apr 2026 06:53:28,AE7791FABFDEA384CBCC
SD INPRES UWAT,60103137,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,4,1,37,6,6,0,1,16,23 Apr 2026 18:54:02,7A0FBC49C1DE1F839788
SD INPRES UWAT REYAAN,60103138,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,4,5,43,6,6,0,1,10,17 Apr 2026 17:59:38,400357ED596C2810159D
SD NEGERI FRAWAV,60103127,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,7,0,86,6,6,0,1,49,17 Apr 2026 18:11:07,BF06A04DD26205A731EA
SD NEGERI WAERAT,70049859,SD,Negeri,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,2,0,25,4,4,0,1,8,19 Feb 2026 17:30:22,5F2155CA53186BFC86DD
SD KRISTEN AD,60102064,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,2,1,174,7,7,0,1,33,26 Apr 2026 06:16:40,FDBADF5D289D43E9E810
SD KRISTEN DANGARAT,60103107,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,3,2,39,6,6,0,1,32,19 Apr 2026 16:56:33,E40784CDB79A78F5A2DD
SD KRISTEN HOOR,60103109,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,4,1,82,6,6,1,1,5,23 Apr 2026 19:07:31,13BB7AE10912399E2047
SD KRISTEN LAAR,60103110,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,0,1,74,6,6,0,1,4,27 Mar 2026 14:00:43,A11D18636CED6B64A2AD
SD KRISTEN MUN WARFAN,60103112,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,2,1,64,6,6,0,1,5,25 Mar 2026 18:05:11,27916D4A42236CA8C1F8
SD KRISTEN WAER,60100902,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,0,1,59,6,6,0,1,15,27 Mar 2026 16:47:06,4CE419D1BF88290AC966
SD NASKAT MUN OHOIIR,60103150,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,6,2,143,6,6,0,1,12,26 Feb 2026 23:30:49,B91CF415003BD3E833AF
SD NASKAT OHOITUF,60100876,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,3,1,91,6,6,0,1,9,05 Apr 2026 22:17:46,27BEF90DBF6EB37C89F8
SD NASKAT UWAT,60103160,SD,Swasta,Kec. Kei Besar Utara Barat,210216,Kab. Maluku Tenggara,210200,Prov. Maluku,210000,4,1,89,6,7,0,0,9,14 Mar 2026 09:16:14,2163272A8D191C2C9A43
