nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES KELI,50204191,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,37,3,206,10,6,0,1,46,24 Apr 2026 08:34:37,6EDD32138E5159D83C4C
SD INPRES KUMBE,50204195,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,23,5,38,6,6,0,1,89,27 Apr 2026 10:07:10,07B56031B1029884A96F
SD INPRES MINTE,50204183,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,20,2,59,6,6,0,1,29,14 Apr 2026 21:03:57,90251CB92BA5ADF3FE69
SD INPRES PANDAI,50204077,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,37,1,184,10,6,0,1,22,02 May 2026 11:08:48,A5E71CED92C42EF6CB25
SD INPRES PUCUKE,50203949,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,26,1,95,6,6,0,0,11,03 Mar 2026 08:25:18,269202F731C5890DFD40
SD INPRES RISA 1,50204110,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,52,1,205,11,7,0,1,61,25 Apr 2026 14:19:44,92723BF0A88B3D8C081A
SD INPRES SAMILI 2,50204225,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,26,1,94,6,6,1,1,40,30 Apr 2026 09:49:01,DF8E174278516823E189
SD INPRES TALABIU,50203975,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,36,2,289,11,7,0,1,35,27 Apr 2026 22:53:39,15EB348E14952E0FA637
SD NEGERI 1 TENTE,50204136,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,17,2,179,7,6,1,1,35,24 Apr 2026 08:38:15,B306269DC030970C7375
SD NEGERI 2 TENTE,50204157,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,36,2,451,13,11,0,1,39,30 Apr 2026 18:38:37,9EAEC0BC255F4FC0C7C1
SD NEGERI 3 TENTE,50204091,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,21,3,118,6,6,0,1,17,07 Apr 2026 21:04:19,C4857413B894938197A0
SD NEGERI 4 TENTE,50204095,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,20,1,101,6,8,0,1,23,30 Apr 2026 07:36:26,7B7ACBF1FC8F91F089F7
SD NEGERI Dadibou,50204119,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,30,4,142,6,6,0,1,34,01 May 2026 06:31:40,C8D0C45C92B483DA7E9C
SD NEGERI DONGGO BOLO,50204120,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,16,3,127,7,8,0,2,18,27 Apr 2026 16:37:59,16AEC46902798C56D0B1
SD NEGERI INPRES KALAMPA 1,50204114,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,36,1,118,6,7,0,1,68,30 Apr 2026 08:48:40,09D72D92C0DC76A17DC0
SD NEGERI INPRES KALAMPA 2,50204240,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,31,0,164,7,8,0,0,51,24 Apr 2026 08:38:50,90DFAF744ABD78B86BC1
SD NEGERI INPRES RABAKODO,50203952,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,20,1,211,9,11,1,1,21,08 Apr 2026 14:35:35,E2CC90E3F8DAC6CC6C8F
SD NEGERI INPRES SAMILI 1,50204173,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,22,2,97,6,6,0,1,39,20 Apr 2026 11:04:15,87FFAE2CCA81E087912E
SD NEGERI INPRES TENTE,50203958,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,34,0,259,12,9,0,0,34,04 Apr 2026 11:20:59,EF1E386A7891EBC9CD69
SD NEGERI KELI,50203898,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,47,3,228,12,8,0,1,48,02 May 2026 13:03:34,86491AA5E2EA7948B0BF
SD NEGERI PANDAI,50203915,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,18,3,78,6,6,0,1,38,16 Apr 2026 20:56:55,02DAD3C05E21C0CE60A2
SD NEGERI Penapali,50203919,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,18,2,123,6,6,0,1,27,12 Mar 2026 07:27:46,F9DE822C1801604E06BB
SD NEGERI RABAKODO,50203980,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,18,1,116,6,9,1,0,7,03 Mar 2026 20:03:50,449679B76CE1C3261A02
SD NEGERI RISA,50204048,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,45,4,232,10,12,0,1,18,02 May 2026 19:25:04,ED5E0CAD8CE611B1BE74
SD NEGERI SAMILI,50204041,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,27,4,162,8,8,0,1,33,29 Apr 2026 07:50:10,17979920BE95770DFE01
SD NEGERI Sari Kalampa,50204034,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,32,2,131,7,9,0,1,47,23 Apr 2026 14:42:40,BFA402DCF56D5A73C677
SD NEGERI TALABIU,50204072,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,30,2,289,12,6,1,2,66,09 Mar 2026 12:59:18,018308E45D82171BC757
SDN INPRES 02 RISA,50204224,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,29,4,127,7,6,0,1,10,03 Mar 2026 08:52:40,AF17AFAFAEFDB17AD9FF
SDN INPRES GODOMINTE,50204251,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,28,0,76,6,6,1,1,39,25 Apr 2026 12:05:29,6CE6CA71D2FA3E6C3A79
SDN INPRES WADU WANI,50203966,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,34,4,110,6,7,0,2,18,16 Apr 2026 22:02:15,67E695CB769B87C54B20
SDN. INPRES TENGA,50203967,SD,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,22,1,146,7,7,0,1,13,05 Mar 2026 09:07:15,47ECB6EEB8BD8FF2FA56
SD IT AL - FARIH,69984219,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,17,2,327,12,12,1,1,25,30 Apr 2026 07:37:16,383DCD2CDF614642BD69
SD IT NURUL AINUN SAKINAH,70015457,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,4,1,0,0,0,0,0,0,,3B0114E912D107F7716A
SD IT Uswatun Hasanah,50220563,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,11,1,120,6,7,0,1,6,21 Apr 2026 11:09:56,C73EFC4E7904C25B8404
SD MUHAMMADIYAH WOHA,69959881,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,3,1,55,6,6,0,0,18,04 Mar 2026 07:42:53,37817A6A365CD7BF5F0F
SDIT Ar-Royyan,70053678,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,4,1,4,2,1,0,0,27,25 Apr 2026 07:37:17,A3F4D44788785EC45066
SDIT BIMA CENDEKIA,70057535,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,12,0,34,3,3,0,0,77,25 Apr 2026 11:11:54,5E6D33037932E81930A3
Sekolah Dasar Tahfidzul Qur’an Mush’ab Bin Umair,70050093,SD,Swasta,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,11,1,84,4,4,0,1,20,18 Mar 2026 04:37:07,1DC425EFBB71E6F0E30F
SMP N 6 WOHA SATU ATAP,69861162,SMP,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,20,4,8,3,3,0,1,23,31 Mar 2026 04:23:46,265C4C279E1723DF7767
SMP NEGERI 1 WOHA,50205664,SMP,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,158,22,951,31,20,2,1,26,22 Apr 2026 04:35:06,4F5C0725E4A82C50F7F2
SMP NEGERI 2 WOHA,50205665,SMP,Negeri,Kec. Woha,230603,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,88,11,294,11,12,3,2,35,29 Apr 2026 09:36:15,B451B6C8E4C101F33ACE
