nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 01 PEKAT,50203756,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,15,3,123,7,6,0,2,119,29 Apr 2026 09:24:51,E4F6E494D23F4EC6CC07
SD NEGERI 02 PEKAT,50203765,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,18,1,183,9,8,0,1,34,19 Apr 2026 08:31:02,544CB6F631DFAC46DB24
SD NEGERI 03 PEKAT,50203758,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,11,4,109,7,6,0,1,21,11 Apr 2026 22:33:56,E320B356A17ABCD85E3D
SD NEGERI 04 PEKAT,50203863,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,16,2,155,7,6,1,1,30,08 Apr 2026 20:25:37,13457FEC66545128D636
SD NEGERI 05 PEKAT,50203855,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,14,2,172,11,10,0,1,22,10 Apr 2026 08:10:39,C53217F101AF0B71BDCE
SD NEGERI 06 PEKAT,50203878,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,21,1,253,12,12,0,1,59,30 Apr 2026 11:03:22,362025D1091171CCAF59
SD NEGERI 07 PEKAT,50203876,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,10,5,138,7,7,0,0,22,11 Apr 2026 07:21:59,7FF2CDE1A5A07CE70967
SD NEGERI 08 PEKAT,50203868,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,14,2,108,6,6,0,1,25,18 Apr 2026 12:59:57,2FE060FFFF3787609416
SD NEGERI 09 PEKAT,50203825,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,12,0,133,6,6,0,1,45,29 Apr 2026 08:59:47,B38FF0A643845E1663E4
SD NEGERI 10 PEKAT,50203817,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,16,1,179,10,10,0,1,31,29 Apr 2026 10:26:26,285C8BDDFB1D03903794
SD NEGERI 11 PEKAT,50203845,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,14,2,117,7,7,0,1,27,26 Apr 2026 12:38:36,82A986BA915F08BBBA5D
SD NEGERI 12 PEKAT,50203837,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,15,1,166,7,9,0,0,8,10 Apr 2026 18:49:08,35C190AAD7CEFC6C4262
SD NEGERI 13 PEKAT,50203661,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,18,3,229,11,11,0,1,36,15 Apr 2026 08:44:08,9C832724AD7CB0E3F8BA
SD NEGERI 14 PEKAT,50203636,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,10,0,110,6,6,0,1,22,22 Apr 2026 06:10:53,C8614679822ABDA5F496
SD NEGERI 15 PEKAT,50203630,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,11,2,77,6,6,0,1,16,13 Apr 2026 22:25:26,B55FA7159ABCFB0530EA
SD NEGERI 16 PEKAT,50203660,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,10,2,65,6,6,0,1,18,09 Apr 2026 10:23:16,296039E9405332465D82
SD NEGERI 17 PEKAT,50203655,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,10,1,51,6,6,0,0,21,05 Apr 2026 21:45:32,275204411A025B8EF564
SD NEGERI 18 PEKAT,50203650,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,17,4,53,6,6,0,1,19,28 Apr 2026 18:08:46,9E4615194DC0A4359CEF
SD NEGERI 19 PEKAT,50203645,SD,Negeri,Kec. Pekat,230506,Kab. Dompu,230500,Prov. Nusa Tenggara Barat,230000,11,2,52,6,6,0,0,7,09 Apr 2026 18:29:54,84FD6A2B13CD0E3B4FA2
