nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BELEKA,50201850,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,13,2,208,10,8,0,1,11,11 Apr 2026 05:58:16,B49CC21AB3B693AE1D50
SD NEGERI 1 GANTI,50201841,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,10,1,122,6,6,0,1,7,02 Apr 2026 23:48:44,B03C719FE9250797ECD5
SD NEGERI 1 MARONG,50201951,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,12,3,167,7,7,0,1,50,30 Apr 2026 08:33:40,491AF7A04A242C04B2D4
SD NEGERI 1 MUJUR,50201945,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,9,1,164,8,7,0,1,13,25 Apr 2026 10:07:16,670FD785DC21F7B4DED9
SD NEGERI 1 Semoyang,50201959,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,9,0,64,6,6,0,1,20,03 Mar 2026 08:03:41,BBF946714DC7AA347C5C
SD NEGERI 1 SENGKERANG,50201958,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,16,2,270,12,7,0,1,13,30 Mar 2026 08:08:20,B5FACC023B1A18300B36
SD NEGERI 2 BELEKA,50201936,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,8,1,88,6,7,0,1,35,25 Apr 2026 10:07:50,114039B29EE2CA04887F
SD NEGERI 2 GANTI,50201026,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,8,3,145,6,6,0,1,23,30 Apr 2026 19:15:29,442D111EA30BDA4C5619
SD NEGERI 2 MARONG,50201129,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,10,1,99,6,6,0,1,13,21 Apr 2026 16:27:46,6BC18C32F529FDEF37F2
SD NEGERI 2 MUJUR,50201122,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,11,1,171,8,9,0,1,18,10 Apr 2026 21:05:08,789D11DDD9CE26630567
SD NEGERI 2 SEMOYANG,50201070,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,11,0,180,7,7,0,1,32,19 Apr 2026 19:56:27,B4D63F6D40130525C6B1
SD NEGERI 3 BELEKA,50201055,SD,Negeri,Kec. Praya Timur,230203,Kab. Lombok Tengah,230200,Prov. Nusa Tenggara Barat,230000,16,1,212,11,10,0,1,23,29 Apr 2026 09:39:42,BCF5F84145C4A4362A72
