nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 KABAR,50202971,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,9,2,134,7,7,0,1,11,24 Apr 2026 18:22:22,7B04981DE772EF6E3397
SD NEGERI 1 KESELET,50203005,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,15,2,244,11,11,0,1,15,03 Apr 2026 05:50:03,E9CEFC24C74EBA714E9D
SD NEGERI 1 KUANG BARU,50202356,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,16,4,222,10,11,0,1,24,01 May 2026 12:05:19,3E0723CF27BF7209673A
SD NEGERI 1 MOYOT,50202528,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,11,2,156,7,6,0,0,22,12 Apr 2026 20:23:35,7B05C13B12394E67E0DF
SD NEGERI 1 PERESAK,50205702,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,13,1,176,8,9,0,1,10,17 Apr 2026 15:02:32,6F604E56108B54885F32
SD NEGERI 1 RUMBUK,50202301,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,17,2,308,12,14,1,1,16,05 Mar 2026 09:21:14,75A183573155547395E9
SD NEGERI 1 RUMBUK TIMUR,50203027,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,16,1,234,12,12,1,1,23,29 Apr 2026 13:31:26,7D0996DEA4CD1420DB06
SD NEGERI 1 SAKRA,50203026,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,21,5,413,17,15,1,1,43,07 Apr 2026 10:25:41,4BD14CEDD7D7E973144D
SD NEGERI 1 SAKRA SELATAN,50202200,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,17,2,260,12,6,0,1,16,03 Apr 2026 05:38:15,1E39AC3D0D9640A4963D
SD NEGERI 1 SONGAK,50202929,SD,Negeri,Kec. Sakra,230302,Kab. Lombok Timur,230300,Prov. Nusa Tenggara Barat,230000,16,3,220,11,9,0,1,12,04 Mar 2026 08:46:30,674289C0068F88082E37
