nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 JEREWEH,50204337,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,14,5,225,12,12,0,1,11,14 Apr 2026 09:02:20,3DEE96512D9DB41DE6BC
SD NEGERI 2 JEREWEH,50204368,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,16,4,230,12,11,0,1,31,17 Apr 2026 08:58:34,4400F1F675CEFB9E8CB7
SD NEGERI 3 JEREWEH,50204364,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,9,5,137,7,7,0,1,177,11 Apr 2026 09:52:04,CB2488DE5958DD178AF1
SD NEGERI DASAN,50204287,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,8,7,107,6,6,1,1,33,27 Apr 2026 10:52:59,0AE86D6794106566ED58
SD NEGERI DASAN ANYAR,50219778,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,8,5,105,6,6,0,1,13,30 Apr 2026 11:02:21,BD299BB08F7D69C4FD5E
SD NEGERI GOA,50204290,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,14,5,209,11,12,1,1,46,25 Apr 2026 07:32:18,FF391FF8594663819389
SD NEGERI JELENGA,50204292,SD,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,8,4,97,6,7,0,1,40,20 Apr 2026 17:59:17,33D84C5460645055D31A
SD IT BUDI MULYA JEREWEH,70005773,SD,Swasta,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,5,1,63,6,5,0,0,11,09 Apr 2026 07:30:34,1745EBF39F8601977E44
SMP NEGERI 1 JEREWEH,50204320,SMP,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,29,15,417,14,14,3,1,18,30 Apr 2026 09:29:18,2BC0FD0A21C09B8B13C4
SMP NEGERI 2 JEREWEH,50205595,SMP,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,12,5,46,3,5,1,3,14,13 Apr 2026 13:26:28,60D01051AB058605FE11
SMP IT Hamzanwadi Jereweh,70057433,SMP,Swasta,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,1,0,0,0,0,0,0,0,,0A4DBF00940A548D3E6F
SMA NEGERI 1 JEREWEH,50204306,SMA,Negeri,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,27,7,355,12,17,4,1,52,30 Apr 2026 10:46:38,CC9F21CC1E575E870DDD
SMK RUM INOVASI,70044881,SMK,Swasta,Kec. Jereweh,230701,Kab. Sumbawa Barat,230700,Prov. Nusa Tenggara Barat,230000,17,1,185,13,14,0,0,61,23 Apr 2026 10:26:48,0E406FC9D3FA7C73611F
