nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN  46 LELA KOTA BIMA,50204673,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,29,4,202,11,8,0,1,39,30 Apr 2026 08:02:08,6BFC6471BBBE79F6B37C
SDN 1 MELAYU KOTA BIMA,50204839,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,33,5,353,15,13,0,1,34,30 Apr 2026 07:11:55,DCDA0BD94FFB5BE7A744
SDN 13 KOLO KOTA BIMA,50204692,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,32,6,298,13,14,0,1,59,16 Apr 2026 13:24:17,8000E90B16E0AC0EE236
SDN 22 JATIBARU KOTA BIMA,50204709,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,23,7,236,11,11,1,1,1,07 Apr 2026 04:47:12,5312EC4E51F05BE373A9
SDN 28 MELAYU KOTA BIMA,50219674,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,32,9,392,16,16,0,1,54,22 Apr 2026 10:53:42,236939DBCDF862236B59
SDN 3 JATIWANGI KOTA BIMA,50204824,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,24,5,190,10,10,1,1,23,28 Apr 2026 20:33:37,9CF5243ED5B4B8F45973
SDN 34  BONTO KOTA BIMA,50204670,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,21,2,171,8,9,1,1,40,13 Apr 2026 10:19:43,A5EA81CF729ED9DC9A32
SDN 58 TAMBANA KOTA BIMA,50204686,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,19,4,140,8,9,0,1,20,02 Apr 2026 23:03:03,4F21C4F9AAF2FAF0C6AE
SDN 59 RASALEWI KOTA BIMA,50204714,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,34,5,272,15,11,2,1,48,28 Apr 2026 09:57:42,B0F403C0759AF135431C
SDN 65 JATIBARU KOTA BIMA,50204749,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,29,5,257,13,13,0,1,39,01 Apr 2026 23:25:11,1811683D660A55BA47C8
SDN 68 KOLO KOTA BIMA,50204746,SD,Negeri,Kec. Asakota,236103,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,31,4,242,11,11,1,1,50,20 Apr 2026 06:55:47,6F46299ADD28D55E308D
